page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Meta,Duplicate page title,https://www.chewy.com/chewy-egift-card/dp/226306,True,Make titles unique at the page/template level.,Chewy eGift Cards For Pet Lovers | Chewy,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Meta,Duplicate page title,https://www.chewy.com/reconcile-fluoxetine-hydrochloride/dp/191440,True,Make titles unique at the page/template level.,"RECONCILE (fluoxetine hydrochloride) Tablets for Dogs, 32-mg - Easy Refills | Chewy Rx","RECONCILE (fluoxetine hydrochloride) Tablets for Dogs, 32-mg - Easy Refills | Chewy Rx",86,"Help your canine companion cope with separation anxiety by giving him Reconcile Tablets for Dogs. These flavored, chewable tablets are formulated with fluoxetine hydrochloride and are FDA-approved for the treatment of canine separation anxiety when combined with a behavior modification plan. Reconcile not only helps your pup stay calm during stressful moments of separation, but it can also help reduce harmful behavior and even make him more open to training.",462,,"Reconcile (fluoxetine hydrochloride) Tablets for Dogs, 32-mg, 30 tablets",1,reconcile-fluoxetine-hydrochloride,True,True,False,False,True,True,True,True,49,322,2,good,2101.0,good,0.08,,,,,,,,,,2.0
PDP,Meta,Duplicate page title,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,Make titles unique at the page/template level.,"CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx","CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Meta,Duplicate page title,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,Make titles unique at the page/template level.,"ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx","ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Meta,Duplicate page title,https://www.chewy.com/cerenia-maropitant-citrate-tablets/dp/173067,True,Make titles unique at the page/template level.,"CERENIA (Maropitant Citrate) Tablets for Dogs, 16-mg - Easy Refills | Chewy Rx","CERENIA (Maropitant Citrate) Tablets for Dogs, 16-mg - Easy Refills | Chewy Rx",78,"Cerenia is the first and only FDA-approved medication prescribed by veterinarians for dogs to help treat and help prevent vomiting caused by motion sickness. Each tablet is scored, allowing for easy and accurate dosing. As many as 1 in 5 dogs suffer from canine motion sickness, so whether you are taking your furry friend to the vet or going on a road trip together, Cerenia tablets are the number one choice among veterinarians to help stop your pal from feeling sick.",470,cerenia,"Cerenia (Maropitant Citrate) Tablets for Dogs, 16-mg, 4 tablets",1,cerenia-maropitant-citrate-tablets,True,True,False,False,True,True,True,True,371,324,2,good,2176.0,good,0.04,,,3,2,1.0,1,0,0,2,25.0
PDP,Meta,Duplicate page title,https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/322086,True,Make titles unique at the page/template level.,"FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx","FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx",61,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.",561,,"Fluoxetine (Generic) Tablets, 10-mg, 30 tablets",1,fluoxetine-generic-tablets-dogs-10-mg,True,False,False,False,True,True,True,True,48,323,2,good,2286.0,good,0.065,,,,,,,,,,3.0
PDP,Meta,Duplicate page title,https://www.chewy.com/selegiline-hcl-generic-capsules-dogs/dp/3546358,True,Make titles unique at the page/template level.,"SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx","SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx",65,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.",290,,"Selegiline HCl (Generic) Capsules, 5-mg, 60 Capsules",1,selegiline-hcl-generic-capsules-dogs,True,False,False,False,True,True,True,True,56,324,2,,,,,,,,,,,,,,1.0
PDP,Meta,Duplicate page title,https://www.chewy.com/diphenhydramine-hcl-generic-capsules/dp/1069278,True,Make titles unique at the page/template level.,"DIPHENHYDRAMINE HCl (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx","DIPHENHYDRAMINE HCl (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx",71,"Diphenhydramine HCI, commonly known as Benadryl is an antihistamine prescribed to help relieve allergy symptoms. Some of these symptoms may include coughing and itching caused by insect bites, pollen, house dust along with other allergy triggers. This medication may also help control vomiting and motion sickness and may be prescribed as a mild sedative to help treat muscle tremors caused by toxins or other medications.",422,,"Diphenhydramine HCl (Generic) Capsules, 50-mg, 120 capsules",1,diphenhydramine-hcl-generic-capsules,True,False,False,False,True,True,True,True,88,321,2,,,,,,,,,,,,,,1.0
PDP,Meta,Duplicate page title,https://www.chewy.com/hydroxyzine-pamoate-generic-capsules/dp/1069374,True,Make titles unique at the page/template level.,"HYDROXYZINE Pamoate (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx","HYDROXYZINE Pamoate (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx",71,"Hydroxyzine Pamoate is a prescription medication that is used to treat itchy skin due to allergies. With fewer side effects than corticosteroids, it blocks the histamines that cause allergic reactions. It can also be used as a sedative.",236,,"Hydroxyzine Pamoate (Generic) Capsules, 50-mg, 120 capsules",1,hydroxyzine-pamoate-generic-capsules,True,False,False,False,True,True,True,True,97,323,2,,,,,,,,,,,,,,1.0
PDP,Meta,Duplicate page title,https://www.chewy.com/natural-balance-limited-ingredient/dp/264438,True,Make titles unique at the page/template level.,Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato & Fish Formula Grain-Free Dry Dog Food | Chewy,Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato & Fish Formula Grain-Free Dry Dog Food | Chewy,107,"Buy Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag at Chewy.com. FREE shipping and the BEST customer service!",161,,"Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag",1,natural-balance-limited-ingredient,True,True,False,False,True,True,True,True,187,335,2,,,,,,,,,,,,,,1.0
