page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Missing page title,https://www.chewy.com/b/pet-parents-15439,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,pet-parents,,True,False,False,False,False,False,False,318239,0,1,,,,,,,,,,,,,,1.0
Browse,Meta,Missing page title,https://www.chewy.com/b/horse-1663,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,horse,,True,False,False,False,False,False,False,9313,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/wild-bird-12931,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,wild-bird,,True,False,False,False,False,False,False,5,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/small-pet-977,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,small-pet,,True,False,False,False,False,False,False,9309,0,1,,,,,,,,,,,,,,1.0
Browse,Meta,Missing page title,https://www.chewy.com/b/bird-941,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,bird,,True,False,False,False,False,False,False,9300,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/fish-885,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,fish,,True,False,False,False,False,False,False,9306,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/reptile-1025,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,reptile,,True,False,False,False,False,False,False,9304,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/chicken-12992,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,chicken,,True,False,False,False,False,False,False,9300,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/farm-animal-8403,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,farm-animal,,True,False,False,False,False,False,False,9300,0,1,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/compounding-pharmacy-11718,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,compounding-pharmacy,,True,False,False,False,False,False,False,28,0,2,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/by-chewy-100726,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,by-chewy,,True,False,False,False,False,False,False,6138,0,2,,,,,,,,,,,,,,
Browse,Meta,Missing page title,https://www.chewy.com/b/hairball-control-442,True,"Add a unique, descriptive title for each eligible page.",,,,,,,,0,hairball-control,,True,False,False,False,False,False,False,6,0,2,,,,,,,,,,,,,,
