page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Speed,LCP is not good,https://www.chewy.com/b/food-332,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2603.0,Dog Food: Best Dog Food Brands - Free Shipping | Chewy,54,"Shop Chewy Dog Food and discover dry, wet & fresh dog food recipes tailored to every pup’s needs. Dog food delivery to your door, Autoship savings and free shipping on $49+!",173,dog food,Dog Food,1,food,True,True,False,False,True,False,False,True,327550,465,1,needs,2603.0,good,0.006666666666666667,,,119,111,9.67,57,20,10,32,33.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/health-pharmacy-372,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3233.0,"Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,revival dog supplies,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,318253,383,1,needs,3233.0,good,0.015,,,66,64,17.51,13,25,27,1,35.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/dog-288,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2937.0,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,dog supplies,Dog Supplies,1,dog,True,True,False,False,True,False,False,True,327550,359,1,needs,2937.0,good,0.03666666666666667,,,96,78,12.35,36,28,18,14,18.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/food-387,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2685.0,Cat Food: Best Cat Food from Top Brands on Chewy,48,"Shop Chewy Cat Food and discover the best cat food brands like Hills Science Diet, Royal Canin, Orijen, Tiki Cat and more. Get free shipping today on orders $49+!",162,cat food,Cat Food,1,food,True,True,False,False,True,False,False,True,327550,449,1,needs,2685.0,good,0.01,,,240,231,8.03,109,29,10,92,153.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/cat-325,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2888.0,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,cat supplies,Cat Supplies,1,cat,True,True,False,False,True,False,False,True,327550,365,1,needs,2888.0,good,0.046666666666666676,,,63,61,11.4,33,11,14,5,14.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/farm-and-livestock-supplies-8403,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2783.0,Farm Supplies and Livestock Supplies | Chewy,44,"Shop Chewy for low prices and the best Farm and Livestock Supplies! We carry a large selection and the top brands like Weaver Livestock, Sullivan Supply, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",262,farm animal and livestock supplies,Farm and Livestock Supplies,1,farm-and-livestock-supplies,True,True,False,False,True,False,False,True,318253,363,1,needs,2783.0,good,0.04,,,4,4,9.5,3,0,1,0,1.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/wild-bird-supplies-12931,True,Prioritize template performance work for pages with needs-improvement or poor field data.,3532.0,Wild Bird Supplies | Chewy,26,"Shop Chewy for low prices and the best Wild Bird! We carry a large selection and the top brands like Polly's Pet Products, Sunnydaze Decor, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,wild bird supplies,Wild Bird Supplies,1,wild-bird-supplies,True,True,False,False,True,False,False,True,318253,377,1,needs,3532.0,good,0.0,,,9,8,8.43,5,2,0,2,4.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/small-animal-supplies-and-accessories-977,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2956.0,Small Animal Supplies & Accessories | Chewy,43,"Shop Chewy for low prices and a wide selection of the best small pet supplies. From food, treats, habitats, bedding, litter, beds, toys, harnesses, carriers grooming products and more Chewy has the best small pet supplies from top-rated brands. *FREE* shipping on orders $49+ and the BEST customer service!",306,small animal supplies,Small Animal Supplies & Accessories,1,small-animal-supplies-and-accessories,True,True,False,False,True,False,False,True,318253,394,1,needs,2956.0,good,0.0,,,21,20,19.56,5,1,10,5,3.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/bird-supplies-and-accessories-941,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2848.0,Bird Supplies & Accessories | Chewy,35,"Shop Chewy for low prices on all your wild bird and pet bird supplies. We carry a wide selection of food and treats, cages and accessories, litter and nesting, perches and toys, grooming, health supplies and more from top-rated brands. *FREE* shipping on orders $49+ and the BEST customer service!",297,bird supplies,Bird Supplies & Accessories,1,bird-supplies-and-accessories,True,True,False,False,True,False,False,True,318253,382,1,needs,2848.0,good,0.02,,,17,15,15.4,2,5,3,7,13.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/pet-parent-shop-15439,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2717.0,Pet Parent Shop - Free shipping | Chewy,39,"Shop Chewy for low prices and the best Pet Parents! We carry a large selection and the top brands like E&S PETS, Hoop Dogs, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",232,pet parent gifts,Pet Parent Shop,1,pet-parent-shop,True,True,False,False,True,False,False,True,13048,355,2,needs,2717.0,good,0.02,,,8,8,9.17,4,0,2,2,3.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/horse-blankets-sheets-and-masks-11452,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2710.0,Horse Blanket | Chewy,21,"Shop Chewy for low prices and the best Blankets products! We carry a large selection and the top brands like Horseware, Tough1, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,horse blankets,Horse Blankets & Sheets,1,horse-blankets-sheets-and-masks,True,True,False,False,True,False,False,True,5636,360,2,needs,2710.0,needs,0.105,,,5,5,,0,0,0,5,2.0
Browse,Speed,LCP is not good,https://www.chewy.com/b/automatic-cat-feeders-8314,True,Prioritize template performance work for pages with needs-improvement or poor field data.,2566.0,Electronic Cat Treat Dispensers & Feeders (Free Shipping) | Chewy,65,"Shop Chewy for low prices and the best Automatic Cat Feeders! We carry a large selection and the top brands like Petlibro, IMIPAW, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,automatic cat feeders and treat dispensers,Automatic Cat Feeders,1,automatic-cat-feeders,True,True,False,False,True,False,False,True,36,355,2,needs,2566.0,good,0.01,,,1,1,,0,0,0,1,7.0
