page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/dog,True,Use descriptive slugs that carry the page topic.,,"Dog Care Articles, Tips, Information, & Guides | Chewy",54,"Your go-to hub for trusted tips on dog care, training, health, and more. Explore resources every dog parent should know. Discover dog care tips, articles, and guides packed with trusted information on training, grooming, nutrition, and more from the experts of Chewy Education.",277,dog,Dog,1,dog,True,True,False,False,False,False,False,False,318249,356,1,good,2251.0,poor,0.665,,,6,5,12.8,1,4,0,1,11.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/dog/grooming,True,Use descriptive slugs that carry the page topic.,,"Dog Grooming Tips and Guides for Bathing, Brushing & More | Chewy.com",69,"Discover dog grooming tips and guides for brushing, bathing, nail trimming, and coat care. Learn how to make grooming calm and consistent.",138,best grooming for dogs,Dog Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,4,4,8.5,1,1,0,2,2.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/cat,True,Use descriptive slugs that carry the page topic.,,"Cat Care Tips, Guides, and Helpful Information | Chewy",54,"Your central hub for trusted tips on cat care, behavior, health, and more. Start here for all things feline. Learn cat care tips, health guides, and key information to help your feline live a happy, healthy life. Ideal for new and seasoned cat parents.",252,cat,Cat,1,cat,True,True,False,False,False,False,False,False,318249,346,1,good,2163.0,poor,0.6699999999999999,,,5,5,22.75,0,1,3,1,8.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/cat/grooming,True,Use descriptive slugs that carry the page topic.,,"Cat Grooming Tips for Brushing, Nail Care, Bathing & More | Chewy.com",69,"Learn cat grooming tips for brushing, nail trimming, detangling, and bathing. Discover how to create a calm routine for cats of any coat type.",142,cat grooming,Cat Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,317,1,,,,,,,3,3,16.0,0,3,0,0,1.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/horse,True,Use descriptive slugs that carry the page topic.,,"Horse Care Tips, Maintenance Advice, and Information | Chewy",60,"Discover trusted horse care tips, daily maintenance guides, and practical information to support healthy and happy horses from the experts of Chewy Education.",158,,Horse,1,horse,True,True,False,False,False,False,False,False,318249,340,1,,,,,,,,,,,,,,1.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/fish,True,Use descriptive slugs that carry the page topic.,,"Fish Care Articles, Tips, Information, & Guides | Chewy",55,"Explore fish care guides, tank setup tips, and species-specific education in the Fish Education Hub. Discover our fish guides with expert tips on care, feeding, and maintenance. Learn how to keep all types of fish healthy, happy, and thriving every day.",253,,Fish,1,fish,True,True,False,False,False,False,False,False,318249,344,1,,,,,,,,,,,,,,1.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/fish/goldfish,True,Use descriptive slugs that carry the page topic.,,"Goldfish Care: Feeding, Tank Cleaning, and Maintenance & More | Chewy",69,"Discover goldfish care and tank maintenance tips to support clean water, proper feeding, and a healthy environment for your aquatic companion.",142,goldfish care,Goldfish,1,goldfish,True,True,False,False,False,False,False,False,318249,305,1,,,,,,,4,3,23.25,0,2,2,0,1.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/dog-breeds/pomeranian,True,Use descriptive slugs that carry the page topic.,,"Pomeranian Breed: Characteristics, Care & Photos | Chewy",56,"Pomeranians are tiny lap dogs with a big heart and an even bigger personality. Active and curious, this breed enjoys a good bark, a nice walk and regular brushing.",163,pomeranian,Pomeranian,1,pomeranian,True,True,False,False,True,False,False,True,318249,346,1,good,2369.0,good,0.03,,,2,2,26.5,0,0,2,0,123.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/dog-breeds/chihuahua,True,Use descriptive slugs that carry the page topic.,,"Chihuahua Breed: Characteristics, Care & Photos | Chewy",55,The feisty Chihuahua has a huge personality in a tiny package that pet parents can't help but adore. Read our complete guide to Chihuahuas.,139,chihuahua,Chihuahua,1,chihuahua,True,True,False,False,True,False,False,True,318249,337,1,good,2418.0,good,0.025,,,3,2,,0,0,0,3,176.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/dog-breeds/rottweiler,True,Use descriptive slugs that carry the page topic.,,"Rottweiler Characteristics, Care & Photos | Chewy",49,"The Rottweiler dog breed is intelligent, loyal and easy to train. Learn all about this hard-working dog in our complete Rottweiler guide.",137,rottweiler dog,Rottweiler,1,rottweiler,True,True,False,False,True,False,False,True,318249,350,1,needs,2633.0,good,0.03,,,1,1,30.0,0,0,1,0,89.0
Editorial,URL,URL slug is too generic,https://www.chewy.com/education/cat-breeds/siamese,True,Use descriptive slugs that carry the page topic.,,"Siamese Cat Breed: Characteristics, Care & Photos | Chewy",57,"The Siamese is a beautiful, active, and talkative cat breed. Learn if Siamese kittens and cats are right for you.",113,siamese,Siamese Cat,1,siamese,True,True,False,False,True,False,False,True,318249,332,1,,,,,,,1,1,28.0,0,0,1,0,116.0
