page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/cat/general/cat-dog-christmas-sweaters,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,10 Cat and Dog Christmas Sweaters We're Loving | Chewy,54,"What is the best way to celebrate the holiday season? By wearing matching cat and dog Christmas sweaters, of course.",116,christmas sweater for cats,10 Matching Christmas Sweaters for Pets and Their Parents,1,cat-dog-christmas-sweaters,True,True,False,False,False,False,False,False,4,321,4,,,,,,,3,3,18.5,0,1,1,1,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/training-and-behavior/best-puppy-toys,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,7 Best Puppy Toys for Your New Dog | Chewy,42,"From plush toys to puzzles, these top-rated puppy toys are the No.1 picks for pet parents who want to bond with their new dog.",126,puppy toys,7 Best Puppy Toys You Need for Your New Dog,1,best-puppy-toys,True,True,False,False,False,False,False,False,9,320,2,,,,,,,2,2,25.0,0,0,1,1,3.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/food-and-nutrition/best-natural-dog-treats,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"The Best Natural Dog Treats, According to Chewy Customers | Chewy",65,"Ditch the artificial additives and chemical fillers. These are the best natural dog treats, as rated by Chewy pet parents like you.",131,chewy exclusive soft and chewy dog treats,The Best Natural Dog Treats for a Nutritious Snack,1,best-natural-dog-treats,True,True,False,False,False,False,False,False,7,315,3,,,,,,,2,2,21.5,0,0,2,0,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/training-and-behavior/clicker-training-for-dogs,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Clicker Training for Dogs 101: Everything You Need To Know | Chewy,66,Using a clicker during dog training is a common positive reinforcement tactic. Get started with our guide to clicker training for dogs.,135,dog training clickers,Clicker Training for Dogs 101: Everything You Need To Know,1,clicker-training-for-dogs,True,True,False,False,False,False,False,False,31,315,2,,,,,,,7,7,17.83,0,6,0,1,20.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/cat/food-and-nutrition/valentines-day-cookie-grams-dogs-cats,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Make These Valentine's Day Cookie Grams for Your Pet | Chewy,60,"This Valentine's Day, show your pet (and all their furry friends) you love them by treating them to a baggie full of tasty treats.",130,valentine's day cat treats and food,Make These Valentine’s Day Cookie Grams for Your Pet and All Their Furry Friends,1,valentines-day-cookie-grams-dogs-cats,True,True,False,False,False,False,False,False,5,319,3,,,,,,,4,4,18.0,0,2,0,2,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/general/the-best-dog-sweaters-to-keep-your-pet-cozy-comfy-and-lookin-cute,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,10 Best Dog Sweaters for Dogs of All Sizes | Chewy,50,"Chewy editors have hand selected the best dog sweaters of the season, from knits to hoodies to fleeces.",103,best dog sweaters,"10 Best Dog Sweaters of 2024, According to Chewy Editors",1,the-best-dog-sweaters-to-keep-your-pet-cozy-comfy-and-lookin-cute,True,True,False,False,False,False,False,False,4,320,4,,,,,,,4,4,12.67,0,3,0,1,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/training-and-behavior/the-best-dog-toys-for-every-playful-pup,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"The Best Dog Toys, According to Chewy Shoppers | Chewy",54,We’ve rounded up the best dog toys—from the best dog fetch toy to the best plush toy to the best chew toy—to entertain every type of dog.,137,chewy dog toys,The Best Dog Toys for Every Playful Pup,1,the-best-dog-toys-for-every-playful-pup,True,True,False,False,False,False,False,False,2,320,3,,,,,,,4,4,17.33,0,2,1,1,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/reptile-and-amphibian/turtle-and-tortoise,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"Turtle & Tortoise Care Tips and Information on Habitat, Diet & More | Chewy",75,"Learn turtle and tortoise care with expert tips and trusted information on feeding, lighting, hydration, and indoor habitat setup from Chewy Education.",151,new turtle and tortoise health and wellness,Turtle & Tortoise,1,turtle-and-tortoise,True,True,False,False,False,False,False,False,24,316,2,,,,,,,3,3,11.0,0,1,0,2,2.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/dog/general/dog-summer-bucket-list,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,The Ultimate Dog Summer Bucket List | Chewy,43,Looking for the best summer ever with your pup? Check out these dog-friendly bucket list activities and complete a dog summer bucket list.,138,dog favorites by chewy,The Ultimate Dog Summer Bucket List,1,dog-summer-bucket-list,True,True,False,False,False,False,False,False,3,342,4,,,,,,,1,1,26.0,0,0,1,0,1.0
Editorial,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/education/reptile-and-amphibian/frog,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"Frog Care Information, Feeding Tips, Habitat Setup & More | Chewy",65,"Learn how to care for frogs with trusted information on tank setup, feeding, humidity, and everything you need to support a healthy amphibian.",142,frog humidity control and cleaners,Frog,1,frog,True,True,False,False,False,False,False,False,13,306,2,,,,,,,1,1,25.0,0,0,1,0,1.0
