page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/dog/food-and-nutrition,True,Update meta-description templates to reflect the primary ranking phrase.,alkaline food for dogs,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/dog/training-and-behavior,True,Update meta-description templates to reflect the primary ranking phrase.,entrenamiento para perros,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/dog/food-and-nutrition/best-dog-food,True,Update meta-description templates to reflect the primary ranking phrase.,best canine,"12 Best Dog Foods in 2026, Vet Recommended | Chewy",50,"These are our veterinary experts’ picks for the best dog food, from kibble to canned to fresh food.",99,best canine,"12 Best Dog Foods in 2026, Vet Recommended",1,best-dog-food,True,True,False,False,False,False,False,False,318249,331,1,good,2361.0,good,0.055,,,21,18,20.16,2,6,11,2,25.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/cat/food-and-nutrition,True,Update meta-description templates to reflect the primary ranking phrase.,chewy pet food for cats,"Cat Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Explore cat food and nutrition tips on feeding routines, ingredients, diet transitions, and choosing the right food for your cat’s age and health needs.",152,chewy pet food for cats,Cat Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,326,1,,,,,,,1,1,6.0,1,0,0,0,3.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/cat/training-and-behavior,True,Update meta-description templates to reflect the primary ranking phrase.,why does my cat steal my socks,"Cat Training & Behavior: House Rules, Bonding Techniques & More | Chewy",71,"Discover cat training and behavior insights, including how to manage unwanted habits, encourage positive routines, and reduce stress.",133,why does my cat steal my socks,Cat Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,329,1,,,,,,,2,2,,0,0,0,2,1.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/cat/food-and-nutrition/best-cat-food,True,Update meta-description templates to reflect the primary ranking phrase.,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",42,"These are our veterinary experts’ picks for the best cat food, from wet food to dry food to therapeutic diets.",110,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",1,best-cat-food,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,4,4,20.0,0,2,2,0,1.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/horse/feed-and-nutrition,True,Update meta-description templates to reflect the primary ranking phrase.,horse eating hay,"Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/fish/health-and-wellness,True,Update meta-description templates to reflect the primary ranking phrase.,goldfish losing scales,"Fish Health: Common Diseases, Symptoms, Treatment & More | Chewy",64,"Learn how to monitor fish health with tips on spotting illness, maintaining clean water, reducing stress, and treating common aquarium diseases.",144,goldfish losing scales,Fish Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,310,1,,,,,,,3,3,19.67,0,2,1,0,1.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/cat-breeds/bengal-cat,True,Update meta-description templates to reflect the primary ranking phrase.,are bengal cats friendly,"Bengal Cat Breed: Characteristics, Care & Photos | Chewy",56,"A Bengal cat is a large, spotted cat breed descended from a wild African leopard cat. Learn if a Bengal kitten is the right fit for you.",136,are bengal cats friendly,Bengal Cat,1,bengal-cat,True,True,False,False,True,False,False,True,318249,324,1,good,1845.0,good,0.01,,,4,4,16.0,1,1,1,1,85.0
Editorial,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/education/cat-breeds/maine-coon,True,Update meta-description templates to reflect the primary ranking phrase.,mancoon,"Maine Coon Breed: Characteristics, Care & Photos | Chewy",56,"A Maine Coon is a big cat breed who is friendly, fluffy, and vocal. Learn whether a Maine Coon cat is the right fit for you.",124,mancoon,Maine Coon,1,maine-coon,True,True,False,False,True,False,False,True,318249,336,1,good,1690.0,good,0.015,,,5,5,20.0,1,1,2,1,55.0
