page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/dog-deals-2733,True,Use this cohort to prioritize pages with the largest reachable audience gap.,33.0,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/cat-deals-2735,True,Use this cohort to prioritize pages with the largest reachable audience gap.,18.0,Cat Supplies On Sale: Discount Cat Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on cat supplies. Find great deals and see what cat supplies are on sale like cat litter, cat food, cat treats, cat toys, cat trees and more. FREE shipping on orders $49+ and the BEST customer service!",231,deals on cat supplies,Cat Deals,1,cat-deals,True,True,False,False,True,False,False,False,318238,367,1,good,2141.0,good,0.015,,,35,34,10.22,14,13,0,8,18.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/todays-deals-2723,True,Use this cohort to prioritize pages with the largest reachable audience gap.,85.0,"Today's Deals: Chewy Promo Codes, Discounts & Coupons | Chewy",61,"Check out Chewy's best deals, promo codes & coupons. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",159,chewy promo code,Today's Deals,1,todays-deals,True,True,False,False,True,False,False,False,327550,376,1,good,2444.0,good,0.0033333333333333335,,,72,72,2.08,69,2,1,0,85.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/50-off-your-first-autoship-order-3448422,True,Use this cohort to prioritize pages with the largest reachable audience gap.,21.0,50% off your first Autoship order of prescription medication - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of prescription medication! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",306,chewy autoship promo code,50% off your first Autoship order of prescription medication,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,48,351,1,good,1814.0,good,0.085,,,1,1,,0,0,0,1,21.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/free-20-egift-card-your-75-order-4330014,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,Free $20 eGift card with your $75 order of Purina favorites - Free shipping | Chewy,83,"Shop Chewy for low prices and the best Free $20 eGift card with your $75 order of Purina favorites! We carry a large selection and the top brands like Merrick, Fancy Feast, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",281,,Free $20 eGift card with your $75 order of Purina favorites,1,free-20-egift-card-your-75-order,True,True,False,False,True,False,False,False,196,348,1,good,2482.0,good,0.025,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/cat-4320374,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,,0,cat,True,True,False,False,True,False,False,True,325,346,2,,,,,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/pet-tech-smart-home-164574,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,Deals on Pet Tech & Smart Home - Free shipping | Chewy,54,"Shop Chewy for low prices and the best Pet Tech & Smart Home! We carry a large selection and the top brands like LvLrister, PEKTACO, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,,Deals on Pet Tech & Smart Home,1,pet-tech-smart-home,True,True,False,False,True,False,False,False,214,358,2,,,,,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/dog-4320278,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,,0,dog,True,True,False,False,True,False,False,True,451,348,2,,,,,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/dna-test-kits-145102,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,DNA Test Kit Deals - Free shipping | Chewy,42,"Shop Chewy for low prices and the best DNA Test Kits! We carry a large selection and the top brands like Embark, DNA My Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,,DNA Test Kit Deals,1,dna-test-kits,True,True,False,False,True,False,False,False,202,307,2,,,,,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/grooming-supplies-more-8104,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"Dog Grooming, Supplies & More Deals - Free shipping | Chewy",59,"Shop Chewy for low prices and the best Grooming, Supplies & More! We carry a large selection and the top brands like Frisco, Mendota Products, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,"Dog Grooming, Supplies & More Deals",1,grooming-supplies-more,,False,False,False,True,False,False,False,496,353,2,,,,,,,,,,,,,,1.0
Deals,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/deals/tech-smart-home-151094,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,Dog Tech and Smart Home Deals - Free shipping | Chewy,53,"Shop Chewy for low prices and the best Tech & Smart Home! We carry a large selection and the top brands like LvLrister, PetSafe, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Dog Tech and Smart Home Deals,1,tech-smart-home,True,True,False,False,True,False,False,False,209,344,2,,,,,,,,,,,,,,1.0
