page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/products-by-dog-breed_s142470,True,Update meta-description templates to reflect the primary ranking phrase.,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds 2026 | Chewy,49,Checkout Today's Best Products by Dog Breed Supplies. Our customers believe that these are the Best Products by Dog Breed products out there.,141,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds,1,products-by-dog-breed,True,True,False,False,True,False,False,False,318249,422,1,,,,,,,4,4,18.33,1,0,2,1,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/small-animal-supplies_s121454,True,Update meta-description templates to reflect the primary ranking phrase.,fat-tailed gerbil pet supplies,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/nesting-pads-chickens_s3897318,True,Update meta-description templates to reflect the primary ranking phrase.,chicken nesting pads,,,,,chicken nesting pads,,0,nesting-pads-chickens,,True,False,False,False,False,False,False,188,0,2,,,,,,,1,1,11.0,0,1,0,0,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/parrot-foods_s122670,True,Update meta-description templates to reflect the primary ranking phrase.,amazon parrot food,Best Parrot Foods 2026: According to Reviews | Chewy,52,Checkout Today's Best Parrot Foods. Our customers believe that these are the Best Parrot Foods products out there.,114,amazon parrot food,Best Parrot Food,1,parrot-foods,True,True,False,False,True,False,False,True,93,329,2,,,,,,,4,4,23.0,0,1,2,1,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/labrador-retriever-puppy-crates_s131412,True,Update meta-description templates to reflect the primary ranking phrase.,best crate for lab puppy,"Best Labrador Retriever Puppy Crates, Pens & Gates 2026: According to Reviews | Chewy",85,"Check out the best crates, pens, and gates. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!",228,best crate for lab puppy,Best Crates For Labrador Retriever Puppies,1,labrador-retriever-puppy-crates,True,True,False,False,True,False,False,True,1,337,2,,,,,,,3,3,13.5,0,2,0,1,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/dog-foods-for-shih-tzus_s140150,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for older shih tzu,Best Dog Foods for Shih Tzus 2026: According to Reviews | Chewy,63,Checkout Today's Best Dog Foods for Shih Tzus. Our customers believe that these are the Best Dog Foods for Shih Tzus products out there.,136,best dog food for older shih tzu,Best Dog Foods for Shih Tzu,1,dog-foods-for-shih-tzus,True,True,False,False,True,False,False,False,5,335,2,,,,,,,1,1,24.0,0,0,1,0,11.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/collars-for-german-shepherds_s142870,True,Update meta-description templates to reflect the primary ranking phrase.,best dog shock collar for german shepherd,Best Collars for German Shepherds 2026: According to Reviews | Chewy,68,Checkout Today's Best Collars for German Shepherds. Our customers believe that these are the Best Collars for German Shepherds products out there.,146,best dog shock collar for german shepherd,Best Collar For German Shepherd,1,collars-for-german-shepherds,True,True,False,False,True,False,False,False,70,335,2,,,,,,,2,2,15.0,0,1,0,1,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/dog-harnesses-for-english-bulldogs_s140190,True,Update meta-description templates to reflect the primary ranking phrase.,best harness for english bulldog,Best Dog Harnesses for English Bulldogs 2026: According to Reviews | Chewy,74,Checkout Today's Best Dog Harnesses for English Bulldogs. Our customers believe that these are the Best Dog Harnesses for English Bulldogs products out there.,158,best harness for english bulldog,Best Harness For English Bulldog,1,dog-harnesses-for-english-bulldogs,True,True,False,False,True,False,False,False,271,335,2,,,,,,,2,2,11.5,0,2,0,0,6.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-pit-bulls_s172238,True,Update meta-description templates to reflect the primary ranking phrase.,best puppy food for pitbull puppies,Best Puppy Foods for Pit Bulls 2026: According to Reviews | Chewy,65,Checkout Today's Best Puppy Foods for Pit Bulls. Our customers believe that these are the Best Puppy Foods for Pit Bulls products out there.,140,best puppy food for pitbull puppies,Best Puppy Foods for Pit Bulls,1,puppy-foods-for-pit-bulls,True,True,False,False,True,False,False,False,23,335,2,,,,,,,10,10,12.0,4,1,2,3,20.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-huskies_s172270,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for huskies,Best Puppy Foods for Huskies 2026: According to Reviews | Chewy,63,Checkout Today's Best Puppy Foods for Huskies. Our customers believe that these are the Best Puppy Foods for Huskies products out there.,136,best dog food for huskies,Best Puppy Foods for Huskies,1,puppy-foods-for-huskies,True,True,False,False,True,False,False,False,5,335,2,,,,,,,6,5,9.0,3,2,0,1,15.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/dog-foods-for-chihuahuas_s140086,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for senior chihuahua,Best Dog Foods for Chihuahuas 2026: According to Reviews | Chewy,64,Checkout Today's Best Dog Foods for Chihuahuas. Our customers believe that these are the Best Dog Foods for Chihuahuas products out there.,138,best dog food for senior chihuahua,Best Dog Food For Chihuahuas,1,dog-foods-for-chihuahuas,True,True,False,False,True,False,False,True,5,335,2,,,,,,,3,3,26.67,0,0,3,0,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-chihuahuas_s172294,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for chihuahua,Best Puppy Foods for Chihuahuas 2026: According to Reviews | Chewy,66,Checkout Today's Best Puppy Foods for Chihuahuas. Our customers believe that these are the Best Puppy Foods for Chihuahuas products out there.,142,best dog food for chihuahua,Best Puppy Foods for Chihuahuas,1,puppy-foods-for-chihuahuas,True,True,False,False,True,False,False,False,6,335,2,,,,,,,11,10,14.64,5,4,2,0,39.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-rottweilers_s172254,True,Update meta-description templates to reflect the primary ranking phrase.,best food for rottweiler puppies,Best Puppy Foods for Rottweilers 2026: According to Reviews | Chewy,67,Checkout Today's Best Puppy Foods for Rottweilers. Our customers believe that these are the Best Puppy Foods for Rottweilers products out there.,144,best food for rottweiler puppies,Best Food For Rottweiler Puppy,1,puppy-foods-for-rottweilers,True,True,False,False,True,False,False,False,6,335,2,,,,,,,6,5,9.8,3,2,0,1,10.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/dog-foods-for-cane-corsos_s140078,True,Update meta-description templates to reflect the primary ranking phrase.,best food for a cane corso,Best Dog Foods for Cane Corsos 2026: According to Reviews | Chewy,65,Checkout Today's Best Dog Foods for Cane Corsos. Our customers believe that these are the Best Dog Foods for Cane Corsos products out there.,140,best food for a cane corso,Best Dog Food For Cane Corsos,1,dog-foods-for-cane-corsos,True,True,False,False,True,False,False,True,5,335,2,,,,,,,4,4,24.0,0,1,1,2,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/dog-foods-for-yorkshire-terriers_s140166,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for yorkies,Best Dog Foods for Yorkshire Terriers 2026: According to Reviews | Chewy,72,Checkout Today's Best Dog Foods for Yorkshire Terriers. Our customers believe that these are the Best Dog Foods for Yorkshire Terriers products out there.,154,best dog food for yorkies,Best Dog Food For Yorkies,1,dog-foods-for-yorkshire-terriers,True,True,False,False,True,False,False,False,2,335,2,,,,,,,19,19,12.5,10,4,4,1,21.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-maltese_s237166,True,Update meta-description templates to reflect the primary ranking phrase.,best dog food for maltese shih tzu mix,Best Puppy Foods for Maltese 2026: According to Reviews | Chewy,63,Checkout Today's Best Puppy Foods for Maltese. Our customers believe that these are the Best Puppy Foods for Maltese products out there.,136,best dog food for maltese shih tzu mix,Best Puppy Food For Maltese,1,puppy-foods-for-maltese,True,True,False,False,True,False,False,False,2,335,2,,,,,,,1,1,15.0,0,1,0,0,14.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-pomeranians_s172286,True,Update meta-description templates to reflect the primary ranking phrase.,best milk for pomeranian puppy,Best Puppy Foods for Pomeranians 2026: According to Reviews | Chewy,67,Checkout Today's Best Puppy Foods for Pomeranians. Our customers believe that these are the Best Puppy Foods for Pomeranians products out there.,144,best milk for pomeranian puppy,Best Food For Pomeranian Puppy,1,puppy-foods-for-pomeranians,True,True,False,False,True,False,False,False,3,335,2,,,,,,,1,1,13.0,0,1,0,0,12.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/puppy-foods-for-yorkshire-terriers_s172246,True,Update meta-description templates to reflect the primary ranking phrase.,best puppy food for yorkies,Best Puppy Foods for Yorkshire Terriers 2026: According to Reviews | Chewy,74,Checkout Today's Best Puppy Foods for Yorkshire Terriers. Our customers believe that these are the Best Puppy Foods for Yorkshire Terriers products out there.,158,best puppy food for yorkies,Best Puppy Foods for Yorkshire Terriers,1,puppy-foods-for-yorkshire-terriers,True,True,False,False,True,False,False,False,2,335,2,,,,,,,7,7,8.83,5,0,1,1,24.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/premium-cat-foods_s112240,True,Update meta-description templates to reflect the primary ranking phrase.,best cat food for cats,Best Premium Cat Foods 2026: According to Reviews | Chewy,57,Checkout Today's Best Premium Cat Foods. Our customers believe that these are the Best Premium Cat Foods products out there.,124,best cat food for cats,Best Premium Cat Food,1,premium-cat-foods,True,True,False,False,True,False,False,True,207,335,2,,,,,,,2,2,27.0,0,0,1,1,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/covered-cat-beds_s112304,True,Update meta-description templates to reflect the primary ranking phrase.,chewycatbeds,Best Covered Cat Beds 2026: According to Reviews | Chewy,56,Checkout Today's Best Covered Cat Beds. Our customers believe that these are the Best Covered Cat Beds products out there.,122,chewycatbeds,Best Covered Cat Bed,1,covered-cat-beds,True,True,False,False,True,False,False,False,260,336,2,,,,,,,3,3,20.0,1,0,2,0,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/cockatiel-cages_s122654,True,Update meta-description templates to reflect the primary ranking phrase.,best cockatiel cage setup,Best Cockatiel Cages 2026: According to Reviews | Chewy,55,Checkout Today's Best Cockatiel Cages. Our customers believe that these are the Best Cockatiel Cages products out there.,120,best cockatiel cage setup,Best Cages For Cockatiel,1,cockatiel-cages,True,True,False,False,True,False,False,False,56,327,2,,,,,,,1,1,14.0,0,1,0,0,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/cockatiel-foods_s122630,True,Update meta-description templates to reflect the primary ranking phrase.,best food for cockatiels,Best Cockatiel Foods 2026: According to Reviews | Chewy,55,Checkout Today's Best Cockatiel Foods. Our customers believe that these are the Best Cockatiel Foods products out there.,120,best food for cockatiels,Best Food For Cockatiels,1,cockatiel-foods,True,True,False,False,True,False,False,True,53,327,2,,,,,,,11,11,15.0,2,6,0,3,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/fish-tanks-aquariums_s128044,True,Update meta-description templates to reflect the primary ranking phrase.,best fish tank brands,Best Fish Tanks & Aquariums 2026: According to Reviews | Chewy,62,Checkout Today's Best Fish Tanks & Aquariums. Our customers believe that these are the Best Fish Tanks & Aquariums products out there.,134,best fish tank brands,Best Fish Tanks,1,fish-tanks-aquariums,True,True,False,False,True,False,False,True,85,335,2,,,,,,,11,10,15.62,0,8,0,3,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/turnout-blankets-horses_s124086,True,Update meta-description templates to reflect the primary ranking phrase.,best rated horse blankets,Best Turnout Blankets for Horses 2026: According to Reviews | Chewy,67,Checkout Today's Best Turnout Blankets for Horses. Our customers believe that these are the Best Turnout Blankets for Horses products out there.,144,best rated horse blankets,Best Horse Turnout Blanket,1,turnout-blankets-horses,True,True,False,False,True,False,False,False,28,336,2,,,,,,,1,1,25.0,0,0,1,0,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/horse-liniments_s124046,True,Update meta-description templates to reflect the primary ranking phrase.,best liniment for horses,Best Horse Liniments 2026: According to Reviews | Chewy,55,Checkout Today's Best Horse Liniments. Our customers believe that these are the Best Horse Liniments products out there.,120,best liniment for horses,Best Horse Liniment,1,horse-liniments,True,True,False,False,True,False,False,False,3,336,2,,,,,,,4,4,10.0,2,1,0,1,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/parakeet-foods_s122598,True,Update meta-description templates to reflect the primary ranking phrase.,organic parakeet food,Best Parakeet Foods 2026: According to Reviews | Chewy,54,Checkout Today's Best Parakeet Foods. Our customers believe that these are the Best Parakeet Foods products out there.,118,organic parakeet food,Best Parakeet Food,1,parakeet-foods,True,True,False,False,True,False,False,True,47,328,2,,,,,,,13,13,19.73,1,5,5,2,1.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/carriers-dogs_s103464,True,Update meta-description templates to reflect the primary ranking phrase.,chewy dog carrier,Best Carriers for Dogs 2026: According to Reviews | Chewy,57,Checkout Today's Best Carriers for Dogs. Our customers believe that these are the Best Carriers for Dogs products out there.,124,chewy dog carrier,Best Dog Carrier,1,carriers-dogs,True,True,False,False,True,False,False,True,246,336,2,,,,,,,2,2,22.5,0,1,1,0,2.0
Top Picks,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/best/chinchilla-foods_s128380,True,Update meta-description templates to reflect the primary ranking phrase.,what is the best food for chinchillas,Best Chinchilla Foods 2026: According to Reviews | Chewy,56,Checkout Today's Best Chinchilla Foods. Our customers believe that these are the Best Chinchilla Foods products out there.,122,what is the best food for chinchillas,Best Chinchilla Food,1,chinchilla-foods,True,True,False,False,True,False,False,True,42,333,2,,,,,,,4,4,22.33,0,1,2,1,1.0
