page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/immune-support-horse-vitamins_c1692_f50v63772,True,Update URL patterns so the slug reflects the primary search intent.,horse immune supplements for sensitive skin,IMMUNE SUPPORT HORSE VITAMINS & SUPPLEMENTS (Free Shipping) | Chewy,67,"Shop Chewy for the best deals on Immune Support Horse Vitamins & Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Immune Support Horse Vitamins & Supplements for your pet.",267,horse immune supplements for sensitive skin,Immune Support Horse Vitamins & Supplements,1,immune-support-horse-vitamins,True,False,False,False,True,False,False,False,38,368,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/dry-cat-foodforskin-coat_c388_f50v9076,True,Update URL patterns so the slug reflects the primary search intent.,veterinary diet cat food for skin and coat health,DRY CAT FOOD FOR SKIN AND COAT (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Dry Cat Food for Skin and Coat and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dry Cat Food for Skin and Coat for your pet.",241,veterinary diet cat food for skin and coat health,Dry Cat Food for Skin and Coat,1,dry-cat-foodforskin-coat,True,True,False,False,True,False,False,False,121,403,2,,,,,,,4,4,10.5,2,2,0,0,5.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Update URL patterns so the slug reflects the primary search intent.,horse soreness relief,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/liquid-probiotics-cats_c1577_f83v20482,True,Update URL patterns so the slug reflects the primary search intent.,digestive health and probiotic liquid and gel supplements for cats,LIQUID PROBIOTICS FOR CATS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Liquid Probiotics for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Probiotics for Cats for your pet.",233,digestive health and probiotic liquid and gel supplements for cats,Liquid Probiotics for Cats,1,liquid-probiotics-cats,True,True,False,False,True,False,False,False,5,346,2,,,,,,,2,2,2.0,2,0,0,0,3.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/rawhide-free-bones-bully-sticks_c1540_f3v34242,True,Update URL patterns so the slug reflects the primary search intent.,chewy exclusive bones bully sticks and natural dog chews,"RAWHIDE FREE BONES, BULLY STICKS & NATURAL DOG CHEWS (Free Shipping) | Chewy",76,"Shop Chewy for the best deals on Rawhide Free Bones, Bully Sticks & Natural Dog Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Rawhide Free Bones, Bully Sticks & Natural Dog Chews for your pet.",285,chewy exclusive bones bully sticks and natural dog chews,"Rawhide Free Bones, Bully Sticks & Natural Dog Chews",1,rawhide-free-bones-bully-sticks,True,True,False,False,True,False,False,False,313,384,2,,,,,,,3,3,21.33,0,1,2,0,1.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/elk-flavored-bones-bully-sticks_c1540_f4v265390,True,Update URL patterns so the slug reflects the primary search intent.,elk flavored antler dog chews,"ELK FLAVORED BONES, BULLY STICKS & NATURAL DOG CHEWS (Free Shipping) | Chewy",76,"Shop Chewy for the best deals on Elk flavored Bones, Bully Sticks & Natural Dog Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Elk flavored Bones, Bully Sticks & Natural Dog Chews for your pet.",285,elk flavored antler dog chews,"Elk flavored Bones, Bully Sticks & Natural Dog Chews",1,elk-flavored-bones-bully-sticks,True,True,False,False,True,False,False,False,312,385,2,,,,,,,3,2,11.0,1,0,1,1,1.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/injectable-allergy-medicine-dogs_c11568_f83v383900,True,Update URL patterns so the slug reflects the primary search intent.,cytopoint chewy,INJECTABLE ALLERGY MEDICINE FOR DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Injectable Allergy Medicine for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Injectable Allergy Medicine for Dogs for your pet.",253,cytopoint chewy,Injectable Allergy Medicine for Dogs,1,injectable-allergy-medicine-dogs,True,True,False,False,True,False,False,False,4,318,2,,,,,,,2,2,4.5,2,0,0,0,11.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/tortoise-terrariums-habitats_c1036_f57v68273,True,Update URL patterns so the slug reflects the primary search intent.,russian tortoise enclosure,TORTOISE TERRARIUMS & HABITATS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Tortoise Terrariums & Habitats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tortoise Terrariums & Habitats for your pet.",241,russian tortoise enclosure,Tortoise Terrariums & Habitats,1,tortoise-terrariums-habitats,True,True,False,False,True,False,False,True,56,366,2,,,,,,,6,6,6.8,4,1,0,1,13.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/40-gallon-fish-tanks_c1735_f739v966790,True,Update URL patterns so the slug reflects the primary search intent.,40 gallon saltwater aquarium,40 GALLON FISH TANKS & UNDER (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on 31-40 Gallon Fish Tanks and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 31-40 Gallon Fish Tanks & Under for your pet.",235,40 gallon saltwater aquarium,40 Gallon Fish Tanks,1,40-gallon-fish-tanks,True,True,False,False,True,False,False,True,14,327,2,,,,,,,3,3,17.33,0,3,0,0,9.0
HVF,URL,URL slug does not align to main keyword,https://www.chewy.com/f/incandescent-heating-lighting_c1047_f68v85073,True,Update URL patterns so the slug reflects the primary search intent.,snake heat lamp and bulbs,INCANDESCENT HEATING & LIGHTING REPTILES (Free Shipping) | Chewy,64,"Shop Chewy for the best deals on Incandescent Heating & Lighting Reptiles and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Incandescent Heating & Lighting Reptiles for your pet.",261,snake heat lamp and bulbs,Incandescent Heating & Lighting Reptiles,1,incandescent-heating-lighting,True,True,False,False,True,False,False,False,48,356,2,,,,,,,2,2,,0,0,0,2,1.0
