page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/treats-391,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",6,"Best Cat Treats - Lickable, Soft, Crunchy & More | Chewy",56,"Explore Cat Treats on Chewy with crunchy, soft, freeze dried and lickable options for every feline. Discover healthy, natural cat treats and more from top brands like Temptations, INABA Churu, Greenies & more.",209,cat treats,Cat Treats,1,treats,True,True,False,False,True,False,False,True,327550,415,1,good,2041.0,needs,0.12000000000000001,,,41,38,11.76,16,11,6,8,44.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/soft-cat-treats-1553,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",3,"Soft Cat Treats: Chewy & Tasty, Top Brands (Free Shipping) | Chewy",66,"Shop Chewy for low prices and the best soft cat treats! If you have a cat with sensitive teeth, soft and chewy treats are a scrumptious option to keep them happy. We carry the top-rated soft treats from gluten-free to grain-free to sensitive digestion, high protein and more. *FREE* shipping on orders $49+ and the BEST customer service!",337,soft cat treats,Soft Cat Treats,1,soft-cat-treats,True,True,False,False,True,False,False,True,318253,357,1,good,1734.0,needs,0.225,,,13,13,8.69,9,1,3,0,8.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/food-387,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",10,,,,,cat food,,0,food,,False,False,False,False,False,False,False,1,0,3,,,,,,,240,231,8.03,109,29,10,92,
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/vet-diet-cat-treats-1556,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",3,Prescription Cat Treats: Vet Recommended (Free Shipping) | Chewy,64,"Shop Chewy for low prices on prescription cat treats. We carry a wide selection of prescription cat treats from top brands like Royal Canin, Hill's Prescription Diet and more to help with weight control, sensitive stomach and more. *FREE* shipping on orders $49+ and the BEST customer service!",293,veterinary diet cat treats on sale,Veterinary Diet Cat Treats,1,vet-diet-cat-treats,True,True,False,False,True,False,False,False,200,338,2,good,1538.0,good,0.04,,,13,12,12.6,5,2,3,3,8.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/cyber-week-2732,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Cyber Week Pet Deals 2025 (Up to 50% Off) | Chewy,49,"Shop Chewy for low prices on the best Cyber Monday & Cyber Week Deals. We carry a wide selection of deals for dogs, cats, birds, small pets, fish and more. Buy fun toys, tasty treats or other cute items for your pet this holiday season! *FREE* shipping on orders $49+ and the BEST customer service!",298,chewy cyber monday deals,2025 Cyber Week Pet Deals,1,cyber-week,True,True,False,False,True,False,False,True,2854,351,4,,,,,,,30,30,2.48,28,0,1,1,2.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/black-friday-cat-collars-id-tags-2930,False,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,,,,,black friday deals on cat collars id tags and accessories,,,,,,,,,,,,,,,,,,,,,4,3,12.0,2,0,1,1,
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/dog-costumes-1963,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Dog Costumes: Halloween Costumes for Dogs, Spooky & Scary (Free Shipping) | Chewy",81,"Shop Chewy for the best halloween dog costumes! Check out our wide selection of spooky dog costumes for Halloween and much more. Your pup can reveal their true personality or his silly side with these halloween pet costumes, and you can snap a pic to share with their fans.*FREE* shipping on orders $49+!",304,dog halloween costumes,Dog Costumes,1,dog-costumes,True,True,False,False,True,False,False,True,1281,367,2,good,1551.0,needs,0.13,,,32,31,6.31,22,6,1,3,13.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/wet-food-293,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,"Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy",60,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!",156,wet dog food,Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,True,327548,416,1,good,2156.0,needs,0.22333333333333336,,,125,123,6.76,97,14,5,9,106.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/dog-feeding-supplies-and-accessories-338,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Dog Bowls, Food Storage, Fountains & Feeders (Free Shipping) | Chewy",68,"Shop Chewy for high quality products and low prices to make mealtime more special with the best in dog dishes, food storage supplies and pet water fountains. Check out top brands like Outward Hound, Drinkwell and more at Chewy.com *FREE* shipping on orders $49+ and the BEST customer service.",292,dog feeder,Dog Bowls & Feeders,1,dog-feeding-supplies-and-accessories,True,True,False,False,True,False,False,True,318253,403,1,good,1857.0,good,0.03,,,29,29,9.55,12,7,1,9,45.0
Browse,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/b/elevated-bowls-1423,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Elevated Dog Bowls Stands: Small & Large (Free Shipping) | Chewy,64,Shop Chewy for low prices on elevated dog bowl stands. We have a wide selection of elevated dog bowl stands for small and large dogs in a variety of styles and materials you're sure to find the right one for your pup and your home. *FREE* shipping on orders $49+ and the BEST customer service!,293,elevated dog bowls,Elevated Dog Bowls,1,elevated-bowls,True,True,False,False,True,False,False,True,809,376,2,good,1529.0,good,0.075,,,26,26,5.96,20,3,1,2,118.0
