page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/food-treats-156206,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Fish Food - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fluval, API, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",226,cyber week deals on fish food and treats,Fish Food,1,food-treats,True,True,False,False,True,False,False,False,22,341,3,,,,,,,2,2,24.5,0,0,2,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/rawhide-for-dogs-3939606,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on rawhide dog chews,,,,,,,,,,,,,,,,,,,,,2,2,26.5,0,0,2,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/104902,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,2,2,29.0,0,0,1,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/antlers-for-dogs-3939670,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,cyber week deals on antler dog chews,,,,,,,,,,,,,,,,,,,,,2,2,28.0,0,0,1,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/id-tags-collars-leashes-134374,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,2,18.0,0,1,1,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/jerky-treats-115110,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Deals on Dog Jerky Treats - Free shipping | Chewy,49,"Shop Chewy for low prices and the best Jerky Treats! We carry a large selection and the top brands like Beggin', Farmland Traditions, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,chewy exclusive jerky dog treats,Deals on Dog Jerky Treats,1,jerky-treats,,False,False,False,True,False,False,False,36,341,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/id-tags-collars-leashes-8735,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"Dog ID Tags, Collars, & Leashes Deals - Free shipping | Chewy",61,"Shop Chewy for low prices and the best ID Tags, Collars & Leashes! We carry a large selection and the top brands like Buckle-Down, Pawtitas, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,top rated dog leashes collars and id tags by chewy,"Dog ID Tags, Collars, & Leashes Deals",1,id-tags-collars-leashes,,False,False,False,True,False,False,False,217,348,3,,,,,,,1,1,25.0,0,0,1,0,1.0
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-3939382,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-134204,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/gerbil-litter-bedding-and-accessories-4042534,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,gerbil litter bedding and accessories,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/trees-condos-3974702,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,top rated cat trees condos and furniture by chewy,,,,,,,,,,,,,,,,,,,,,1,1,29.0,0,0,1,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/dental-chews-4330358,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Dog Dental Chews: Dental Sticks & Treats (Free Shipping) | Chewy,64,"Shop Chewy for low prices on dog dental chews. We carry a wide selection of the best dog dental chews, sticks and treats from top brands like, Greenies and SmartBones, to keep your pup's teeth clean and come in a variety of different flavors they'll love. *FREE* shipping on orders $49+ and the BEST customer service!",317,chewy exclusive dog dental treats,Dog Dental Chews & Treats,1,dental-chews,True,True,False,False,True,False,False,True,1,334,5,,,,,,,1,1,28.0,0,0,1,0,1.0
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/sugar-glider-bed-4158134,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,sugar glider beds hideouts and toys,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/bones-bully-sticks-chews-3939302,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive bones bully sticks and natural dog chews,,,,,,,,,,,,,,,,,,,,,1,1,12.0,0,1,0,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/cat-127470,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy shipping price,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/3691862,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,bearded dragon tank cover​s,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/soft-chewy-treats-115070,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Deals on Dog Soft & Chewy Treats - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Zuke's, Beggin', and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on soft & chewy dog treats,Deals on Dog Soft & Chewy Treats,1,soft-chewy-treats,,False,False,False,True,False,False,False,39,344,3,,,,,,,3,2,29.0,0,0,1,2,1.0
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/science-backed-formulas-3933342,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on shop cat food by health consideration,,,,,,,,,,,,,,,,,,,,,1,1,18.0,0,1,0,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/health-consideration-3453654,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on shop dry cat food by health consideration,,,,,,,,,,,,,,,,,,,,,1,1,18.0,0,1,0,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/health-consideration-3450854,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on shop wet cat food by health consideration,,,,,,,,,,,,,,,,,,,,,2,2,26.0,0,0,2,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/potty-training-aids-115310,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Deals on Dog Potty Training Aids - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Potty Training Aids! We carry a large selection and the top brands like Caldwell's Pet Supply Co., PoochieBells, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",260,deals on dog potty training aids,Deals on Dog Potty Training Aids,1,potty-training-aids,,False,False,False,True,False,False,False,12,341,4,,,,,,,1,1,,0,0,0,1,1.0
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/cat-travel-bowls-2686486,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on cat travel bowls,,,,,,,,,,,,,,,,,,,,,2,1,20.0,0,1,1,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/dental-care-3983190,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on cat dental care products,,,,,,,,,,,,,,,,,,,,,1,1,30.0,0,0,1,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/cat-brushless-teeth-cleaning-2687918,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on cat brushless teeth cleaning,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/wet-cat-food-for-weight-loss-3933390,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,weight control wet cat food on sale,,,,,,,,,,,,,,,,,,,,,2,2,24.5,0,0,2,0,
Deals,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/deals/dog-13594,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,deals on dog favorites by chewy,,,,,,,,,,,,,,,,,,,,,2,2,26.0,0,0,2,0,
