page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/dog,True,Rewrite descriptions that are too short or too long.,277,"Dog Care Articles, Tips, Information, & Guides | Chewy",54,"Your go-to hub for trusted tips on dog care, training, health, and more. Explore resources every dog parent should know. Discover dog care tips, articles, and guides packed with trusted information on training, grooming, nutrition, and more from the experts of Chewy Education.",277,dog,Dog,1,dog,True,True,False,False,False,False,False,False,318249,356,1,good,2251.0,poor,0.665,,,6,5,12.8,1,4,0,1,11.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/dog/new-dog,True,Rewrite descriptions that are too short or too long.,242,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/cat,True,Rewrite descriptions that are too short or too long.,252,"Cat Care Tips, Guides, and Helpful Information | Chewy",54,"Your central hub for trusted tips on cat care, behavior, health, and more. Start here for all things feline. Learn cat care tips, health guides, and key information to help your feline live a happy, healthy life. Ideal for new and seasoned cat parents.",252,cat,Cat,1,cat,True,True,False,False,False,False,False,False,318249,346,1,good,2163.0,poor,0.6699999999999999,,,5,5,22.75,0,1,3,1,8.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/cat/new-cat,True,Rewrite descriptions that are too short or too long.,253,"New Cat Tips on Kitten Needs, Adoption Adjustment & More | Chewy",64,"Just brought home a new cat or kitten? The New Cat Hub offers tips to help you get started. Learn how to welcome a kitten or adopted cat with tips on routines, socialization, feeding, litter training, and creating a safe home environment. the right way.",253,,New Cat,1,new-cat,True,True,False,False,False,False,False,False,318249,320,1,good,2027.0,poor,0.7,,,,,,,,,,4.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/horse/riding-and-management,True,Rewrite descriptions that are too short or too long.,236,"Horse Riding & Management: Daily Routines, Gear Care & More | Chewy",67,"Explore riding techniques and barn management tips in the Horse Riding & Management Education Hub. Explore expert tips on horse riding and management, including barn upkeep, gear care, and how to support your horse through every season.",236,,Riding & Management,1,riding-and-management,True,True,False,False,False,False,False,False,318249,314,1,,,,,,,,,,,,,,1.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/horse/tack-and-stable,True,Rewrite descriptions that are too short or too long.,240,"Horse Tack & Stable: Tack Room Setup, Cleaning Tips & More | Chewy",66,"Learn how to choose, care for, and organize your tack and stable essentials in the Horse Tack & Stable Hub. Explore horse tack and stable tips for gear care, barn management, cleaning routines, and creating efficient, well-organized spaces.",240,chewy horse supplies,Tack & Stable,1,tack-and-stable,True,True,False,False,False,False,False,False,318249,319,1,,,,,,,1,1,,0,0,0,1,1.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/fish,True,Rewrite descriptions that are too short or too long.,253,"Fish Care Articles, Tips, Information, & Guides | Chewy",55,"Explore fish care guides, tank setup tips, and species-specific education in the Fish Education Hub. Discover our fish guides with expert tips on care, feeding, and maintenance. Learn how to keep all types of fish healthy, happy, and thriving every day.",253,,Fish,1,fish,True,True,False,False,False,False,False,False,318249,344,1,,,,,,,,,,,,,,1.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/dog-breeds,True,Rewrite descriptions that are too short or too long.,58,The Complete List of Dog Breeds: Find Your Dog Breed Match | Chewy,66,The Complete List of Dog Breeds: Find Your Dog Breed Match,58,dog breeds,Dog Breeds,1,dog-breeds,True,True,False,False,True,False,False,False,318249,488,1,good,1605.0,good,0.01,,,6,6,18.67,1,2,3,0,465.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/cat-breeds,True,Rewrite descriptions that are too short or too long.,58,Cat Breeds | Chewy,18,The Complete List of Cat Breeds: Find Your Cat Breed Match,58,,Cat Breeds,1,cat-breeds,True,True,False,False,True,False,False,False,318249,318,1,,,,,,,,,,,,,,1.0
Editorial,Meta,Meta description length is not ideal,https://www.chewy.com/education/bird,True,Rewrite descriptions that are too short or too long.,260,"Pet Bird Care & Tips | Guide to Happy, Healthy Birds | Chewy",60,"Discover everything you need to know about bird care, feeding, training, and enrichment in the Bird Education Hub. Discover expert tips on pet bird care, feeding, training, and choosing the right bird. Help your feathered friend thrive with our helpful guides.",260,peach fronted conure toys,Bird,1,bird,True,True,False,False,False,False,False,False,318249,364,1,,,,,,,5,4,31.0,0,0,1,4,2.0
