page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Links,Below inlink target,https://www.chewy.com/lucy-co-dolce-vita-dog-collar/dp/4296462,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",2,"LUCY & CO. Dolce Vita Dog Collar, Large: 16 to 26-in neck, 1.5-in wide - Chewy.com",82,"Buy Lucy & Co. Dolce Vita Dog Collar, Large: 16 to 26-in neck, 1.5-in wide at Chewy.com. FREE shipping and the BEST customer service!",133,,"Lucy & Co. Dolce Vita Dog Collar, Large: 16 to 26-in neck, 1.5-in wide",1,lucy-co-dolce-vita-dog-collar,True,True,False,False,True,True,True,False,2,319,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/purina-pro-plan-bright-mind-adult-7/dp/113973,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,"Discontinued - PURINA PRO PLAN Bright Mind Adult 7+ Chicken & Rice Formula Dry Dog Food, 5-lb bag - Chewy.com",109,"Buy Purina Pro Plan Bright Mind Adult 7+ Chicken & Rice Formula Dry Dog Food, 5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",145,,"Purina Pro Plan Bright Mind Adult 7+ Chicken & Rice Formula Dry Dog Food, 5-lb bag",1,purina-pro-plan-bright-mind-adult,True,False,False,False,True,True,True,True,3,309,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/angels-eyes-gentle-tear-stain-wipes/dp/1501046,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"ANGELS' EYES Face Eye & Paw Cleansing & Tear Stain Wipe for Dogs & Cats, 40 Count - Chewy.com",93,"Buy Angels' Eyes Face Eye & Paw Cleansing & Tear Stain Wipe for Dogs & Cats, 40 Count at Chewy.com. FREE shipping and the BEST customer service!",144,,"Angels' Eyes Face Eye & Paw Cleansing & Tear Stain Wipe for Dogs & Cats, 40 Count",1,angels-eyes-gentle-tear-stain-wipes,True,True,False,False,True,True,True,True,4,320,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/purina-one-plus-healthy-kitten/dp/166261,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Purina ONE Healthy Kitten Formula Dry Cat Food (Free Shipping) | Chewy,70,"Buy Purina ONE +Plus Healthy Kitten Muscle Vision & Brain Development Natural Dry Cat Food, 3.5-lb bag at Chewy.com. FREE shipping and the BEST customer service!",161,,"Purina ONE +Plus Healthy Kitten Muscle Vision & Brain Development Natural Dry Cat Food, 3.5-lb bag",1,purina-one-plus-healthy-kitten,True,True,False,False,True,True,True,True,4,330,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/canada-pooch-cooling-20-dog-snood/dp/1467870,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,"CANADA POOCH Cooling 2.0 Dog Snood, Grey, Medium - Chewy.com",60,"Buy Canada Pooch Cooling 2.0 Dog Snood, Grey, Medium at Chewy.com. FREE shipping and the BEST customer service!",111,,"Canada Pooch Cooling 2.0 Dog Snood, Grey, Medium",1,canada-pooch-cooling-20-dog-snood,True,True,False,False,True,True,True,True,3,308,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/gapzer-wood-cat-window-perch-strong/dp/3969630,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"DOPZER Wood Cat Window Perch with Strong Suction Cup Mount & Sturdy Indoor Hammock Bed, 23.3 x 20.5 x 15.5-in - Chewy.com",121,"Buy DOPZER Wood Cat Window Perch with Strong Suction Cup Mount & Sturdy Indoor Hammock Bed, 23.3 x 20.5 x 15.5-in at Chewy.com. FREE shipping and the BEST customer service!",172,,"DOPZER Wood Cat Window Perch with Strong Suction Cup Mount & Sturdy Indoor Hammock Bed, 23.3 x 20.5 x 15.5-in",1,gapzer-wood-cat-window-perch-strong,True,True,False,False,True,True,True,False,4,318,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/non-stop-dogwear-cooling-dog-vest/dp/3595294,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"NON-STOP DOGWEAR Cooling Dog Vest, Light Gray/Teal, X-Small - Chewy.com",71,"Buy Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, X-Small at Chewy.com. FREE shipping and the BEST customer service!",122,,"Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, X-Small",1,non-stop-dogwear-cooling-dog-vest,True,False,False,False,True,True,True,True,4,310,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/non-stop-dogwear-cooling-dog-vest/dp/3595326,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"NON-STOP DOGWEAR Cooling Dog Vest, Light Gray/Teal, X-Large - Chewy.com",71,"Buy Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, X-Large at Chewy.com. FREE shipping and the BEST customer service!",122,,"Non-stop Dogwear Cooling Dog Vest, Light Gray/Teal, X-Large",1,non-stop-dogwear-cooling-dog-vest,True,True,False,False,True,True,True,True,4,310,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/chuckit-ultra-rubber-ball-tough-dog/dp/1030590,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,"CHUCKIT! Ultra Rubber Ball Tough Dog Toy, 2 count, Large - Chewy.com",68,"Buy Chuckit! Ultra Rubber Ball Tough Dog Toy, 2 count, Large at Chewy.com. FREE shipping and the BEST customer service!",119,,"Chuckit! Ultra Rubber Ball Tough Dog Toy, 2 count, Large",1,chuckit-ultra-rubber-ball-tough-dog,True,False,False,False,True,True,True,True,3,327,2,,,,,,,,,,,,,,1.0
PDP,Links,Below inlink target,https://www.chewy.com/allisandro-reversible-waterproof/dp/786950,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,"Out of Stock - ALLISANDRO Reversible Waterproof Large Pet Couch Protector, 82-in, Orange - Chewy.com",100,"Buy Allisandro Reversible Waterproof Large Pet Couch Protector, 82-in, Orange at Chewy.com. FREE shipping and the BEST customer service!",136,,"Allisandro Reversible Waterproof Large Pet Couch Protector, 82-in, Orange",1,allisandro-reversible-waterproof,True,True,False,False,True,True,True,True,4,323,3,,,,,,,,,,,,,,
