page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/cerenia-dog-anti-anxiety-medicine_c11580_f1v250834,True,Align sitemap inclusion to the intended index state.,,CERENIA FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Cerenia for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cerenia for Dogs for your pet.",213,,Cerenia for Dogs,1,cerenia-dog-anti-anxiety-medicine,,False,False,False,True,False,False,False,1,314,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/rope-interactive-toys-dogs_c319_f7v63632,True,Align sitemap inclusion to the intended index state.,,INTERACTIVE ROPE TOYS FOR DOGS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Interactive Rope Toys For Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Interactive Rope Toys For Dogs for your pet.",241,,Interactive Rope Toys For Dogs,1,rope-interactive-toys-dogs,,False,False,False,True,False,False,False,48,311,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/hemp-rope-tug-toys-dogs_c321_f7v17025,True,Align sitemap inclusion to the intended index state.,,HEMP ROPE DOG TOYS (Free Shipping) | Chewy,42,"Shop Chewy for the best deals on Hemp Rope Dog Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Hemp Rope Dog Toys for your pet.",217,,Hemp Rope Dog Toys,1,hemp-rope-tug-toys-dogs,,False,False,False,True,False,False,False,27,322,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/dog-food-subscription_c332_f78v90411,True,Align sitemap inclusion to the intended index state.,,DOG FOOD SUBSCRIPTION (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Dog Food Subscriptions and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dog Food Subscription for your pet.",224,chewy food for dogs,Dog Food Subscription,1,dog-food-subscription,True,False,False,False,True,False,False,False,1550,451,2,,,,,,,5,4,16.8,2,1,2,0,14.0
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/cranberry-cat-treats_c391_f4v19614142,True,Align sitemap inclusion to the intended index state.,,CRANBERRY CAT TREATS - CAT CRANBERRY TREATS | CHEWY,51,"Shop Cranberry Cat Treats on Chewy and discover a wide selection from top brands like Choolip, Fruitables and more. Get free shipping today on orders $49+!",155,,Cranberry Cat Treats,1,cranberry-cat-treats,True,False,False,False,True,False,False,False,228,357,2,,,,,,,,,,,,,,1.0
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/mint-cat-treats_c391_f4v60646,True,Align sitemap inclusion to the intended index state.,,MINT CAT TREATS (Free Shipping) | Chewy,39,"Shop Chewy for the best deals on Mint Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Mint Cat Treats for your pet.",211,,Mint Cat Treats,1,mint-cat-treats,,False,False,False,True,False,False,False,147,336,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/respiratory-care-horse-vitamins_c1692_f50v63780,True,Align sitemap inclusion to the intended index state.,,RESPIRATORY CARE HORSE VITAMINS & SUPPLEMENTS (Free Shipping) | Chewy,69,"Shop Chewy for the best deals on Respiratory Care Horse Vitamins & Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Respiratory Care Horse Vitamins & Supplements for your pet.",271,horse respiratory supplements,Respiratory Care Horse Vitamins & Supplements,1,respiratory-care-horse-vitamins,True,False,False,False,True,False,False,False,13,362,2,,,,,,,1,1,23.0,0,0,1,0,1.0
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/immune-support-horse-vitamins_c1692_f50v63772,True,Align sitemap inclusion to the intended index state.,,IMMUNE SUPPORT HORSE VITAMINS & SUPPLEMENTS (Free Shipping) | Chewy,67,"Shop Chewy for the best deals on Immune Support Horse Vitamins & Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Immune Support Horse Vitamins & Supplements for your pet.",267,horse immune supplements for sensitive skin,Immune Support Horse Vitamins & Supplements,1,immune-support-horse-vitamins,True,False,False,False,True,False,False,False,38,368,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/high-calcium-chicken-feed_c951_f3v695443,True,Align sitemap inclusion to the intended index state.,,HIGH CALCIUM CHICKEN FEED (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on High Calcium Chicken Feed and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High Calcium Chicken Feed for your pet.",231,,High Calcium Chicken Feed,1,high-calcium-chicken-feed,,False,False,False,True,False,False,True,17,320,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/acurel-fish-supplies_c885_f1v496101,True,Align sitemap inclusion to the intended index state.,,ACUREL FISH SUPPLIES (Free Shipping) | Chewy,44,"Shop Chewy for the best deals on Acurel Fish Supplies and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Acurel Fish Supplies for your pet.",221,,Acurel Fish Supplies,1,acurel-fish-supplies,,False,False,False,True,False,False,False,91,314,2,,,,,,,,,,,,,,
HVF,Index,Sitemap/index-state mismatch,https://www.chewy.com/f/apoquel-dog-allergy-medicine_c11568_f1v464442,True,Align sitemap inclusion to the intended index state.,,APOQUEL FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Apoquel for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Apoquel for Dogs for your pet.",213,,Apoquel for Dogs,1,apoquel-dog-allergy-medicine,,False,False,False,True,False,False,False,6,316,2,,,,,,,,,,,,,,
