page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/exclusively-dog-best-buddy-bones/dp/47079,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/dog-whisperer-training-chicken/dp/632878,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"DOG WHISPERER Training Chicken Flavored Chewy Dog Treats, 12-oz bag - Chewy.com",79,"Buy Dog Whisperer Training Chicken Flavored Chewy Dog Treats, 12-oz bag at Chewy.com. FREE shipping and the BEST customer service!",130,chewy exclusive dog training treats,"Dog Whisperer Training Chicken Flavored Chewy Dog Treats, 12-oz bag",1,dog-whisperer-training-chicken,True,True,False,False,True,True,True,False,55,326,4,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/chewy-egift-card/dp/283560,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Purr-fect Gift, $100",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,3,3,23.0,0,0,1,2,3.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/royal-canin-veterinary-diet-adult/dp/128010,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"ROYAL CANIN VETERINARY DIET Urinary Adult Cat Treats, 7.7-oz bag - Chewy.com",76,"Buy Royal Canin Veterinary Diet Urinary Adult Cat Treats, 7.7-oz bag at Chewy.com. FREE shipping and the BEST customer service!",127,veterinary diet cat treats for urinary tract health,"Royal Canin Veterinary Diet Urinary Adult Cat Treats, 7.7-oz bag",1,royal-canin-veterinary-diet-adult,True,True,False,False,True,True,True,True,37,321,2,good,2477.0,good,0.095,,,1,1,19.0,0,1,0,0,13.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/hills-natural-flexi-stix-beef-jerky/dp/131612,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"HILL'S Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag - Chewy.com",71,"Buy Hill's Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag at Chewy.com. FREE shipping and the BEST customer service!",122,chewy exclusive jerky dog treats,"Hill's Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag",1,hills-natural-flexi-stix-beef-jerky,True,True,False,False,True,True,True,True,104,324,3,,,,,,,1,1,14.0,0,1,0,0,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/dog-whisperer-beef-flavored-sticks/dp/632942,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"DOG WHISPERER Beef Flavored Sticks Jerky Dog Treats, 24-oz bag - Chewy.com",74,"Buy Dog Whisperer Beef Flavored Sticks Jerky Dog Treats, 24-oz bag at Chewy.com. FREE shipping and the BEST customer service!",125,chewy exclusive jerky dog treats,"Dog Whisperer Beef Flavored Sticks Jerky Dog Treats, 24-oz bag",1,dog-whisperer-beef-flavored-sticks,True,True,False,False,True,True,True,False,49,325,2,,,,,,,1,1,23.0,0,0,1,0,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/rocco-roxie-supply-co-gourmet-chicken/dp/116998,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"ROCCO & ROXIE SUPPLY CO. Gourmet Chicken Jerky Dog Sticks, 16-oz bag - Chewy.com",80,"Buy Rocco & Roxie Supply Co. Gourmet Chicken Jerky Dog Sticks, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",131,chewy exclusive jerky dog treats,"Rocco & Roxie Supply Co. Gourmet Chicken Jerky Dog Sticks, 16-oz bag",1,rocco-roxie-supply-co-gourmet-chicken,True,True,False,False,True,True,True,True,58,327,3,,,,,,,1,1,28.0,0,0,1,0,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/rocco-roxie-supply-co-gourmet-beef/dp/116996,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"ROCCO & ROXIE SUPPLY CO. Gourmet Beef Jerky Dog Sticks, 16-oz bag - Chewy.com",77,"Buy Rocco & Roxie Supply Co. Gourmet Beef Jerky Dog Sticks, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",128,chewy exclusive jerky dog treats,"Rocco & Roxie Supply Co. Gourmet Beef Jerky Dog Sticks, 16-oz bag",1,rocco-roxie-supply-co-gourmet-beef,True,True,False,False,True,True,True,True,57,327,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/blue-buffalo-nudges-jerky-cuts-beef/dp/1040750,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"BLUE BUFFALO Nudges Jerky Cuts Beef Dog Treats, 16-oz bag - Chewy.com",69,"Buy Blue Buffalo Nudges Jerky Cuts Beef Dog Treats, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",120,chewy exclusive jerky dog treats,"Blue Buffalo Nudges Jerky Cuts Beef Dog Treats, 16-oz bag",1,blue-buffalo-nudges-jerky-cuts-beef,True,True,False,False,True,True,True,False,126,332,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/hare-dog-100-rabbit-jerky-dog-treats/dp/115854,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"HARE OF THE DOG 100% Rabbit Jerky Dog Treats, 3.5-oz bag - Chewy.com",68,"Buy Hare of the Dog 100% Rabbit Jerky Dog Treats, 3.5-oz bag at Chewy.com. FREE shipping and the BEST customer service!",119,chewy exclusive jerky dog treats,"Hare of the Dog 100% Rabbit Jerky Dog Treats, 3.5-oz bag",1,hare-dog-100-rabbit-jerky-dog-treats,True,True,False,False,True,True,True,True,130,329,2,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/purebites-salmon-freeze-dried-raw-dog/dp/177294,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"PUREBITES Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag - Chewy.com",69,"Buy PureBites Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag at Chewy.com. FREE shipping and the BEST customer service!",120,chewy exclusive freeze-dried and dehydrated dog treats,"PureBites Salmon Freeze-Dried Raw Dog Treats, 2.47-oz bag",1,purebites-salmon-freeze-dried-raw-dog,True,True,False,False,True,True,True,True,115,336,3,,,,,,,1,1,24.0,0,0,1,0,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/stella-chewys-chicken-hearts-freeze/dp/203215,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"STELLA & CHEWY'S Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag - Chewy.com",81,"Buy Stella & Chewy's Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag at Chewy.com. FREE shipping and the BEST customer service!",132,chewy exclusive freeze-dried and dehydrated dog treats,"Stella & Chewy's Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag",1,stella-chewys-chicken-hearts-freeze,True,True,False,False,True,True,True,True,62,329,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/country-kitchen-rawhide-free-beef/dp/925902,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"COUNTRY KITCHEN Rawhide-Free Beef Rings Dog Chew Treats, 7 count - Chewy.com",76,"Buy Country Kitchen Rawhide-Free Beef Rings Dog Chew Treats, 7 count at Chewy.com. FREE shipping and the BEST customer service!",127,chewy exclusive rawhide-free dog treats,"Country Kitchen Rawhide-Free Beef Rings Dog Chew Treats, 7 count",1,country-kitchen-rawhide-free-beef,True,True,False,False,True,True,True,True,82,330,2,,,,,,,1,1,16.0,0,1,0,0,1.0
PDP,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/chewy-triple-flavor-rawhide-twist/dp/1819758,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"CHEWY MADE Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count - Chewy.com",96,"Buy Chewy Made Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count at Chewy.com. FREE shipping and the BEST customer service!",147,chewy exclusive rawhide-free dog treats,"Chewy Made Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count",1,chewy-triple-flavor-rawhide-twist,True,True,False,False,True,True,True,True,0,318,4,,,,,,,1,1,19.0,0,1,0,0,1.0
