page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/food-and-nutrition,True,Update title templates so the primary ranking phrase is naturally represented.,alkaline food for dogs,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/training-and-behavior,True,Update title templates so the primary ranking phrase is naturally represented.,entrenamiento para perros,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/food-and-nutrition/best-dog-food,True,Update title templates so the primary ranking phrase is naturally represented.,best canine,"12 Best Dog Foods in 2026, Vet Recommended | Chewy",50,"These are our veterinary experts’ picks for the best dog food, from kibble to canned to fresh food.",99,best canine,"12 Best Dog Foods in 2026, Vet Recommended",1,best-dog-food,True,True,False,False,False,False,False,False,318249,331,1,good,2361.0,good,0.055,,,21,18,20.16,2,6,11,2,25.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/cat/food-and-nutrition,True,Update title templates so the primary ranking phrase is naturally represented.,chewy pet food for cats,"Cat Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Explore cat food and nutrition tips on feeding routines, ingredients, diet transitions, and choosing the right food for your cat’s age and health needs.",152,chewy pet food for cats,Cat Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,326,1,,,,,,,1,1,6.0,1,0,0,0,3.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/cat/training-and-behavior,True,Update title templates so the primary ranking phrase is naturally represented.,why does my cat steal my socks,"Cat Training & Behavior: House Rules, Bonding Techniques & More | Chewy",71,"Discover cat training and behavior insights, including how to manage unwanted habits, encourage positive routines, and reduce stress.",133,why does my cat steal my socks,Cat Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,329,1,,,,,,,2,2,,0,0,0,2,1.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/cat/food-and-nutrition/best-cat-food,True,Update title templates so the primary ranking phrase is naturally represented.,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",42,"These are our veterinary experts’ picks for the best cat food, from wet food to dry food to therapeutic diets.",110,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",1,best-cat-food,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,4,4,20.0,0,2,2,0,1.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/horse/feed-and-nutrition,True,Update title templates so the primary ranking phrase is naturally represented.,horse eating hay,"Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/fish/health-and-wellness,True,Update title templates so the primary ranking phrase is naturally represented.,goldfish losing scales,"Fish Health: Common Diseases, Symptoms, Treatment & More | Chewy",64,"Learn how to monitor fish health with tips on spotting illness, maintaining clean water, reducing stress, and treating common aquarium diseases.",144,goldfish losing scales,Fish Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,310,1,,,,,,,3,3,19.67,0,2,1,0,1.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/cat-breeds/bengal-cat,True,Update title templates so the primary ranking phrase is naturally represented.,are bengal cats friendly,"Bengal Cat Breed: Characteristics, Care & Photos | Chewy",56,"A Bengal cat is a large, spotted cat breed descended from a wild African leopard cat. Learn if a Bengal kitten is the right fit for you.",136,are bengal cats friendly,Bengal Cat,1,bengal-cat,True,True,False,False,True,False,False,True,318249,324,1,good,1845.0,good,0.01,,,4,4,16.0,1,1,1,1,85.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/cat-breeds/maine-coon,True,Update title templates so the primary ranking phrase is naturally represented.,mancoon,"Maine Coon Breed: Characteristics, Care & Photos | Chewy",56,"A Maine Coon is a big cat breed who is friendly, fluffy, and vocal. Learn whether a Maine Coon cat is the right fit for you.",124,mancoon,Maine Coon,1,maine-coon,True,True,False,False,True,False,False,True,318249,336,1,good,1690.0,good,0.015,,,5,5,20.0,1,1,2,1,55.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/bird,True,Update title templates so the primary ranking phrase is naturally represented.,peach fronted conure toys,"Pet Bird Care & Tips | Guide to Happy, Healthy Birds | Chewy",60,"Discover everything you need to know about bird care, feeding, training, and enrichment in the Bird Education Hub. Discover expert tips on pet bird care, feeding, training, and choosing the right bird. Help your feathered friend thrive with our helpful guides.",260,peach fronted conure toys,Bird,1,bird,True,True,False,False,False,False,False,False,318249,364,1,,,,,,,5,4,31.0,0,0,1,4,2.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/small-pet/hamster,True,Update title templates so the primary ranking phrase is naturally represented.,do hamsters smell,Hamster Care and Habitat Tips with Key Information | Chewy,58,"Get expert advice on hamster care, cages, enrichment, and nutrition in our Hamster Education Hub. Learn hamster care with expert tips and reliable information on feeding, habitat setup, enrichment, and more from Chewy Education.",228,do hamsters smell,Hamster,1,hamster,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,3,3,13.5,0,2,0,1,1.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/pet-parenting/walking-dog-at-night,True,Update title templates so the primary ranking phrase is naturally represented.,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night | Chewy,49,"Learn how to walk your dog at night safely with visibility gear, expert tips, and essential nighttime walking products.",119,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night,1,walking-dog-at-night,True,True,False,False,False,False,False,False,196,323,2,,,,,,,2,2,3.5,2,0,0,0,4.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/pet-parenting/diy-pill-pouches-for-pets,True,Update title templates so the primary ranking phrase is naturally represented.,homemade pill pockets for dogs,DIY Pill Pouches for Pets | Chewy,33,"Make giving medication easier with these DIY pill pouch recipes for pets. Learn simple, tasty tricks to help your dog or cat take their pills.",142,homemade pill pockets for dogs,DIY Pill Pouches for Pets,1,diy-pill-pouches-for-pets,True,True,False,False,False,False,False,False,8,313,2,needs,2948.0,good,0.049999999999999996,,,5,4,9.6,4,1,0,0,11.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/new-dog/what-to-expect-the-first-year-with-your-new-puppy,True,Update title templates so the primary ranking phrase is naturally represented.,dog 1 year,Puppy Stages: What To Expect in Their First Two Years | Chewy,61,"What’s going on in your puppy’s body, and why are they behaving like that? We’ve got the ultimate guide to puppy stages of development.",135,dog 1 year,Puppy Stages: What To Expect in Their First Two Years,1,what-to-expect-the-first-year-with-your-new-puppy,True,True,False,False,False,False,False,False,24,340,2,good,2293.0,good,0.07,,,2,2,18.0,0,2,0,0,42.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/new-dog/how-to-puppy-proof-your-house,True,Update title templates so the primary ranking phrase is naturally represented.,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips | Chewy,53,How to puppy-proof your house made simple: Secure your home and prevent accidents with this advice for puppy parents.,117,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips,1,how-to-puppy-proof-your-house,True,True,False,False,False,False,False,False,122,328,2,,,,,,,3,3,9.5,1,1,0,1,8.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/new-dog/deworming-puppies-what-to-expect,True,Update title templates so the primary ranking phrase is naturally represented.,dewormer for puppies,Puppy Deworming Schedule: What to Expect | Chewy,48,"Puppy deworming is key to early vet care. Learn how vets treat and prevent worms, potential side effects, and common parasite symptoms.",135,dewormer for puppies,"Deworming Puppies: What To Expect, Symptoms, and Schedule",1,deworming-puppies-what-to-expect,True,True,False,False,False,False,False,False,7,321,2,needs,2805.0,good,0.07,,,4,4,4.5,4,0,0,0,196.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/new-dog/what-to-expect-with-puppy-teething,True,Update title templates so the primary ranking phrase is naturally represented.,when do puppies stop teething,Puppy Teething: What To Expect and How To Help | Chewy,54,"When do puppies lose their teeth, and how can you help your dog through the process? Read our guide to puppy teething symptoms and solutions.",141,when do puppies stop teething,Puppy Teething: What To Expect and How To Help Your Puppy,1,what-to-expect-with-puppy-teething,True,True,False,False,False,False,False,False,21,318,2,,,,,,,3,3,21.0,0,1,2,0,12.0
Editorial,Meta,Title does not align to main ranking keyword,https://www.chewy.com/education/dog/new-dog/puppy-proofing-the-stairs,True,Update title templates so the primary ranking phrase is naturally represented.,are stairs bad for dogs,When Can Puppies Go on Stairs? | Chewy,38,"For small dogs, stairs can present a big safety hazard. Find out when it’s safe for puppies to climb stairs or go down stairs.",126,are stairs bad for dogs,When Can Puppies Go on Stairs?,1,puppy-proofing-the-stairs,True,True,False,False,False,False,False,False,8,325,2,,,,,,,3,3,6.33,3,0,0,0,18.0
