page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/horse-tack-storage-and-cleaning-supplies-11466,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Horse Tack Storage | Chewy,26,"Shop Chewy for low prices and the best Tack Care & Storage! We carry a large selection and the top brands like Tough1, Horze, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,horse tack storage and cleaning supplies,Horse Tack Storage & Cleaning Supplies,1,horse-tack-storage-and-cleaning-supplies,False,False,False,False,True,False,False,False,124,356,2,,,,,,,2,1,1.0,1,0,0,1,1.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/black-friday-cat-collars-accessories-13445,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,black friday deals on collars and accessories for cats,,,,,,,,,,,,,,,,,,,,,3,2,6.0,1,1,0,1,
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/balls-chasers-329,True,"Review lost terms for relevance, indexability, and SERP intent fit.",6,Cat Ball Toys & Chaser Toys (Free Shipping) | Chewy,51,"Shop Chewy for low prices and the best cat ball toys! Cat ball toys entice cats with feathers, fun noises, and cool shapes -- some designs even conceal your pet’s favorite catnip. These ball toys provide little kitties with hours of nonstop fun and exercise! *FREE* shipping on orders $49+ and the BEST customer service.",320,cat balls and chaser toys,Cat Balls & Chaser Toys,1,balls-chasers,True,True,False,False,True,False,False,True,318253,362,1,good,1584.0,poor,0.42,,,27,27,2.76,21,0,0,6,44.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/treats-391,True,"Review lost terms for relevance, indexability, and SERP intent fit.",8,"Best Cat Treats - Lickable, Soft, Crunchy & More | Chewy",56,"Explore Cat Treats on Chewy with crunchy, soft, freeze dried and lickable options for every feline. Discover healthy, natural cat treats and more from top brands like Temptations, INABA Churu, Greenies & more.",209,cat treats,Cat Treats,1,treats,True,True,False,False,True,False,False,True,327550,415,1,good,2041.0,needs,0.12000000000000001,,,41,38,11.76,16,11,6,8,44.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/lickable-cat-treats-2275,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Lickable Cat Treats - Creamy Lickable Cat Tube Treats | Chewy,61,"Shop Chewy for Lickable Cat Treats, including cat treats in a tube for rewarding, bonding and adding flavor to meals. Find top options from INABA, Temptations & more.",166,lickable cat treats,Lickable Cat Treats,1,lickable-cat-treats,True,True,False,False,True,False,False,True,318253,357,1,good,1871.0,poor,0.26,,,19,19,6.24,15,2,0,2,48.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/crunchy-cat-treats-1552,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"Crunchy Cat Treats: Top Flavors, Dental & More (Free Shipping) | Chewy",70,"Shop Chewy for low prices and the best crunchy cat treats! We carry a wide selection from the top brands including grain-free, no soy & more. Shop now and reward your kitty for completing a new cat trick or for brushing up against you with their soft fur. *FREE* shipping on orders $49+ and the BEST customer service!",317,crunchy cat treats,Crunchy Cat Treats,1,crunchy-cat-treats,True,True,False,False,True,False,False,True,318253,358,1,good,1826.0,poor,0.27,,,15,15,4.79,14,0,0,1,5.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/food-387,True,"Review lost terms for relevance, indexability, and SERP intent fit.",92,,,,,cat food,,0,food,,False,False,False,False,False,False,False,1,0,3,,,,,,,240,231,8.03,109,29,10,92,
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/vet-diet-cat-treats-1556,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Prescription Cat Treats: Vet Recommended (Free Shipping) | Chewy,64,"Shop Chewy for low prices on prescription cat treats. We carry a wide selection of prescription cat treats from top brands like Royal Canin, Hill's Prescription Diet and more to help with weight control, sensitive stomach and more. *FREE* shipping on orders $49+ and the BEST customer service!",293,veterinary diet cat treats on sale,Veterinary Diet Cat Treats,1,vet-diet-cat-treats,True,True,False,False,True,False,False,False,200,338,2,good,1538.0,good,0.04,,,13,12,12.6,5,2,3,3,8.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/cat-food-toppers-392,True,"Review lost terms for relevance, indexability, and SERP intent fit.",7,"Cat Food Toppings: Broth, Shredded & More (Free Shipping) | Chewy",65,Shop Chewy for low prices and the best cat food toppings! Cat food toppings add an enticing component to any meal while also boosting the amount of protein you put in your pet's bowl. It's a win-win! Plenty of mixers with different flavors & textures to choose from at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!,341,cat food toppers,Cat Food Toppers,1,cat-food-toppers,True,True,False,False,True,False,False,True,318253,358,1,good,1751.0,needs,0.20500000000000002,,,38,37,7.65,23,8,0,7,12.0
Browse,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/b/pet-tech-dna-tests-16160,False,"Review lost terms for relevance, indexability, and SERP intent fit.",3,,,,,cyber week deals on dog technology,,,,,,,,,,,,,,,,,,,,,4,4,17.0,0,1,0,3,
