page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/cat-treats-human-food,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Cat Treats Human Food (Free Shipping) | Chewy,45,"Shop Chewy for low prices and the best cat treats human food! We carry a large selection and the top brands like Applaws, PureBites, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,cat food and treats by chewy,Cat Treats Human Food,1,cat-treats-human-food,True,True,False,False,False,False,False,False,331,341,2,,,,,,,1,1,16.0,0,1,0,0,1.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/healthy-treats-for-cats,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Healthy Treats For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best healthy treats for cats! We carry a large selection and the top brands like Trilostane Compounded, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,healthy treats for cats,Healthy Treats For Cats,1,healthy-treats-for-cats,True,True,False,False,False,False,False,False,687,344,2,,,,,,,4,4,19.0,0,1,1,2,3.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/healthy-dog-treats,True,Push near-page-one terms with title/H1/meta/linking improvements.,4,Healthy Dog Treats (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best healthy dog treats! We carry a large selection and the top brands like Healthy Breeds, Trilostane Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,chewy dog food treats,Healthy Dog Treats,1,healthy-dog-treats,True,True,False,False,False,False,False,False,2385,344,2,,,,,,,7,7,19.43,0,4,3,0,1.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/gerbil-water-feeder,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,Gerbil Water Feeder (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best gerbil water feeder! We carry a large selection and the top brands like Frisco, Little Giant, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,mongolian gerbil feeder,Gerbil Water Feeder,1,gerbil-water-feeder,True,True,False,False,False,False,False,False,84,344,4,,,,,,,6,4,18.0,0,3,1,2,1.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/pink-cat-supplies,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Pink Cat Supplies (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best pink cat supplies! We carry a large selection and the top brands like Frisco, Parisian Pet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,pink cat toys,Pink Cat Supplies,1,pink-cat-supplies,True,True,False,False,False,False,False,False,225,340,2,,,,,,,4,4,10.75,2,2,0,0,4.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/dog-toy-hedgehog,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,dog toy hedgehog,,,,,,,,,,,,,,,,,,,,,2,2,6.5,1,1,0,0,
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/interactive-cat-butterfly-toy,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Interactive Cat Butterfly Toy (Free Shipping) | Chewy,53,"Shop Chewy for low prices and the best interactive cat butterfly toy! We carry a large selection and the top brands like Meowvale, Migipaws, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,butterfly cat toy,Interactive Cat Butterfly Toy,1,interactive-cat-butterfly-toy,True,True,False,False,False,False,False,False,25,341,3,,,,,,,2,2,6.0,1,1,0,0,4.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/self-play-cat-toys,True,Push near-page-one terms with title/H1/meta/linking improvements.,6,Self Play Cat Toys (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best self play cat toys! We carry a large selection and the top brands like allforpaws, NonoPets, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,cat toys chewy,Self Play Cat Toys,1,self-play-cat-toys,True,True,False,False,False,False,False,False,472,341,2,,,,,,,7,7,18.86,0,6,1,0,1.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/indestructible-dog-toys,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Indestructible Dog Toys (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best indestructible dog toys! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,indestructible dog toys,Indestructible Dog Toys,1,indestructible-dog-toys,True,True,False,False,False,False,False,False,209,344,3,good,1998.0,good,0.07,,,3,3,19.0,0,2,1,0,6.0
HVSP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/sp/bulk-dog-supplies,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,bulk dog treats,,,,,,,,,,,,,,,,,,,,,9,9,24.33,0,1,8,0,
