page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,H1,H1 is too generic,https://www.chewy.com/f/delectables_f1v32446,True,Make the H1 more descriptive of the page intent.,Delectables,Delectables - Free shipping | Chewy,35,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Delectables,1,delectables,True,True,False,False,False,False,False,False,173,339,2,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/therapetmd_f1v31086,True,Make the H1 more descriptive of the page intent.,TherapetMD,TherapetMD - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,TherapetMD,1,therapetmd,True,True,False,False,False,False,False,False,215,307,2,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/casfuy_f1v431047,True,Make the H1 more descriptive of the page intent.,Casfuy,Casfuy - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Casfuy,1,casfuy,True,True,False,False,False,False,False,False,162,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/wanpy_f1v28070,True,Make the H1 more descriptive of the page intent.,Wanpy,Wanpy - Free shipping | Chewy,29,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Wanpy,1,wanpy,True,True,False,False,False,False,False,False,27,325,3,,,,,,,,,,,,,,
HVF,H1,H1 is too generic,https://www.chewy.com/f/tweezerman_f1v20110,True,Make the H1 more descriptive of the page intent.,Tweezerman,Tweezerman - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Tweezerman,1,tweezerman,True,True,False,False,False,False,False,False,14,313,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/abdragons_f1v506877,True,Make the H1 more descriptive of the page intent.,ABDragons,ABDragons - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,abdragons,ABDragons,1,abdragons,True,True,False,False,False,False,False,False,184,339,3,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/sungrow_f1v220074,True,Make the H1 more descriptive of the page intent.,SunGrow,SunGrow - Free shipping | Chewy,31,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,SunGrow,1,sungrow,True,True,False,False,False,False,False,False,213,340,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/komodo_f1v364190,True,Make the H1 more descriptive of the page intent.,Komodo,Komodo - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Komodo,1,komodo,True,True,False,False,False,False,False,False,70,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/durvet_f1v433703,True,Make the H1 more descriptive of the page intent.,Durvet,Durvet - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,durvet,Durvet,1,durvet,True,True,False,False,False,False,False,False,117,339,3,,,,,,,1,1,,0,0,0,1,3.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/rentacoop_f1v422384,True,Make the H1 more descriptive of the page intent.,RentACoop,RentACoop - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,RentACoop,1,rentacoop,True,True,False,False,False,False,False,False,87,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/buddycheer_f1v28750,True,Make the H1 more descriptive of the page intent.,BuddyCheer,BuddyCheer - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,BuddyCheer,1,buddycheer,True,True,False,False,False,False,False,False,20,322,3,,,,,,,,,,,,,,2.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/standlee_f1v468575,True,Make the H1 more descriptive of the page intent.,Standlee,Standlee - Free shipping | Chewy,32,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,standlee,Standlee,1,standlee,True,True,False,False,False,False,False,False,30,329,3,,,,,,,1,1,26.0,0,0,1,0,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/tough1_f1v20102,True,Make the H1 more descriptive of the page intent.,Tough1,Tough1 - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Tough1,1,tough1,True,True,False,False,False,False,False,False,1672,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/shark_f1v293892,True,Make the H1 more descriptive of the page intent.,Shark,Shark - Free shipping | Chewy,29,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Shark,1,shark,True,True,False,False,False,False,False,False,84,340,3,,,,,,,,,,,,,,2.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/nityers_f1v31702,True,Make the H1 more descriptive of the page intent.,Nityers,Nityers - Free shipping | Chewy,31,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Nityers,1,nityers,True,True,False,False,False,False,False,False,4,306,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/glitzhome_f1v354327,True,Make the H1 more descriptive of the page intent.,Glitzhome,Glitzhome - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Glitzhome,1,glitzhome,True,True,False,False,False,False,False,False,66,339,3,,,,,,,,,,,,,,
HVF,H1,H1 is too generic,https://www.chewy.com/f/birdfy_f1v18238,True,Make the H1 more descriptive of the page intent.,Birdfy,Birdfy - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Birdfy,1,birdfy,True,True,False,False,False,False,False,False,28,330,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/panacea_f1v31350,True,Make the H1 more descriptive of the page intent.,Panacea,Panacea - Free shipping | Chewy,31,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Panacea,1,panacea,True,False,False,False,False,False,False,False,87,339,3,,,,,,,,,,,,,,
HVF,H1,H1 is too generic,https://www.chewy.com/f/gladog_f1v30094,True,Make the H1 more descriptive of the page intent.,GLADOG,GLADOG - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,GLADOG,1,gladog,True,True,False,False,False,False,False,False,17,311,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/pawhut_f1v706256,True,Make the H1 more descriptive of the page intent.,PawHut,PawHut - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,pawhut,PawHut,1,pawhut,True,True,False,False,False,False,False,False,591,339,3,,,,,,,1,1,17.0,0,1,0,0,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/aivituvin_f1v114229,True,Make the H1 more descriptive of the page intent.,Aivituvin,Aivituvin - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Aivituvin,1,aivituvin,True,True,False,False,False,False,False,False,185,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/futam_f1v27814,True,Make the H1 more descriptive of the page intent.,FUTAM,FUTAM - Free shipping | Chewy,29,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,FUTAM,1,futam,True,True,False,False,False,False,False,False,19,318,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/ashman_f1v507048,True,Make the H1 more descriptive of the page intent.,Ashman,Ashman - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Ashman,1,ashman,True,True,False,False,False,False,False,False,82,339,3,,,,,,,,,,,,,,
HVF,H1,H1 is too generic,https://www.chewy.com/f/fukumaru_f1v21038,True,Make the H1 more descriptive of the page intent.,FUKUMARU,FUKUMARU - Free shipping | Chewy,32,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,FUKUMARU,1,fukumaru,True,False,False,False,False,False,False,False,69,339,3,,,,,,,,,,,,,,1.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/nonopets_f1v24134,True,Make the H1 more descriptive of the page intent.,NonoPets,NonoPets - Free shipping | Chewy,32,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,NonoPets,1,nonopets,True,True,False,False,False,False,False,False,1092,340,3,good,1901.0,good,0.065,,,,,,,,,,9.0
HVF,H1,H1 is too generic,https://www.chewy.com/f/sunglo_f1v367428,True,Make the H1 more descriptive of the page intent.,Sunglo,Sunglo - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Sunglo,1,sunglo,True,True,False,False,False,False,False,False,19,320,3,,,,,,,,,,,,,,1.0
