page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/substrate-goldfish_s129636,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,best substrate for goldfish,,,,,,,,,,,,,,,,,,,,,15,15,8.93,11,3,0,1,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/hummingbird-feeders_s122870,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy hummingbird feeder,,,,,,,,,,,,,,,,,,,,,1,1,13.0,0,1,0,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/hamster-water-bottles_s128260,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,hamster water bottles,,,,,,,,,,,,,,,,,,,,,2,2,14.5,1,1,0,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/bird-cage-cleaners_s122750,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cockatiel cage accessories and cleaners,,,,,,,,,,,,,,,,,,,,,2,2,28.0,0,0,2,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/small-animal-bedding_s128020,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,small pet bedding,,,,,,,,,,,,,,,,,,,,,8,7,15.29,2,3,2,1,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/rat-tunnels-ball-toys_s129460,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,best rat tunnels and ball toys,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/flying-discs-dogs_s109184,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog flying discs,,,,,,,,,,,,,,,,,,,,,2,2,25.0,0,0,2,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/substrate-betta-fish_s129604,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,best substrate for bettas,,,,,,,,,,,,,,,,,,,,,20,19,17.65,4,6,7,3,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/puppy-breed-supplies_s911256,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,best large breed puppy potty and cleaning supplies,,,,,,,,,,,,,,,,,,,,,3,3,,0,0,0,3,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/aquarium-air-stones_s3897110,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,aquarium and fish tank air stones,,,,,,,,,,,,,,,,,,,,,4,4,24.0,0,0,1,3,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/heaters-thermometers-betta-fish_s129164,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,heater for betta,,,,,,,,,,,,,,,,,,,,,8,8,19.12,0,4,4,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/nesting-pads-chickens_s3897318,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chicken nesting pads,,,,,,,,,,,,,,,,,,,,,1,1,11.0,0,1,0,0,
Top Picks,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/best/dog-dna-tests_s103600,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog dna test kits,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
