page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/cosequin-7126,True,Set the canonical to the normalized self URL for eligible pages.,,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,Set the canonical to the normalized self URL for eligible pages.,,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,False,False,False,False,True,False,False,False,5,359,2,,,,,,,,,,,,,,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/nutrena-121270,True,Set the canonical to the normalized self URL for eligible pages.,,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,False,False,False,False,True,False,False,False,1,346,2,,,,,,,2,2,15.0,1,0,1,0,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/shop-by-cat-8891,True,Set the canonical to the normalized self URL for eligible pages.,,Iams Cat Food (Free Shipping) | Chewy,37,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Iams for Cats,1,shop-by-cat,False,False,False,False,True,False,False,False,136,339,2,,,,,,,,,,,,,,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/vibeful-106534,True,Set the canonical to the normalized self URL for eligible pages.,,Vibeful Pet Supplements by Chewy - Free shipping,48,Shop Chewy for low prices and the best Vibeful products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,vibeful,Vibeful,1,vibeful,False,False,False,False,True,False,False,True,133,345,2,,,,,,,1,1,1.0,1,0,0,0,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/zesty-paws-7767,True,Set the canonical to the normalized self URL for eligible pages.,,Zesty Paws: Dog & Cat Supplements (Free Shipping) | Chewy,57,Shop Chewy for low prices and the best Zesty Paws! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,zesty paws,Zesty Paws,1,zesty-paws,False,False,False,False,True,False,False,False,133,358,2,,,,,,,4,4,10.75,2,2,0,0,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/nutramax-7125,True,Set the canonical to the normalized self URL for eligible pages.,,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,False,False,False,False,True,False,False,False,135,355,2,,,,,,,3,3,6.5,2,0,0,1,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/native-pet-105742,True,Set the canonical to the normalized self URL for eligible pages.,,Native Pet - Free shipping | Chewy,34,Shop Chewy for low prices and the best Native Pet! We carry a large selection and the top brands like Native Pet and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,221,native pet,Native Pet,1,native-pet,False,False,False,False,True,False,False,True,98,352,2,,,,,,,2,2,17.0,0,2,0,0,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/vetriscience-7677,True,Set the canonical to the normalized self URL for eligible pages.,,VetriScience Supplements & Treats - Free Shipping | Chewy,57,"Shop Chewy for low prices on VetriScience Supplements and Treats for dogs, cats and birds. We carry a wide selection of VetriScience treats and supplements to help with joint support, behavioral health, immune system health, digestive health and more. FREE shipping on orders $49+ and the BEST customer service!",311,vetriscience,VetriScience,1,vetriscience,False,False,False,False,True,False,False,False,35,342,2,,,,,,,1,1,9.0,1,0,0,0,
Brand,Index,Missing self-referencing canonical,https://www.chewy.com/brands/frisco-6767,True,Set the canonical to the normalized self URL for eligible pages.,,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,False,False,False,False,True,False,False,False,57,369,3,,,,,,,7,7,7.67,4,1,1,1,
