page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,shop as seen on tv dog supplies,,,,,,,,,,,,,,,,,,,,,100,95,19.13,18,18,42,22,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/wet-food-8036,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy wet dog food,,,,,,,,,,,,,,,,,,,,,3,3,,0,0,0,3,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/purina-beyond-7410,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,purina beyond for dogs,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/egg-cite-6968,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,kaytee egg-cite!,,,,,,,,,,,,,,,,,,,,,1,1,11.0,0,1,0,0,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/grain-free-9002,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,purina beyond grain-free for cats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/fruit-delight-7000,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,lafeber fruit delight,,,,,,,,,,,,,,,,,,,,,1,1,13.0,0,1,0,0,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/fiesta-6970,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,kaytee fiesta,,,,,,,,,,,,,,,,,,,,,1,1,15.0,0,1,0,0,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/poochie-bells-12686,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,poochie bells,,,,,,,,,,,,,,,,,,,,,1,1,16.0,0,1,0,0,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/frisco-halloween-105238,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,halloween by frisco,,,,,,,,,,,,,,,,,,,,,2,1,21.0,0,0,1,1,
Brand,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/brands/pet-bird-129030,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,kaytee pet bird food and supplies,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
