page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/wet-cat-food-for-urinary-health-4330790,True,Move important URLs closer to major crawl paths.,6,Urinary Wet Cat Food - Free Shipping | Chewy,44,"Shop Chewy for urinary cat food from top brands! We carry a large selection of products from Purina Pro Plan, Hills Science Diet and more. FREE shipping on orders $49+!",168,,Wet Cat Food For Urinary Health,1,wet-cat-food-for-urinary-health,False,False,False,False,True,False,False,False,1,308,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/wet-cat-food-for-hairballs-4330814,True,Move important URLs closer to major crawl paths.,6,Wet Cat Food For Hairballs - Free Shipping | Chewy,50,Shop Chewy for top brands selling hairball control cat food! Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,159,,Wet Cat Food For Hairballs,1,wet-cat-food-for-hairballs,True,True,False,False,True,False,False,True,1,315,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/indoor-cat-food-4330846,True,Move important URLs closer to major crawl paths.,6,Indoor Cat Food - Free shipping | Chewy,39,"Shop Chewy for low prices and the best Indoor Cat! We carry a large selection and the top brands like Purina ONE, Fancy Feast, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,,Indoor Cat Food,1,indoor-cat-food,False,False,False,False,True,False,False,False,1,329,6,,,,,,,,,,,,,,
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/grain-free-wet-cat-food-4330758,True,Move important URLs closer to major crawl paths.,6,Grain Free Wet Cat Food - Free Shipping | Chewy,47,"Shop Chewy for the best grain free cat food! We carry a large selection of top brands like Weruva, Blue Buffalo and more. FREE shipping on orders $49+!",151,,Grain-Free Wet Cat Food,1,grain-free-wet-cat-food,True,True,False,False,True,False,False,True,2,344,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/high-protein-wet-cat-food-4330798,True,Move important URLs closer to major crawl paths.,6,High Protein Wet Cat Food - Free Shipping | Chewy,49,"Shop Chewy for the best High-Protein Cat Food! We carry a large selection from top brands like Tiki Cat, Purina Pro Plan, and more. FREE shipping on orders $49+!",161,,High-Protein Wet Cat Food,1,high-protein-wet-cat-food,True,True,False,False,True,False,False,True,2,344,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/corn-wheat-soy-free-4330822,True,Move important URLs closer to major crawl paths.,6,"Corn, Wheat & Soy-Free Wet Cat Food - Free shipping | Chewy",59,"Shop Chewy for low prices and the best Corn, Wheat & Soy-Free! We carry a large selection and the top brands like Merrick, Fancy Feast, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",244,,"Corn, Wheat & Soy-Free Wet Cat Food",1,corn-wheat-soy-free,False,False,False,False,True,False,False,False,2,331,6,,,,,,,,,,,,,,
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/halloween-deals-106230,True,Move important URLs closer to major crawl paths.,6,Halloween Deals - Free shipping | Chewy,39,"Shop Chewy for low prices and the best Halloween Deals! We carry a large selection and the top brands like Frisco, Rubie's Costume Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,,Halloween Deals,1,halloween-deals,,False,False,False,True,False,False,False,42,346,6,,,,,,,,,,,,,,
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/dry-cat-food-for-sensitive-stomach-4330750,True,Move important URLs closer to major crawl paths.,6,Dry Cat Food For Sensitive Stomach - Free Shipping | Chewy,58,Shop Chewy for low prices and the best Sensitive Stomach! We carry a large selection and the top brands like Purina ONE and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Dry Cat Food For Sensitive Stomach,1,dry-cat-food-for-sensitive-stomach,True,True,False,False,True,False,False,True,1,309,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/dry-cat-food-for-weight-loss-4330766,True,Move important URLs closer to major crawl paths.,6,Dry Cat Food For Weight Loss - Free Shipping | Chewy,52,Shop Chewy for low prices and the best Weight Control! We carry a large selection and the top brands like Purina ONE and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,,Weight Control Dry Cat Food,1,dry-cat-food-for-weight-loss,True,True,False,False,True,False,False,False,1,312,6,,,,,,,,,,,,,,1.0
Deals,Links,Crawl depth too deep,https://www.chewy.com/deals/urinary-care-dry-cat-food-4330774,True,Move important URLs closer to major crawl paths.,6,Urinary Care Dry Cat Food - Free Shipping | Chewy,49,Shop Chewy for low prices and the best Urinary Care! We carry a large selection and the top brands like Purina ONE and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,223,,Urinary Care Dry Cat Food,1,urinary-care-dry-cat-food,False,False,False,False,True,False,False,False,1,308,6,,,,,,,,,,,,,,1.0
