page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Links,Below inlink target,https://www.chewy.com/best/chicken-treats_s124238,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",15,Best Chicken Treats 2026: According to Reviews | Chewy,54,Checkout Today's Best Chicken Treats. Our customers believe that these are the Best Chicken Treats products out there.,118,,Best Treats For Chickens,1,chicken-treats,True,True,False,False,True,False,False,False,15,337,2,,,,,,,,,,,,,,1.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/llama-alpaca-feeds_s124334,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",4,Best Llama & Alpaca Feeds 2026: According to Reviews | Chewy,60,Checkout Today's Best Llama & Alpaca Feeds. Our customers believe that these are the Best Llama & Alpaca Feeds products out there.,130,best llama and alpaca feeds,Best Llama & Alpaca Feeds,1,llama-alpaca-feeds,True,True,False,False,True,False,False,False,4,329,2,,,,,,,9,7,11.0,4,1,1,3,1.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/dog-foods-for-labrador-retrievers_s140134,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",7,Best Dog Foods for Labrador Retrievers 2026: According to Reviews | Chewy,73,Checkout Today's Best Dog Foods for Labrador Retrievers. Our customers believe that these are the Best Dog Foods for Labrador Retrievers products out there.,156,best dog foods for labrador retrievers,Best Dog Food For Labrador Retrievers,1,dog-foods-for-labrador-retrievers,True,True,False,False,True,False,False,False,7,335,2,good,1833.0,good,0.0,,,48,48,5.0,41,3,1,3,38.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/dog-treats-labrador-retriever_s131484,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",8,Best Dog Treats for Labrador Retriever Puppies 2026: According to Reviews | Chewy,81,Check out the best treats. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!,211,best dog treats for lab puppies,Best Labrador Retriever Puppy Treats,1,dog-treats-labrador-retriever,True,True,False,False,True,False,False,True,8,337,2,,,,,,,8,7,4.14,7,0,0,1,4.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy-apparel_s131404,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",2,Best Labrador Retriever Puppy Apparel 2026: According to Reviews | Chewy,72,Check out the best apparel. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!,212,best labrador retriever puppy apparel,Best Labrador Retriever Puppy Apparel,1,labrador-retriever-puppy-apparel,True,True,False,False,True,False,False,True,2,331,2,,,,,,,5,4,9.0,1,1,0,3,1.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy-collars_s131452,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",5,"Best Labrador Retriever Puppy Collars, Leashes & Harnesses 2026: According to Reviews | Chewy",93,"Check out the best collars, leashes, and harnesses. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!",236,best labrador retriever puppy collars,Best Collar For Lab Puppy,1,labrador-retriever-puppy-collars,True,True,False,False,True,False,False,True,5,337,2,,,,,,,1,1,16.0,0,1,0,0,2.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy-crates_s131412,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",1,"Best Labrador Retriever Puppy Crates, Pens & Gates 2026: According to Reviews | Chewy",85,"Check out the best crates, pens, and gates. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!",228,best crate for lab puppy,Best Crates For Labrador Retriever Puppies,1,labrador-retriever-puppy-crates,True,True,False,False,True,False,False,True,1,337,2,,,,,,,3,3,13.5,0,2,0,1,1.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy-foods_s131428,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",7,Best Labrador Retriever Puppy Foods 2026: According to Reviews | Chewy,70,Check out the best food. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!,209,best dog food for labrador retriever puppies,Best Dog Food For Labrador Retriever Puppies,1,labrador-retriever-puppy-foods,True,True,False,False,True,False,False,True,7,336,2,,,,,,,48,48,2.69,45,0,0,3,31.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy_s131436,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",3,Best Labrador Retriever Puppy Grooming Supplies 2026: According to Reviews | Chewy,82,Check out the best grooming supplies. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!,222,best labrador retriever puppy grooming supplies,Best Grooming Tools For Labrador Retriever,1,labrador-retriever-puppy,True,True,False,False,True,False,False,True,3,337,2,,,,,,,3,3,15.0,0,2,0,1,2.0
Top Picks,Links,Below inlink target,https://www.chewy.com/best/labrador-retriever-puppy-toys_s131468,True,"Increase internal links from relevant navigation, PLPs, PDPs, or editorial surfaces.",2,Best Labrador Retriever Puppy Toys 2026: According to Reviews | Chewy,69,Check out the best toys. These top-rated products have been reviewed by Chewy vets and are loved by customers with labrador retriever puppies. Let us help you find the top products for your labrador retriever!,209,best toys for lab puppies,Best Toys For Labrador Retrievers Puppies,1,labrador-retriever-puppy-toys,True,True,False,False,True,False,False,True,2,336,2,,,,,,,19,16,12.82,8,6,3,2,2.0
