page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/mouse-litter-box,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Mouse Litter Box (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best mouse litter box! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,mouse litter box,Mouse Litter Box,1,mouse-litter-box,True,True,False,False,False,False,False,False,251,344,3,,,,,,,3,2,,0,0,0,3,1.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/healthy-treats-for-cats,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Healthy Treats For Cats (Free Shipping) | Chewy,47,"Shop Chewy for low prices and the best healthy treats for cats! We carry a large selection and the top brands like Trilostane Compounded, Wellness, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,healthy treats for cats,Healthy Treats For Cats,1,healthy-treats-for-cats,True,True,False,False,False,False,False,False,687,344,2,,,,,,,4,4,19.0,0,1,1,2,3.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/ferret-cage-extensions,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Ferret Cage Extensions (Free Shipping) | Chewy,46,"Shop Chewy for low prices and the best ferret cage extensions! We carry a large selection and the top brands like MidWest, PawHut, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,ferret cage extensions,Ferret Cage Extensions,1,ferret-cage-extensions,True,True,False,False,False,False,False,False,7,345,4,,,,,,,3,2,23.0,0,0,1,2,1.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/gerbil-water-feeder,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Gerbil Water Feeder (Free Shipping) | Chewy,43,"Shop Chewy for low prices and the best gerbil water feeder! We carry a large selection and the top brands like Frisco, Little Giant, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",241,mongolian gerbil feeder,Gerbil Water Feeder,1,gerbil-water-feeder,True,True,False,False,False,False,False,False,84,344,4,,,,,,,6,4,18.0,0,3,1,2,1.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/edible-puppy-bones,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,edible puppy bones,,,,,,,,,,,,,,,,,,,,,2,2,1.0,1,0,0,1,
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/large-parrot-perch,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Large Parrot Perch (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best large parrot perch! We carry a large selection and the top brands like Polly's Pet Products, Planet Pleasures, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",258,large parrot perch,Large Parrot Perch,1,large-parrot-perch,True,True,False,False,False,False,False,False,30,344,3,,,,,,,2,2,1.0,1,0,0,1,4.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/thermoplastic-rubber-dog-toys,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,thermoplastic rubber dog toys,,,,,,,,,,,,,,,,,,,,,2,2,1.0,1,0,0,1,
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/starter-cat-supplies,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Starter Cat Supplies (Free Shipping) | Chewy,44,"Shop Chewy for low prices and the best starter cat supplies! We carry a large selection and the top brands like Frisco, Basic Spirit, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,starter cat supplies,Starter Cat Supplies,1,starter-cat-supplies,True,True,False,False,False,False,False,False,220,341,2,,,,,,,4,4,15.5,1,0,1,2,3.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/bulk-cat-food,True,"Review lost terms for relevance, indexability, and SERP intent fit.",4,Bulk Cat Food (Free Shipping) | Chewy,37,"Shop Chewy for low prices and the best bulk cat food! We carry a large selection and the top brands like Blue Buffalo, Iams, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,bulk cat food,Bulk Cat Food,1,bulk-cat-food,True,True,False,False,False,False,False,False,276,345,2,,,,,,,6,5,13.5,1,1,0,4,24.0
HVSP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/sp/soft-dry-cat-food,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Soft Dry Cat Food (Free Shipping) | Chewy,41,"Shop Chewy for low prices and the best soft dry cat food! We carry a large selection and the top brands like Meow Mix, Chewy Made, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,soft dry cat food,Soft Dry Cat Food,1,soft-dry-cat-food,True,True,False,False,False,False,False,False,462,340,2,good,1953.0,good,0.055,,,3,3,5.5,2,0,0,1,86.0
