page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Links,Below outlink target,https://www.chewy.com/f/parrot-food-toys_c12966_f164v202868,True,Improve template linking to related destinations.,0,,,,,,,0,parrot-food-toys,,True,False,False,False,False,False,False,86,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/dry-food-senior-cats_c388_f5v9063,True,Improve template linking to related destinations.,0,,,,,,,0,dry-food-senior-cats,,True,False,False,False,False,False,False,293,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/horse-first-aid-supplies_c1691_f50v68823,True,Improve template linking to related destinations.,0,,,,,,,0,horse-first-aid-supplies,,True,False,False,False,False,False,False,425,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/cockatiel-food-treats_c946_f2v20223,True,Improve template linking to related destinations.,0,,,,,,,0,cockatiel-food-treats,,True,False,False,False,False,False,False,48,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/dry-reptile-food_c1026_f2v9069,True,Improve template linking to related destinations.,0,,,,,,,0,dry-reptile-food,,True,False,False,False,False,False,False,214,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/parakeet-perch-toys_c12937_f164v829717,True,Improve template linking to related destinations.,0,,,,,,,0,parakeet-perch-toys,,True,False,False,False,False,False,False,49,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/glowing-light-up-cat-toys_c326_f58v370687,True,Improve template linking to related destinations.,0,,,,,,,0,glowing-light-up-cat-toys,,True,False,False,False,False,False,False,326,0,2,,,,,,,,,,,,,,1.0
HVF,Links,Below outlink target,https://www.chewy.com/f/plastic-bird-perches-toys_c967_f7v17023,True,Improve template linking to related destinations.,0,,,,,,,0,plastic-bird-perches-toys,,True,False,False,False,False,False,False,106,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/stainless-steel-bird-perches-toys_c967_f7v17020,True,Improve template linking to related destinations.,0,,,,,,,0,stainless-steel-bird-perches-toys,,True,False,False,False,False,False,False,106,0,2,,,,,,,,,,,,,,
HVF,Links,Below outlink target,https://www.chewy.com/f/steel-bird-cages_c1743_f7v375469,True,Improve template linking to related destinations.,0,,,,,,,0,steel-bird-cages,,True,False,False,False,False,False,False,23,0,2,,,,,,,,,,,,,,
