page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/temptations-cat-treats_c391_f1v388696,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,TEMPTATIONS CAT TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Temptations Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Temptations Cat Treats for your pet.",225,chewy cat treats,Temptations Cat Treats,1,temptations-cat-treats,True,True,False,False,True,False,False,False,2,368,3,,,,,,,7,6,19.8,1,2,2,2,3.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/lead-free-dog-bowls_c1422_f86v697205,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,LEAD-FREE DOG BOWLS (Free Shipping) | Chewy,43,"Browse lead-free dog bowls to help keep your pet safe, with options for food, water, wet meals, dry kibble, daily feeding, and easier cleanup.",142,lead free dog bowls,Lead-Free Dog Bowls,1,lead-free-dog-bowls,True,True,False,False,True,False,False,True,78,383,3,,,,,,,5,4,12.6,2,2,1,0,1.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/non-skid-dog-bowls-dishes_c1422_f86v329960,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,NON SKID DOG BOWLS (Free Shipping) | Chewy,42,"Make mealtime steadier with non skid dog bowls, non-slip dishes, and no-slip bowl options that help reduce sliding, spills, noise, and floor messes.",148,non slip dog bowls,Non Skid Dog Bowls,1,non-skid-dog-bowls-dishes,True,True,False,False,True,False,False,True,87,393,3,,,,,,,9,8,8.0,6,2,1,0,3.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/large-dog-elevated-bowls_c1423_f6v13792,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,ELEVATED DOG BOWLS FOR LARGE DOGS | CHEWY,41,"Compare elevated dog bowls for large dogs, with raised bowl stands designed for comfortable meals, steadier placement, easier access, and less bending.",151,large dog elevated bowls,Elevated Dog Bowls for Large Dogs,1,large-dog-elevated-bowls,True,True,False,False,True,False,False,True,36,367,3,,,,,,,7,6,10.33,4,1,1,1,14.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/small-dog-bowls-feeders_c338_f6v13790,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,SMALL DOG BOWLS (Free Shipping) | Chewy,39,"Shop small dog bowls and feeders sized for little dogs, with options for food, water, slow feeding, elevated meals, travel, and everyday dining routines.",153,small dog bowls,Small Dog Bowls,1,small-dog-bowls-feeders,True,True,False,False,True,False,False,True,265,393,2,,,,,,,11,11,8.0,9,1,1,0,10.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/brain-health-dry-dog-food_c294_f50v63775,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,BRAIN HEALTH DRY DOG FOOD (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Brain Health Dry Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Brain Health Dry Dog Food for your pet.",231,dog food for brain health,Brain Health Dry Dog Food,1,brain-health-dry-dog-food,True,True,False,False,True,False,False,False,268,400,2,,,,,,,10,10,4.0,8,0,1,1,4.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/small-dog-toys_c315_f6v13790,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,SMALL DOG TOYS (Free Shipping) | Chewy,38,"Explore small dog toys sized for little mouths, with dog toys for small dogs made for chewing, fetching, tugging, cuddling, and enrichment at home.",147,small dog toys,Small Dog Toys,1,small-dog-toys,True,True,False,False,True,False,False,True,1333,410,2,good,1687.0,poor,0.44499999999999995,,,10,10,14.14,3,3,1,3,11.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/autoship-eligible-pet-food_c1838_f78v90411,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,AUTOSHIP ELIGIBLE PET FOOD,26,"Delivering pet happiness by conveniently shipping 3,500+ brands of pet food and stuff (for free!) while ensuring at-risk animals' lives are improved across the planet. 1-800-672-4399",182,autoship dry cat food,Pet Food,1,autoship-eligible-pet-food,True,False,False,False,True,False,False,False,389,344,5,,,,,,,9,6,7.83,5,0,1,3,1.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/cyber-monday-pet-beds_c2732_f164v203019,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,CYBER MONDAY PET BEDS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Cyber Monday Pet Beds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cyber Monday Pet Beds for your pet.",223,cyber week deals on cat beds and houses,Cyber Monday Pet Beds,1,cyber-monday-pet-beds,True,True,False,False,True,False,False,False,424,349,5,,,,,,,1,1,29.0,0,0,1,0,
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/beef-flavored-dog-treats_c335_f4v59627,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"BEEF DOG TREATS: BEEF JERKY, FREEZE DRIED & MORE | CHEWY",56,"Shop Chewy for beef dog treats, including beef jerky dog treats and freeze dried beef liver dog treats. Browse protein-rich options from Stewart, PureBites & more.",163,beef dog treats,Beef Dog Treats,1,beef-flavored-dog-treats,True,True,False,False,True,False,False,True,1493,435,2,,,,,,,4,4,11.67,2,0,1,1,1.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/standard-cat-leashes-collars_c400_f59v84904,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,STANDARD CAT LEASHES & COLLARS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Standard Cat Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Standard Cat Leashes & Collars for your pet.",241,top rated cat leashes collars bowls and id tags by chewy,Standard Cat Leashes & Collars,1,standard-cat-leashes-collars,True,True,False,False,True,False,False,False,83,358,2,,,,,,,2,2,24.0,0,0,1,1,1.0
HVF,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/f/dog-treats-made-in-usa_c335_f232v879044,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,DOG TREATS MADE IN USA (Free Shipping) |Chewy,45,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",171,dog treats made in usa,Dog Treats Made in USA,1,dog-treats-made-in-usa,True,True,False,False,True,False,False,False,1484,425,2,,,,,,,5,5,20.5,1,1,2,1,8.0
