page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,Make titles unique at the page/template level.,Royal Canin Dog Food - Free shipping | Chewy,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,True,True,False,False,True,False,False,False,318238,359,1,good,1495.0,good,0.07,,,,,,,,,,15.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/nutrena-121270,True,Make titles unique at the page/template level.,Nutrena - Free shipping | Chewy,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,True,True,False,False,True,False,False,False,318238,346,1,,,,,,,2,2,15.0,1,0,1,0,1.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/cosequin-7126,True,Make titles unique at the page/template level.,Nutramax Cosequin - Free shipping | Chewy,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,True,True,False,False,True,False,False,False,318238,335,1,good,1518.0,good,0.060000000000000005,,,,,,,,,,6.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/friskies-7369,True,Make titles unique at the page/template level.,Friskies Cat Food & Treats | Chewy,Friskies Cat Food & Treats | Chewy,34,Shop Chewy for low prices and the best Friskies products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,friskies,Friskies Cat Food & Treats,1,friskies,True,True,False,False,True,False,False,True,400,355,2,good,1813.0,good,0.095,,,8,7,12.67,4,0,2,2,13.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/treats-135734,True,Make titles unique at the page/template level.,Treats - Free shipping | Chewy,Treats - Free shipping | Chewy,30,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Treats,1,treats,True,True,False,False,True,False,False,False,45,307,2,,,,,,,,,,,,,,1.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/tiki-cat-7617,True,Make titles unique at the page/template level.,"Tiki Cat Food: Tiki Cat Treats & Wet Food - Deals, Free Shipping","Tiki Cat Food: Tiki Cat Treats & Wet Food - Deals, Free Shipping",64,"Shop Chewy for low prices and the best Tiki Cat! We carry a large selection and the top brands like Tiki Cat, Tiki Cat Veterinary Solutions, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,tiki cat wet cat food,Tiki Cat,1,tiki-cat,True,True,False,False,True,False,False,False,439,366,2,good,1527.0,good,0.09,,,6,5,14.33,2,3,1,0,11.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/nutramax-7125,True,Make titles unique at the page/template level.,Nutramax Laboratories | Chewy,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,True,True,False,False,True,False,False,False,163,356,2,good,1640.0,good,0.075,,,3,3,6.5,2,0,0,1,2.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/cosequin-7126,True,Make titles unique at the page/template level.,Nutramax Cosequin - Free shipping | Chewy,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,False,False,False,False,True,False,False,False,1,335,2,,,,,,,,,,,,,,
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/frisco-6767,True,Make titles unique at the page/template level.,Frisco Pet Supplies - Free Shipping | Chewy,Frisco Pet Supplies - Free Shipping | Chewy,43,"Shop Chewy for low prices and the best Frisco products! We carry a large selection and the top brands like Frisco, Buckle-Down, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,frisco by chewy,Frisco by Chewy,1,frisco,True,True,False,False,True,False,False,False,5254,370,2,good,1501.0,good,0.07,,,7,7,7.67,4,1,1,1,24.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/tiny-tiger-7630,True,Make titles unique at the page/template level.,Tiny Tiger: Cat Food – Free Shipping (35% Off Your First Autoship Order),Tiny Tiger: Cat Food – Free Shipping (35% Off Your First Autoship Order),72,Shop Chewy for low prices and the best Tiny Tiger! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,tiny tiger,Tiny Tiger There's a lot to love about Tiny Tiger Wildly delicious Complete & balanced Irresistible prices,5,tiny-tiger,True,True,False,False,True,False,False,True,100,347,2,good,1611.0,good,0.09000000000000001,,,9,9,3.88,7,1,0,1,25.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/royal-canin-7487,True,Make titles unique at the page/template level.,Royal Canin: Dog Food & Cat Food (Free Shipping) | Chewy,Royal Canin: Dog Food & Cat Food (Free Shipping) | Chewy,56,Shop Chewy for low prices on Royal Canin Dog and Cat Food. We carry a wide selection of Royal Canin Dog and Cat Food available in prescription and non-prescription for small to large breeds. FREE shipping on orders $49+ and the BEST customer service!,250,royal canin dog food,Royal Canin,1,royal-canin,True,True,False,False,True,False,False,True,617,360,2,good,1645.0,good,0.01,,,18,18,13.69,6,3,4,5,33.0
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,Make titles unique at the page/template level.,Royal Canin Dog Food - Free shipping | Chewy,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,False,False,False,False,True,False,False,False,5,359,2,,,,,,,,,,,,,,
Brand,Meta,Duplicate page title,https://www.chewy.com/brands/nutrena-121270,True,Make titles unique at the page/template level.,Nutrena - Free shipping | Chewy,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,False,False,False,False,True,False,False,False,1,346,2,,,,,,,2,2,15.0,1,0,1,0,
