page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/dog/food-and-nutrition,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/dog/grooming,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Dog Grooming Tips and Guides for Bathing, Brushing & More | Chewy.com",69,"Discover dog grooming tips and guides for brushing, bathing, nail trimming, and coat care. Learn how to make grooming calm and consistent.",138,best grooming for dogs,Dog Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,4,4,8.5,1,1,0,2,2.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/dog/new-dog,True,Rewrite titles that are too short or too long while keeping the main topic clear.,71,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/dog/pet-parenting,True,Rewrite titles that are too short or too long while keeping the main topic clear.,73,"Dog Parenting: Emotional Wellbeing, Structure, Bonding & More | Chewy.com",73,"Discover dog parenting tips for building routines, supporting emotional needs, managing transitions, and creating a strong bond with your dog.",142,chewy for dog,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,325,1,,,,,,,9,9,20.11,0,5,4,0,1.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/dog/training-and-behavior,True,Rewrite titles that are too short or too long while keeping the main topic clear.,74,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/cat/flea-and-tick,True,Rewrite titles that are too short or too long while keeping the main topic clear.,70,"Cat Flea & Tick: Spotting Signs, Life Cycle, Prevention & More | Chewy",70,Learn how to prevent and treat flea and tick issues in cats with our Cat Flea & Tick Hub.,89,chewy cat flea treatment,Cat Flea & Tick,1,flea-and-tick,True,True,False,False,False,False,False,False,318249,320,1,,,,,,,1,1,24.0,0,0,1,0,1.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/cat/food-and-nutrition,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,"Cat Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Explore cat food and nutrition tips on feeding routines, ingredients, diet transitions, and choosing the right food for your cat’s age and health needs.",152,chewy pet food for cats,Cat Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,326,1,,,,,,,1,1,6.0,1,0,0,0,3.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/cat/grooming,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Cat Grooming Tips for Brushing, Nail Care, Bathing & More | Chewy.com",69,"Learn cat grooming tips for brushing, nail trimming, detangling, and bathing. Discover how to create a calm routine for cats of any coat type.",142,cat grooming,Cat Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,317,1,,,,,,,3,3,16.0,0,3,0,0,1.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/cat/health-and-wellness,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,"Cat Health: Recognizing Symptoms, Managing Conditions & More | Chewy",68,"Learn how to recognize cat health symptoms, understand common causes, explore treatment options, and take steps to prevent serious illness.",139,,Cat Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,328,1,,,,,,,,,,,,,,1.0
Editorial,Meta,Page title length is not ideal,https://www.chewy.com/education/cat/pet-parenting,True,Rewrite titles that are too short or too long while keeping the main topic clear.,74,"Cat Parenting Tips for Bonding, Routines, Emotional Support & More | Chewy",74,"Learn cat parenting tips to support bonding, manage emotional changes, and create a strong, trusting relationship with your cat from Chewy Education.",149,,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,324,1,,,,,,,,,,,,,,1.0
