page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/flea-tick-381,True,Update meta-description templates to reflect the primary ranking phrase.,flea and tick treatment and medicine for dogs,Dog Flea & Tick: Best Flea Medicine Treatment for Dogs (Free Shipping) | Chewy,78,"Shop Chewy's wide selection of products and prepare yourself and your dog with the best in flea and tick treatments and products. We carry all the top products like Seresto 8 Month Collars and K9 Advantix Flea Treatments along with the best flea & tick sprays, collars, pills and wipes. *FREE* shipping on orders $49+ and the BEST customer service!",348,flea and tick treatment and medicine for dogs,Flea & Tick Treatment & Medicine for Dogs,1,flea-tick,True,True,False,False,True,False,False,True,327550,390,1,good,2123.0,good,0.02,,,51,49,9.59,22,18,1,10,259.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/dog-calming-aids-379,True,Update meta-description templates to reflect the primary ranking phrase.,dog calming aids,"Dog Stress, Anxiety & Calming Products: Low Prices (Free Shipping) | Chewy",74,"Shop Chewy for low prices and the best Calming Care & Anxiety! We carry a large selection and the top brands like Fluoxetine HCl Compounded, The Treat Shack, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",266,dog calming aids,Dog Calming Aids,1,dog-calming-aids,True,True,False,False,True,False,False,True,318253,373,1,good,2258.0,good,0.01,,,28,27,9.28,16,6,3,3,141.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/puzzle-toys-games-2335,True,Update meta-description templates to reflect the primary ranking phrase.,puzzles and games for dogs,Dog Puzzle Toys & Games: Low Prices (Free Shipping) | Chewy,59,Shop Chewy for low prices on the best dog puzzle toys and games. We carry a wide selection of dog puzzle toys and games that will keep your pup engaged and can help with training. *FREE* shipping on orders $49+ and the BEST customer service!,241,puzzles and games for dogs,Dog Puzzles,1,puzzle-toys-games,True,True,False,False,True,False,False,True,318253,364,1,good,1643.0,good,0.09,,,22,22,5.68,17,0,2,3,106.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/highest-quality-cat-food-11741,True,Update meta-description templates to reflect the primary ranking phrase.,premium cat food,Premium Cat Food: Best Brands (Free Shipping) | Chewy,53,"Delivering pet happiness by conveniently shipping 3,500+ brands of pet food and stuff (for free!) while ensuring at-risk animals' lives are improved across the planet. 1-800-672-4399",182,premium cat food,Highest Quality Cat Food,1,highest-quality-cat-food,True,True,False,False,True,False,False,False,318253,362,1,good,1797.0,good,0.07,,,22,22,9.47,14,2,3,3,32.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/health-pharmacy-415,True,Update meta-description templates to reflect the primary ranking phrase.,non prescription cat healthcare,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",263,non prescription cat healthcare,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,318253,403,1,good,2481.0,good,0.02,,,16,16,5.14,13,1,0,2,9.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/flea-tick-404,True,Update meta-description templates to reflect the primary ranking phrase.,flea and tick treatment and medicine for cats,Best Tick & Flea Treatment & Medicine for Cats (Free Shipping) | Chewy,70,"Shop Chewy's wide selection of products and prepare yourself and your cat with the best in flea and tick treatments and products. We carry all the top products like Seresto 8 Month Collars and Advantage II treatments along with the best flea & tick sprays, collars, shampoos, combs and more. *FREE* shipping on orders $49+ and the BEST customer service!",353,flea and tick treatment and medicine for cats,Flea & Tick Treatment & Medicine for Cats,1,flea-tick,True,True,False,False,True,False,False,True,327550,384,1,good,2117.0,good,0.025,,,35,33,6.86,21,6,1,7,164.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/cat-allergy-relief-129902,True,Update meta-description templates to reflect the primary ranking phrase.,best allergy treatments for cats,Allergy Relief for Cats - Free shipping | Chewy,47,"Shop Chewy for low prices and the best Cat Allergy Relief! We carry a large selection and the top brands like Prednisolone Compounded, Chlorpheniramine Maleate Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",280,best allergy treatments for cats,Allergy Relief for Cats,1,cat-allergy-relief,True,True,False,False,True,False,False,False,318253,360,1,good,2465.0,good,0.09,,,3,3,14.5,1,0,1,1,5.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/cat-health-tests-2690,True,Update meta-description templates to reflect the primary ranking phrase.,cat health tests,"Cat Medical Test Kits: Top Brands, Low Prices (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Test Kits! We carry a large selection and the top brands like PetTest, CheckUp, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",227,cat health tests,Cat Health Tests,1,cat-health-tests,True,True,False,False,True,False,False,False,318253,354,1,good,1564.0,good,0.03,,,5,5,11.2,3,1,1,0,1.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/horse-fly-and-insect-control-1694,True,Update meta-description templates to reflect the primary ranking phrase.,spray for flies on horses,Horse Fly Control | Chewy,25,"Shop Chewy for low prices and the horse pest and insect control supplies. Chewy has top-rated products from the best brands including tick removal, horse fly-repellent sprays & traps and more. *FREE* shipping on orders $49+ and the BEST customer service!",254,spray for flies on horses,Horse Fly & Insect Control,1,horse-fly-and-insect-control,True,True,False,False,True,False,False,True,318253,369,1,good,2010.0,good,0.025,,,18,17,21.78,0,6,12,0,6.0
Browse,Meta,Meta description does not align to main ranking keyword,https://www.chewy.com/b/horse-tack-and-saddlery-supplies-11439,True,Update meta-description templates to reflect the primary ranking phrase.,saddles and horse tack,Horse Tack | Chewy,18,"Shop Chewy for low prices and the best Tack & Saddlery! We carry a large selection and the top brands like Equinavia, Horze, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,saddles and horse tack,Horse Tack & Saddlery Supplies,1,horse-tack-and-saddlery-supplies,True,True,False,False,True,False,False,True,318253,369,1,,,,,,,12,11,20.5,0,4,6,2,4.0
