page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/exclusively-dog-best-buddy-bones/dp/47079,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/doggiewater-chicken-flavor-dog/dp/209455,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,doggiewater,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/isoxsuprine-hcl-compounded-oral-oil/dp/398030,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,isoxsuprine hcl compounded,,,,,,,,,,,,,,,,,,,,,1,1,26.0,0,0,1,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/isoxsuprine-hcl-compounded-oral-oil/dp/602454,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,isoxsuprine hcl compounded,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/m-barclay-inc-soft-spot-all-natural/dp/259026,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,m barclay inc,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/doog-outback-tails-felt-ed-echidna/dp/1302662,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,echidna dog toy,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/bones-chews-made-in-usa-12-braided/dp/185095,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,bones & chews made in usa bully stick dog chews,,,,,,,,,,,,,,,,,,,,,1,1,23.0,0,0,1,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/frisco-americana-personalized-dog-cat/dp/280701,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,frisco personalized cat bandanas,,,,,,,,,,,,,,,,,,,,,2,2,3.0,2,0,0,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/hills-prescription-diet-gd-aging-care/dp/315659,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,hill's prescription diet g/d for dogs,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/hills-prescription-diet-rd-weight/dp/54752,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,hill's prescription diet r/d for cats,,,,,,,,,,,,,,,,,,,,,2,1,,0,0,0,2,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/vetadryl-diphenhydramine-hcl-tablets/dp/345901,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,vetadryl,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
PDP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/vetadryl-diphenhydramine-hcl-tablets/dp/1069230,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,vetadryl,,,,,,,,,,,,,,,,,,,,,1,1,5.0,1,0,0,0,
