page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/104902,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,2,2,29.0,0,0,1,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/antlers-for-dogs-3939670,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,cyber week deals on antler dog chews,,,,,,,,,,,,,,,,,,,,,2,2,28.0,0,0,1,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/jerky-treats-115110,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Deals on Dog Jerky Treats - Free shipping | Chewy,49,"Shop Chewy for low prices and the best Jerky Treats! We carry a large selection and the top brands like Beggin', Farmland Traditions, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,chewy exclusive jerky dog treats,Deals on Dog Jerky Treats,1,jerky-treats,,False,False,False,True,False,False,False,36,341,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/id-tags-collars-leashes-129398,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,1,7.0,1,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-3939382,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-134204,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/gerbil-litter-bedding-and-accessories-4042534,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,gerbil litter bedding and accessories,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/sugar-glider-bed-4158134,False,"Review lost terms for relevance, indexability, and SERP intent fit.",2,,,,,sugar glider beds hideouts and toys,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,2,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/cat-deals-2735,True,"Review lost terms for relevance, indexability, and SERP intent fit.",8,Cat Supplies On Sale: Discount Cat Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on cat supplies. Find great deals and see what cat supplies are on sale like cat litter, cat food, cat treats, cat toys, cat trees and more. FREE shipping on orders $49+ and the BEST customer service!",231,deals on cat supplies,Cat Deals,1,cat-deals,True,True,False,False,True,False,False,False,318238,367,1,good,2141.0,good,0.015,,,35,34,10.22,14,13,0,8,18.0
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/dog-deals-2733,True,"Review lost terms for relevance, indexability, and SERP intent fit.",23,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/cat-127470,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,chewy shipping price,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/3691862,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,bearded dragon tank cover​s,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/soft-chewy-treats-115070,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Deals on Dog Soft & Chewy Treats - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Zuke's, Beggin', and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on soft & chewy dog treats,Deals on Dog Soft & Chewy Treats,1,soft-chewy-treats,,False,False,False,True,False,False,False,39,344,3,,,,,,,3,2,29.0,0,0,1,2,1.0
Deals,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/deals/potty-training-aids-115310,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,Deals on Dog Potty Training Aids - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Potty Training Aids! We carry a large selection and the top brands like Caldwell's Pet Supply Co., PoochieBells, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",260,deals on dog potty training aids,Deals on Dog Potty Training Aids,1,potty-training-aids,,False,False,False,True,False,False,False,12,341,4,,,,,,,1,1,,0,0,0,1,1.0
