page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/new-dog,True,Update H1 templates to reflect the primary page intent.,puppy,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/pet-parenting,True,Update H1 templates to reflect the primary page intent.,chewy for dog,"Dog Parenting: Emotional Wellbeing, Structure, Bonding & More | Chewy.com",73,"Discover dog parenting tips for building routines, supporting emotional needs, managing transitions, and creating a strong bond with your dog.",142,chewy for dog,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,325,1,,,,,,,9,9,20.11,0,5,4,0,1.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/training-and-behavior,True,Update H1 templates to reflect the primary page intent.,entrenamiento para perros,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/food-and-nutrition/best-dog-food,True,Update H1 templates to reflect the primary page intent.,best canine,"12 Best Dog Foods in 2026, Vet Recommended | Chewy",50,"These are our veterinary experts’ picks for the best dog food, from kibble to canned to fresh food.",99,best canine,"12 Best Dog Foods in 2026, Vet Recommended",1,best-dog-food,True,True,False,False,False,False,False,False,318249,331,1,good,2361.0,good,0.055,,,21,18,20.16,2,6,11,2,25.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat/training-and-behavior,True,Update H1 templates to reflect the primary page intent.,why does my cat steal my socks,"Cat Training & Behavior: House Rules, Bonding Techniques & More | Chewy",71,"Discover cat training and behavior insights, including how to manage unwanted habits, encourage positive routines, and reduce stress.",133,why does my cat steal my socks,Cat Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,329,1,,,,,,,2,2,,0,0,0,2,1.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/horse/feed-and-nutrition,True,Update H1 templates to reflect the primary page intent.,horse eating hay,"Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/horse/tack-and-stable,True,Update H1 templates to reflect the primary page intent.,chewy horse supplies,"Horse Tack & Stable: Tack Room Setup, Cleaning Tips & More | Chewy",66,"Learn how to choose, care for, and organize your tack and stable essentials in the Horse Tack & Stable Hub. Explore horse tack and stable tips for gear care, barn management, cleaning routines, and creating efficient, well-organized spaces.",240,chewy horse supplies,Tack & Stable,1,tack-and-stable,True,True,False,False,False,False,False,False,318249,319,1,,,,,,,1,1,,0,0,0,1,1.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/fish/health-and-wellness,True,Update H1 templates to reflect the primary page intent.,goldfish losing scales,"Fish Health: Common Diseases, Symptoms, Treatment & More | Chewy",64,"Learn how to monitor fish health with tips on spotting illness, maintaining clean water, reducing stress, and treating common aquarium diseases.",144,goldfish losing scales,Fish Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,310,1,,,,,,,3,3,19.67,0,2,1,0,1.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat-breeds/maine-coon,True,Update H1 templates to reflect the primary page intent.,mancoon,"Maine Coon Breed: Characteristics, Care & Photos | Chewy",56,"A Maine Coon is a big cat breed who is friendly, fluffy, and vocal. Learn whether a Maine Coon cat is the right fit for you.",124,mancoon,Maine Coon,1,maine-coon,True,True,False,False,True,False,False,True,318249,336,1,good,1690.0,good,0.015,,,5,5,20.0,1,1,2,1,55.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/bird,True,Update H1 templates to reflect the primary page intent.,peach fronted conure toys,"Pet Bird Care & Tips | Guide to Happy, Healthy Birds | Chewy",60,"Discover everything you need to know about bird care, feeding, training, and enrichment in the Bird Education Hub. Discover expert tips on pet bird care, feeding, training, and choosing the right bird. Help your feathered friend thrive with our helpful guides.",260,peach fronted conure toys,Bird,1,bird,True,True,False,False,False,False,False,False,318249,364,1,,,,,,,5,4,31.0,0,0,1,4,2.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/small-pet/hamster,True,Update H1 templates to reflect the primary page intent.,do hamsters smell,Hamster Care and Habitat Tips with Key Information | Chewy,58,"Get expert advice on hamster care, cages, enrichment, and nutrition in our Hamster Education Hub. Learn hamster care with expert tips and reliable information on feeding, habitat setup, enrichment, and more from Chewy Education.",228,do hamsters smell,Hamster,1,hamster,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,3,3,13.5,0,2,0,1,1.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/pet-parenting/walking-dog-at-night,True,Update H1 templates to reflect the primary page intent.,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night | Chewy,49,"Learn how to walk your dog at night safely with visibility gear, expert tips, and essential nighttime walking products.",119,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night,1,walking-dog-at-night,True,True,False,False,False,False,False,False,196,323,2,,,,,,,2,2,3.5,2,0,0,0,4.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/pet-parenting/diy-pill-pouches-for-pets,True,Update H1 templates to reflect the primary page intent.,homemade pill pockets for dogs,DIY Pill Pouches for Pets | Chewy,33,"Make giving medication easier with these DIY pill pouch recipes for pets. Learn simple, tasty tricks to help your dog or cat take their pills.",142,homemade pill pockets for dogs,DIY Pill Pouches for Pets,1,diy-pill-pouches-for-pets,True,True,False,False,False,False,False,False,8,313,2,needs,2948.0,good,0.049999999999999996,,,5,4,9.6,4,1,0,0,11.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/new-dog/how-to-puppy-proof-your-house,True,Update H1 templates to reflect the primary page intent.,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips | Chewy,53,How to puppy-proof your house made simple: Secure your home and prevent accidents with this advice for puppy parents.,117,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips,1,how-to-puppy-proof-your-house,True,True,False,False,False,False,False,False,122,328,2,,,,,,,3,3,9.5,1,1,0,1,8.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/new-dog/what-to-expect-with-puppy-teething,True,Update H1 templates to reflect the primary page intent.,when do puppies stop teething,Puppy Teething: What To Expect and How To Help | Chewy,54,"When do puppies lose their teeth, and how can you help your dog through the process? Read our guide to puppy teething symptoms and solutions.",141,when do puppies stop teething,Puppy Teething: What To Expect and How To Help Your Puppy,1,what-to-expect-with-puppy-teething,True,True,False,False,False,False,False,False,21,318,2,,,,,,,3,3,21.0,0,1,2,0,12.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/new-dog/puppy-proofing-the-stairs,True,Update H1 templates to reflect the primary page intent.,are stairs bad for dogs,When Can Puppies Go on Stairs? | Chewy,38,"For small dogs, stairs can present a big safety hazard. Find out when it’s safe for puppies to climb stairs or go down stairs.",126,are stairs bad for dogs,When Can Puppies Go on Stairs?,1,puppy-proofing-the-stairs,True,True,False,False,False,False,False,False,8,325,2,,,,,,,3,3,6.33,3,0,0,0,18.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat/grooming/how-to-brush-a-cat,True,Update H1 templates to reflect the primary page intent.,how often should i brush my cat,Brush your cat the right way with tips from the pros | Chewy,60,Brushing a cat is an important part of pet parenthood. Learn how to brush cats the right way with tips from groomers and a veterinarian.,136,how often should i brush my cat,Brush Your Cat the Right Way With Tips From the Pros,1,how-to-brush-a-cat,True,True,False,False,False,False,False,False,97,322,2,,,,,,,8,8,2.0,3,0,0,5,139.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/training-and-behavior/training-tips-how-to-stop-destructive-chewing-in-dogs,True,Update H1 templates to reflect the primary page intent.,when do dogs stop chewing everything up,Destructive Dog Chewing: How To Stop It | Chewy,47,Tired of your dog treating your belongings like a chew toy? Find out how to stop destructive dog chewing with our expert guide.,127,when do dogs stop chewing everything up,Destructive Dog Chewing: Why It Happens and How To Stop It,1,training-tips-how-to-stop-destructive-chewing-in-dogs,True,True,False,False,False,False,False,False,77,333,2,needs,3083.0,good,0.045000000000000005,,,6,5,14.83,1,4,1,0,51.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog-breeds/miniature-pinscher,True,Update H1 templates to reflect the primary page intent.,min pin,"Miniature Pinscher Breed: Characteristics, Care & Photos | Chewy",64,The King of Toys is a tiny dog with a ginormous personality. Learn all about this delightful pup in our complete Miniature Pinscher guide.,138,min pin,Miniature Pinscher,1,miniature-pinscher,True,True,False,False,True,False,False,True,13,344,2,,,,,,,1,1,28.0,0,0,1,0,106.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/small-pet/guinea-pig/how-to-care-for-a-guinea-pig,True,Update H1 templates to reflect the primary page intent.,peruvian guinea pig supplies,Guinea Pigs Care Guide: How To Take Care of Guinea Pigs | Chewy,63,"From food to housing, toys and more, we’re breaking down all the things you’ll need (and need to do) for your new guinea pig.",125,peruvian guinea pig supplies,Guinea Pigs Care Guide: How To Take Care of Guinea Pigs,1,how-to-care-for-a-guinea-pig,True,True,False,False,False,False,False,False,28,331,2,,,,,,,8,8,16.14,2,2,3,1,4.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/small-pet/guinea-pig/what-vegetables-can-guinea-pigs-eat,True,Update H1 templates to reflect the primary page intent.,best veggies to feed guinea pigs,What Vegetables Can Guinea Pigs Eat? l Chewy,44,"What do guinea pigs eat? When it comes to veggies, there’s a lot of different things they can try. Here’s what to feed in moderation and what to avoid.",151,best veggies to feed guinea pigs,What Vegetables Can Guinea Pigs Eat?,1,what-vegetables-can-guinea-pigs-eat,True,True,False,False,False,False,False,False,8,334,2,needs,2618.0,good,0.09,,,6,6,13.25,2,1,1,2,109.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/small-pet/guinea-pig/why-do-guinea-pigs-squeak,True,Update H1 templates to reflect the primary page intent.,guinea pig wheeking,Why Do Guinea Pigs Squeak? Is This Normal? | Chewy,50,Learning why guinea pigs squeak helps you tune in to your pet’s behavior and know when they’re content—or need a little help.,125,guinea pig wheeking,Why Do Guinea Pigs Squeak? Is This Normal?,1,why-do-guinea-pigs-squeak,True,True,False,False,False,False,False,False,7,322,2,,,,,,,1,1,24.0,0,0,1,0,11.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/small-pet/guinea-pig/guinea-pig-teeth,True,Update H1 templates to reflect the primary page intent.,how many teeth do guinea pigs have,Guinea Pig Teeth: Common Problems and Care Tips | Chewy,55,Learn how to care for guinea pig teeth and maintain their dental health. Spot issues early and ensure your pig’s well-being with our tips.,138,how many teeth do guinea pigs have,What to Know About Caring for Guinea Pig Teeth: Signs of Tooth Trouble and More,1,guinea-pig-teeth,True,True,False,False,False,False,False,False,9,320,2,,,,,,,2,2,2.5,2,0,0,0,8.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/health-and-wellness/dehydration-in-dogs,True,Update H1 templates to reflect the primary page intent.,how to tell if a dog is dehydrated,Dehydration in Dogs: How To Tell If Your Dog Is Dehydrated | Chewy,66,"Can dogs dehydrate? Yes, dogs can become dehydrated. Here’s everything you need to know about dehydration treatment for dogs, including signs of dehydration in dogs and when you need to rush to the veterinarian.",211,how to tell if a dog is dehydrated,Dehydration in Dogs: How To Spot It and What To Do Next,1,dehydration-in-dogs,True,True,False,False,False,False,False,False,57,341,2,needs,2608.0,good,0.09,,,1,1,,0,0,0,1,11.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/health-and-wellness/cancer-in-dogs,True,Update H1 templates to reflect the primary page intent.,how do dogs get cancer,What Is Cancer in Dogs? And What Are the Signs? | Chewy,55,"Cancer in dogs is one of the most common health concerns pet parents face, especially as their canine companions get older.",123,how do dogs get cancer,What Is Cancer in Dogs? And What Are the Signs?,1,cancer-in-dogs,True,True,False,False,False,False,False,False,32,332,2,,,,,,,1,1,15.0,0,1,0,0,9.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/dog/food-and-nutrition/enrichment-bowls-for-dogs-recipes,True,Update H1 templates to reflect the primary page intent.,,How To Make Enrichment Bowls for Dogs | Chewy,45,"Make easy enrichment bowls for dogs with yogurt, pumpkin, or bone broth plus fun mix-ins. Get two simple recipes (including a hydrating version) and tips.",154,,How To Make Enrichment Bowls for Your Pup—A Build-Your-Own Summer Treat,1,enrichment-bowls-for-dogs-recipes,True,True,False,False,False,False,False,False,312,346,2,,,,,,,,,,,,,,4.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat/health-and-wellness/gingivitis-in-cats,True,Update H1 templates to reflect the primary page intent.,how to treat gingivitis in cats at home,"Gingivitis in Cats: Symptoms, Treatment and Pictures | Chewy",60,"If left unchecked, gingivitis in cats can lead to more oral problems in your furry friend. (And no one wants that!) Here's how to prevent it.",141,how to treat gingivitis in cats at home,"What Does Gingivitis in Cats Look Like? Symptoms, Treatment and Pictures",1,gingivitis-in-cats,True,True,False,False,False,False,False,False,22,314,2,,,,,,,4,4,15.25,0,3,1,0,9.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat/health-and-wellness/cranberry-for-cats,True,Update H1 templates to reflect the primary page intent.,,Cranberry for Cats: What Pet Parents Should Know | Chewy,56,"Cranberry may be discussed for urinary tract support in cats, but evidence of reliable benefits is limited. Learn when it may come up and when to call the vet.",159,,Cranberry for Cats: Potential Support for Feline UTIs,1,cranberry-for-cats,True,True,False,False,False,False,False,False,4,312,2,,,,,,,,,,,,,,13.0
Editorial,H1,H1 does not align to main keyword or topic,https://www.chewy.com/education/cat/health-and-wellness/brewers-yeast-for-cats,True,Update H1 templates to reflect the primary page intent.,,Brewer's Yeast for Cats | Chewy,31,"Brewer's yeast is sometimes used in cat food to enhance the flavor and nutrients, but cat-specific research is limited and it is not a proven health supplement.",160,,Brewer’s Yeast for Cats: What You Need to Know,1,brewers-yeast-for-cats,True,True,False,False,False,False,False,False,4,309,2,,,,,,,,,,,,,,28.0
