page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/plastic-cat-balls-chaser-toys_c329_f7v17023,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,PLASTIC CAT BALLS & CHASER TOYS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Plastic Cat Balls & Chaser Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Plastic Cat Balls & Chaser Toys for your pet.",243,cat balls and chaser toys,Plastic Cat Balls & Chaser Toys,1,plastic-cat-balls-chaser-toys,True,True,False,False,True,False,False,False,26,356,2,,,,,,,3,3,,0,0,0,3,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/black-friday-deals-on-dog-toys_c2810_f164v829800,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,black friday deals on dog chew toys,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/bearded-dragon-feeding-tongs_c13998_f164v829798,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,BEARDED DRAGON FEEDING TONGS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Bearded Dragon Feeding Tongs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Bearded Dragon Feeding Tongs for your pet.",237,bearded dragon feeding tongs,Bearded Dragon Feeding Tongs,1,bearded-dragon-feeding-tongs,True,True,False,False,True,False,False,False,18,322,3,,,,,,,2,2,,0,0,0,2,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/cyber-monday-pet-beds_c2732_f164v203019,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,CYBER MONDAY PET BEDS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Cyber Monday Pet Beds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cyber Monday Pet Beds for your pet.",223,cyber week deals on cat beds and houses,Cyber Monday Pet Beds,1,cyber-monday-pet-beds,True,True,False,False,True,False,False,False,424,349,5,,,,,,,1,1,29.0,0,0,1,0,
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/plastic-cat-id-tags_c403_f7v17023,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,PLASTIC CAT ID TAGS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Plastic Cat ID Tags and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Plastic Cat ID Tags for your pet.",219,top rated cat leashes collars bowls and id tags by chewy,Plastic Cat ID Tags,1,plastic-cat-id-tags,True,True,False,False,True,False,False,False,17,336,3,,,,,,,1,1,16.0,0,1,0,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/frisco-cat-leashes-collars_c400_f1v396533,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,FRISCO CAT LEASHES & COLLARS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Frisco Cat Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Frisco Cat Leashes & Collars for your pet.",237,top rated cat leashes collars bowls and id tags by chewy,Frisco Cat Leashes & Collars,1,frisco-cat-leashes-collars,True,True,False,False,True,False,False,False,33,354,2,,,,,,,2,2,19.0,0,1,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/standard-cat-leashes-collars_c400_f59v84904,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,STANDARD CAT LEASHES & COLLARS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Standard Cat Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Standard Cat Leashes & Collars for your pet.",241,top rated cat leashes collars bowls and id tags by chewy,Standard Cat Leashes & Collars,1,standard-cat-leashes-collars,True,True,False,False,True,False,False,False,83,358,2,,,,,,,2,2,24.0,0,0,1,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/dog-training-treats-deals_c1550_f10101v90412,False,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,,,,,chewy exclusive dog training treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/natural-dog-training-treats_c1550_f3v716857,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,NATURAL DOG TRAINING TREATS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on Natural Dog Training Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Natural Dog Training Treats for your pet.",235,chewy exclusive dog training treats,Natural Dog Training Treats,1,natural-dog-training-treats,True,True,False,False,True,False,False,False,157,375,3,,,,,,,1,1,,0,0,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/cheese-flavored-training-dog-treats_c1550_f4v20053,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,CHEESE FLAVORED TRAINING DOG TREATS (Free Shipping) | Chewy,59,"Shop Chewy for the best deals on Cheese Flavored Training Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cheese Flavored Training Dog Treats for your pet.",251,chewy exclusive dog training treats,Cheese Flavored Training Dog Treats,1,cheese-flavored-training-dog-treats,True,True,False,False,True,False,False,False,96,358,3,,,,,,,1,1,,0,0,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/natural-dog-jerky-treats_c1546_f3v716857,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,NATURAL DOG JERKY TREATS (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Natural Dog Jerky Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Natural Dog Jerky Treats for your pet.",229,chewy exclusive jerky dog treats,Natural Dog Jerky Treats,1,natural-dog-jerky-treats,True,True,False,False,True,False,False,False,166,372,2,,,,,,,1,1,13.0,0,1,0,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/chicken-flavored-jerky-dog-treats_c1546_f4v19896,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,CHICKEN FLAVORED JERKY DOG TREATS (Free Shipping) | Chewy,57,"Shop Chewy for the best deals on Chicken Flavored Jerky Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Chicken Flavored Jerky Dog Treats for your pet.",247,chicken flavored jerky dog treats,Chicken Flavored Jerky Dog Treats,1,chicken-flavored-jerky-dog-treats,True,True,False,False,True,False,False,False,79,374,2,,,,,,,2,2,16.5,0,2,0,0,2.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/duck-flavored-jerky-dog-treats_c1546_f4v59630,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,DUCK JERKY DOG TREATS: DUCK JERKY TREATS FOR DOGS | CHEWY,57,"Discover duck jerky dog treats at Chewy, including duck jerky treats for dogs. Shop high-protein, chewy options from Blue Buffalo, Waggin’ Train & more.",152,duck jerky treats for dogs,Duck Jerky Dog Treats,1,duck-flavored-jerky-dog-treats,True,True,False,False,True,False,False,False,77,368,2,,,,,,,5,4,18.4,0,4,1,0,2.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/pet-pharmacy-medication-deals_c2515_f10101v90412,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,DEALS ON PET PHARMACY MEDICATION (Free Shipping) | Chewy,56,"Check out Chewy's best deals, promo codes & coupons on Pet Pharmacy Medication. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",186,chewy pharmacy pet medications,Deals on Pet Pharmacy Medication,1,pet-pharmacy-medication-deals,True,True,False,False,True,False,False,False,174,340,2,,,,,,,1,1,23.0,0,0,1,0,10.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/silver-dog-leashes-collars_c344_f51v257522,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,SILVER DOG LEASHES & COLLARS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Silver Dog Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Silver Dog Leashes & Collars for your pet.",237,silver dog leashes,Silver Dog Leashes & Collars,1,silver-dog-leashes-collars,True,True,False,False,True,False,False,False,956,388,2,,,,,,,2,2,17.5,0,1,1,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/medium-dog-leashes-collars_c344_f6v13791,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,MEDIUM DOG LEASHES & COLLARS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Medium Dog Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Medium Dog Leashes & Collars for your pet.",237,chewy dog collar,Medium Dog Leashes & Collars,1,medium-dog-leashes-collars,True,True,False,False,True,False,False,False,1045,404,2,,,,,,,2,2,24.0,0,0,1,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/gotags-dog-leashes-collars_c344_f1v107857,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,GOTAGS DOG LEASHES & COLLARS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Gotags Dog Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Gotags Dog Leashes & Collars for your pet.",237,gotags dog leashes collars,Gotags Dog Leashes & Collars,1,gotags-dog-leashes-collars,True,True,False,False,True,False,False,False,8,381,3,,,,,,,3,2,19.5,0,1,1,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/cyber-monday-pet-toys_c2732_f164v829800,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,CYBER MONDAY PET TOYS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Cyber Monday Pet Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cyber Monday Pet Toys for your pet.",223,chewy cyber monday deals,Cyber Monday Pet Toys,1,cyber-monday-pet-toys,True,True,False,False,True,False,False,False,424,349,5,,,,,,,2,2,21.5,0,1,1,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/duck-flavored-freeze-dried-dog-treats_c1547_f4v59630,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,DUCK FLAVORED FREEZE-DRIED DOG TREATS (Free Shipping) | Chewy,61,"Shop Chewy for the best deals on Duck Flavored Freeze-Dried Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Duck Flavored Freeze-Dried Dog Treats for your pet.",255,chewy exclusive freeze-dried and dehydrated dog treats,Duck Flavored Freeze-Dried Dog Treats,1,duck-flavored-freeze-dried-dog-treats,True,True,False,False,True,False,False,False,39,354,2,,,,,,,3,2,,0,0,0,3,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/rawhide-free-bones-bully-sticks_c1540_f3v34242,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"RAWHIDE FREE BONES, BULLY STICKS & NATURAL DOG CHEWS (Free Shipping) | Chewy",76,"Shop Chewy for the best deals on Rawhide Free Bones, Bully Sticks & Natural Dog Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Rawhide Free Bones, Bully Sticks & Natural Dog Chews for your pet.",285,chewy exclusive bones bully sticks and natural dog chews,"Rawhide Free Bones, Bully Sticks & Natural Dog Chews",1,rawhide-free-bones-bully-sticks,True,True,False,False,True,False,False,False,313,384,2,,,,,,,3,3,21.33,0,1,2,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/immune-support-biscuits-crunchy-dog_c1537_f50v63772,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,IMMUNE SUPPORT BISCUITS & CRUNCHY DOG TREATS (Free Shipping) | Chewy,68,"Shop Chewy for the best deals on Immune Support Biscuits & Crunchy Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Immune Support Biscuits & Crunchy Dog Treats for your pet.",269,chewy exclusive biscuits cookies and crunchy dog treats,Immune Support Biscuits & Crunchy Dog Treats,1,immune-support-biscuits-crunchy-dog,True,True,False,False,True,False,False,False,95,368,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/large-dog-dental-treats_c1539_f6v13792,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,LARGE DOG DENTAL TREATS (Free Shipping) | Chewy,47,"Shop Chewy for the best deals on Large Dog Dental Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Large Dog Dental Treats for your pet.",227,chewy exclusive dog dental treats,Large Dog Dental Treats,1,large-dog-dental-treats,True,True,False,False,True,False,False,False,66,365,2,,,,,,,2,2,23.5,0,0,2,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/small-dog-dental-treats_c1539_f6v13790,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,DENTAL TREATS FOR SMALL DOGS - FREE SHIPPING | CHEWY,52,"Keep teeth clean with the best dental treats for small dogs, designed for smaller mouths. Discover top picks from Greenies, Pedigree Dentastix & more.",150,chewy exclusive dog dental treats,Dental Treats for Small Dogs,1,small-dog-dental-treats,True,True,False,False,True,False,False,True,133,369,2,,,,,,,1,1,27.0,0,0,1,0,2.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/dog-dental-care-chews_c441_f83v20481,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,DOG DENTAL CARE CHEWS (Free Shipping) | Chewy,45,"Shop Chewy for the best deals on Dog Dental Care Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dog Dental Care Chews for your pet.",223,chewy exclusive dog dental treats,Dog Dental Care Chews,1,dog-dental-care-chews,True,True,False,False,True,False,False,False,77,359,3,,,,,,,1,1,,0,0,0,1,2.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/limited-ingredient-diet-soft-chewy_c1538_f3v9073,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,LIMITED INGREDIENT DIET SOFT & CHEWY DOG TREATS (Free Shipping) | Chewy,71,"Shop Chewy for the best deals on Limited Ingredient Diet Soft & Chewy Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Limited Ingredient Diet Soft & Chewy Dog Treats for your pet.",275,limited ingredient diet soft and chewy treats for dogs,Limited Ingredient Diet Soft & Chewy Dog Treats,1,limited-ingredient-diet-soft-chewy,True,True,False,False,True,False,False,False,168,381,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/large-dog-bones-bully-sticks-natural_c1540_f6v13792,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"DOG BONES, BULLY STICKS & NATURAL CHEWS FOR LARGE BREEDS (Free Shipping) | Chewy",80,"Shop Chewy for the best deals on Dog Bones, Bully Sticks & Natural Chews For Large Breeds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dog Bones, Bully Sticks & Natural Chews For Large Breeds for your pet.",293,chewy exclusive bones bully sticks and natural dog chews,"Dog Bones, Bully Sticks & Natural Chews For Large Breeds",1,large-dog-bones-bully-sticks-natural,True,True,False,False,True,False,False,False,312,385,2,,,,,,,1,1,23.0,0,0,1,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/organic-bones-bully-sticks-natural_c1540_f3v9078,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,"ORGANIC BONES, BULLY STICKS & NATURAL DOG CHEWS (Free Shipping) | Chewy",71,"Shop Chewy for the best deals on Organic Bones, Bully Sticks & Natural Dog Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Organic Bones, Bully Sticks & Natural Dog Chews for your pet.",275,organic bones bully sticks natural,"Organic Bones, Bully Sticks & Natural Dog Chews",1,organic-bones-bully-sticks-natural,True,True,False,False,True,False,False,False,285,367,2,,,,,,,2,2,17.5,0,1,1,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/beef-flavored-soft-chewy-dog-treats_c1538_f4v59627,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,BEEF FLAVORED SOFT CHEWY DOG TREATS (Free Shipping) | Chewy,59,"Shop Chewy for the best deals on Beef Flavored Soft Chewy Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Beef Flavored Soft Chewy Dog Treats for your pet.",251,beef flavored soft chewy dog treats,Beef Flavored Soft Chewy Dog Treats,1,beef-flavored-soft-chewy-dog-treats,True,True,False,False,True,False,False,False,113,382,2,,,,,,,1,1,19.0,0,1,0,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/faux-leather-dog-sofa-beds_c8729_f167v595103,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,FAUX LEATHER DOG SOFA BEDS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Faux Leather Dog Sofa Beds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Faux Leather Dog Sofa Beds for your pet.",233,faux leather dog beds,Faux Leather Dog Sofa Beds,1,faux-leather-dog-sofa-beds,True,True,False,False,True,False,False,False,19,333,3,,,,,,,2,2,,0,0,0,2,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/high-protein-veterinary-diet-dog-food_c459_f3v84890,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,HIGH PROTEIN VETERINARY DIET DOG FOOD (Free Shipping) | Chewy,61,"Shop Chewy for the best deals on High Protein Veterinary Diet Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High Protein Veterinary Diet Dog Food for your pet.",255,high protein veterinary diet dog food,High Protein Veterinary Diet Dog Food,1,high-protein-veterinary-diet-dog-food,True,True,False,False,True,False,False,False,35,346,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/yogurt-flavored-soft-chewy-dog-treats_c1538_f4v60650,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,YOGURT FLAVORED SOFT CHEWY DOG TREATS (Free Shipping) | Chewy,61,"Shop Chewy for the best deals on Yogurt flavored Soft Chewy Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Yogurt flavored Soft Chewy Dog Treats for your pet.",255,yogurt flavored soft chewy dog treats,Yogurt flavored Soft Chewy Dog Treats,1,yogurt-flavored-soft-chewy-dog-treats,True,True,False,False,True,False,False,False,103,355,2,,,,,,,1,1,16.0,0,1,0,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/lamb-flavored-cat-food_c387_f4v59632,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,LAMB FLAVORED CAT FOOD (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Lamb Flavored Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Lamb Flavored Cat Food for your pet.",225,lamb flavored dry cat food,Lamb Flavored Cat Food,1,lamb-flavored-cat-food,True,True,False,False,True,False,False,False,1041,413,2,,,,,,,2,2,27.0,0,0,2,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/vegan-dental-chews-dogs_c1539_f3v85021,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,VEGAN DENTAL CHEWS FOR DOGS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on Vegan Dental Chews for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Vegan Dental Chews for Dogs for your pet.",235,vegan dog dental chews,Vegan Dental Chews for Dogs,1,vegan-dental-chews-dogs,True,True,False,False,True,False,False,False,44,343,2,,,,,,,1,1,27.0,0,0,1,0,1.0
HVF,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/f/vegan-dog-dental-chews_c1463_f3v85021,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,VEGAN DOG DENTAL CHEWS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Vegan Dog Dental Chews and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Vegan Dog Dental Chews for your pet.",225,vegan dog dental chews,Vegan Dog Dental Chews,1,vegan-dog-dental-chews,True,True,False,False,True,False,False,False,53,343,3,,,,,,,1,1,,0,0,0,1,1.0
