page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dental-dog-treats-1539,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/flea-tick-381,True,Rewrite titles that are too short or too long while keeping the main topic clear.,78,Dog Flea & Tick: Best Flea Medicine Treatment for Dogs (Free Shipping) | Chewy,78,"Shop Chewy's wide selection of products and prepare yourself and your dog with the best in flea and tick treatments and products. We carry all the top products like Seresto 8 Month Collars and K9 Advantix Flea Treatments along with the best flea & tick sprays, collars, pills and wipes. *FREE* shipping on orders $49+ and the BEST customer service!",348,flea and tick treatment and medicine for dogs,Flea & Tick Treatment & Medicine for Dogs,1,flea-tick,True,True,False,False,True,False,False,True,327550,390,1,good,2123.0,good,0.02,,,51,49,9.59,22,18,1,10,259.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/vitamins-supplements-374,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,Best Dog Vitamins & Supplements - Low Prices (Free Shipping) | Chewy,68,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",348,dog vitamins and supplements,Dog Vitamins & Supplements,1,vitamins-supplements,True,True,False,False,True,False,False,True,327550,484,1,good,2159.0,good,0.015,,,48,44,10.67,27,9,6,6,48.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/heartworm-prevention-dewormers-for-dogs-2652,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Dog Dewormer: Medication for Sm to Large Dogs (Free Shipping) | Chewy,69,"Shop Chewy for low prices on dewormers for dogs. We carry a wide selection of prescription and non-prescription worm medicine for tapeworms, roundworms, hookworms, whipworms and more. *FREE* shipping on orders $49+ and the BEST customer service!",245,heartworm prevention and dewormers for dogs,Heartworm Prevention & Dewormers for Dogs,1,heartworm-prevention-dewormers-for-dogs,True,True,False,False,True,False,False,True,318253,359,1,good,1922.0,good,0.055,,,6,6,7.2,4,1,0,1,27.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/prescription-medicine-for-dogs-11561,True,Rewrite titles that are too short or too long while keeping the main topic clear.,74,Dog Medicine: Prescription Dog Pharmacy Medication (Ships Free) | Chewy RX,74,"Shop Chewy Pharmacy for the best prices on Prescription Dog Medication. We have top brands like Bravecto, Simparica Trio & Heartgard. FREE shipping on $49+ orders!",163,dog medicine,Prescription Medicine For Dogs,1,prescription-medicine-for-dogs,True,True,False,False,True,False,False,True,318253,415,1,good,2352.0,good,0.015,,,22,20,9.67,13,3,2,4,25.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-calming-aids-379,True,Rewrite titles that are too short or too long while keeping the main topic clear.,74,"Dog Stress, Anxiety & Calming Products: Low Prices (Free Shipping) | Chewy",74,"Shop Chewy for low prices and the best Calming Care & Anxiety! We carry a large selection and the top brands like Fluoxetine HCl Compounded, The Treat Shack, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",266,dog calming aids,Dog Calming Aids,1,dog-calming-aids,True,True,False,False,True,False,False,True,318253,373,1,good,2258.0,good,0.01,,,28,27,9.28,16,6,3,3,141.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-enclosures-and-barriers-364,True,Rewrite titles that are too short or too long while keeping the main topic clear.,75,"Dog Crates, Pens and Gates: Best Brands, Low Prices (Free Shipping) | Chewy",75,"Shop Chewy's extensive selection of indoor and outdoor dog crates, pens, gates, dog doors, accessories and more. We carry a wide variety of sizes for small dogs to extra large breeds. Whether you're in the kitchen cooking dinner or away at work, Chewy carries all the top brands. *FREE* shipping on orders $49+ and the BEST customer service.",341,best dog crates,"Dog Crates, Pens & Gates",1,dog-enclosures-and-barriers,True,True,False,False,True,False,False,True,318253,390,1,good,2182.0,good,0.03,,,42,42,3.22,33,3,0,6,37.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-beds-365,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,"Dog Beds & Bedding: Small to XL, Low Prices (Free Shipping) | Chewy",67,"Shop Chewy for the best, durable dog beds and mats! We carry a wide selection of large and small dog beds, heated beds, elevated beds, cooling beds and more. If you’re looking for the perfect bed for your pooch, you’ve come to the right place. *FAST and FREE* shipping on orders $49+ and the BEST customer service.",314,dog beds,Dog Beds,1,dog-beds,True,True,False,False,True,False,False,True,318253,428,1,good,2404.0,good,0.05333333333333333,,,62,59,8.16,37,18,0,7,105.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-technology-products-1897,True,Rewrite titles that are too short or too long while keeping the main topic clear.,66,"Dog Tech Products: Dog Cameras, GPS & More (Free Shipping) | Chewy",66,"Shop Chewy for low prices on dog tech products. We carry a wide selection of dog tech products like dog cameras and monitors, GPS and activity collars, electronic treat and food dispensers and electronic doors that are all designed to make owning your dog easy. *FREE* shipping on orders $49+ and the BEST customer service!",323,pet tech,Dog Technology Products,1,dog-technology-products,True,True,False,False,True,False,False,True,318253,365,1,good,2035.0,good,0.015,,,11,11,9.64,7,3,1,0,8.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-leashes-and-collars-344,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,"Dog Collars, Leashes & Harnesses: All Sizes (Free Shipping) | Chewy",67,"Find the perfect dog collar, leash, tie out or harness for your canine pal to suit their needs. From standard to training to reflective to no-pull harnesses and more, we have the right solution for your dog's needs at every day low prices. *FREE* shipping on orders $49+ and the BEST customer service!",301,dog collars,"Dog Collars, Leashes & Harnesses",1,dog-leashes-and-collars,True,True,False,False,True,False,False,False,318253,417,1,good,2259.0,good,0.035,,,49,46,10.64,22,18,4,5,29.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-feeding-supplies-and-accessories-338,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,"Dog Bowls, Food Storage, Fountains & Feeders (Free Shipping) | Chewy",68,"Shop Chewy for high quality products and low prices to make mealtime more special with the best in dog dishes, food storage supplies and pet water fountains. Check out top brands like Outward Hound, Drinkwell and more at Chewy.com *FREE* shipping on orders $49+ and the BEST customer service.",292,dog feeder,Dog Bowls & Feeders,1,dog-feeding-supplies-and-accessories,True,True,False,False,True,False,False,True,318253,403,1,good,1857.0,good,0.03,,,29,29,9.55,12,7,1,9,45.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/clothing-accessories-1470,True,Rewrite titles that are too short or too long while keeping the main topic clear.,66,"Dog Clothes - Dog Outfits, Costumes & More (Free Shipping) | Chewy",66,"Shop Chewy for a wide variety of dog clothing including shirts, jerseys, boots, bandanas and other dog accessories. From quality PJs to durable costumes, your pup will be looking its best on every occasion. FREE shipping on orders $49+ and the BEST customer service!",266,dog clothes,Dog Clothes,1,clothing-accessories,True,True,False,False,True,False,False,True,327550,509,1,good,2319.0,good,0.04,,,32,32,13.17,10,16,4,2,52.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-travel-accessories-and-gear-371,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,Dog Travel Accessories & Carriers: Car & Air (Free Shipping) | Chewy,68,"Shop Chewy for the best dog travel and car carriers! From a car trip down the street to flying overseas, make your pup's travel experience a positive one by being prepared with travel accessories. Check out top brands of dog carriers, bowls, stairs, calming chews and other travel accessories at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service.",368,dog travel accessories,Dog Carriers & Travel Accessories,1,dog-travel-accessories-and-gear,True,True,False,False,True,False,False,True,318253,386,1,good,2312.0,good,0.02,,,32,32,7.61,18,8,2,4,18.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-training-supplies-and-tools-1449,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Dog Training & Behavior Products - Low Prices (Free Shipping) | Chewy,69,"Shop Chewy for a low prices and a wide selection of dog training and behavior products like calming aids, training books, GPA tracking, training leashes, collars, potty training aids and more. *FREE* shipping on orders $49+ and the BEST customer service!",254,dog training tools,Dog Training Tools & Supplies,1,dog-training-supplies-and-tools,True,True,False,False,True,False,False,True,318253,371,1,good,2016.0,good,0.035,,,21,20,10.48,12,6,3,0,6.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-fetch-toys-317,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Best Dog Fetch Toys: Ball, Disc, Stick & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best dog fetch toys! We carry a large selection of dog balls, discs, flyers, sticks, ball launcher toys & more. You'll be playing catch with your pup so much, you just might be the next pick for the major leagues! *FREE* shipping on orders $49+ and the BEST customer service.",309,fetch toys for dogs,Fetch Toys for Dogs,1,dog-fetch-toys,True,True,False,False,True,False,False,True,318253,369,1,good,1766.0,needs,0.19,,,21,20,9.21,9,4,1,7,6.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-rope-and-tug-toys-321,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,"Dog Rope & Tug Toys: Top Brands, Low Prices (Free Shipping) | Chewy",67,"Shop Chewy for the best rope & tug toys! Chewy has a large selection of the best rope toys, squeakers, crinkle toys, durable tug toys and more, You can find everything you need to tug and play with your cuddly canine to tame that urge to chew up your shoes and furniture. *FREE* shipping on orders $49+ and the BEST customer service!",333,dog rope toys,Dog Rope & Tug Toys,1,dog-rope-and-tug-toys,True,True,False,False,True,False,False,True,318253,378,1,good,1661.0,needs,0.18,,,36,36,6.97,21,11,1,3,26.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-potty-cleaning-and-training-supplies-351,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,"Best Dog Potty Training, Cleaning & Products (Free Shipping) | Chewy",68,"Shop Chewy for low prices and the best dog cleaning products and dog potty products! Whether it's a new puppy, an excitable adolescent, or a senior with incontinence, you'll be prepared shopping from our wide variety of dog cleaning and potty products. *FREE* shipping on orders $49+ and the BEST customer service.",314,best large breed puppy potty and cleaning supplies,Dog Cleaning & Potty Supplies,1,dog-potty-cleaning-and-training-supplies,True,True,False,False,True,False,False,True,318253,376,1,,,,,,,9,9,8.0,7,2,0,0,1.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-stain-remover-353,True,Rewrite titles that are too short or too long while keeping the main topic clear.,70,"Dog Stain Removers: Urine, Vomit, Odor Remover (Free Shipping) | Chewy",70,"Shop Chewy for low prices on dog stain removers. We carry a wide selection of sprays, soaks, laundry boosts, shampoos and more to remove stains and cover odors left behind by your furry friend. *FREE* shipping on orders $49+ and the BEST customer service!",255,pet stain removers,Dog Stain Removers,1,dog-stain-remover,True,True,False,False,True,False,False,True,318253,356,1,good,1619.0,good,0.08,,,11,11,13.25,3,3,2,3,17.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/vacuums-steam-cleaners-1985,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,Best Dog Vacuums & Steam Cleaners: Low Price (Free Shipping) | Chewy,68,"Shop Chewy for the best dog vacuums and steam cleaners. Say goodbye to unsightly pet messes and hello to a pristine home. From hand vacs to steam cleaners, we have everything you need to eliminate every bit of fur and tough stains imaginable. *FREE* shipping on orders $49+ and the BEST customer service.",304,dog vacuums and steam cleaners,Vacuum Cleaners,1,vacuums-steam-cleaners,True,True,False,False,True,False,False,False,318253,368,1,good,1724.0,good,0.015,,,4,3,2.67,3,0,0,1,2.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-brush-356,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Dog Brushes, Combs, De-shed & Grooming Gloves (Free Shipping) | Chewy",69,"Shop Chewy's wide selection of the best dog brushes, grooming gloves and dog combs to keep your pup's fur pretty and free of stray shedding hairs. Brushing your dog is a necessary grooming regimen that creates a wonderful bonding experience. Low prices and *FREE* shipping on orders $49+ and the BEST customer service!",318,dog brush,Dog Brushes & Combs,1,dog-brush,True,True,False,False,True,False,False,True,318253,366,1,good,1692.0,needs,0.13,,,204,198,10.25,109,65,16,14,169.0
Browse,Meta,Page title length is not ideal,https://www.chewy.com/b/dog-shampoo-and-conditioner-358,True,Rewrite titles that are too short or too long while keeping the main topic clear.,70,Best Dog Shampoos and Conditioners: Low Prices (Free Shipping) | Chewy,70,"Shop Chewy's wide selection of the best dog shampoos and dog conditioners. You'll find everything you need to fit your dog's fur needs like sensitive skin, shedding control, anti-fungal and itch relief shampoos and conditioners. *FAST and FREE* shipping on orders $49+ and the BEST customer service!",299,dog shampoos & conditioners,Dog Shampoos & Conditioners,1,dog-shampoo-and-conditioner,True,True,False,False,True,False,False,True,318253,371,1,good,1704.0,good,0.07500000000000001,,,10,10,11.0,2,3,0,5,38.0
