page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/black-friday-cat-collars-accessories-13445,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,black friday deals on collars and accessories for cats,,,,,,,,,,,,,,,,,,,,,3,2,6.0,1,1,0,1,
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/mouse-carriers-10993,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Mouse Carriers | Chewy,22,"Shop Chewy for low prices and the best Carriers products! We carry a large selection and the top brands like jansno, A&E Cage Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,mouse carriers,Mouse Carriers,1,mouse-carriers,True,True,False,False,True,False,False,True,18,333,3,,,,,,,4,4,4.75,3,1,0,0,1.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/hedgehog-beds-11076,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Hedgehog Beds | Chewy,21,"Shop Chewy for low prices and the best Beds & Hideouts! We carry a large selection and the top brands like NonoPets, Kaytee, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,hedgehog beds,Hedgehog Beds & Hideouts,1,hedgehog-beds,True,True,False,False,True,False,False,True,29,351,3,,,,,,,6,5,4.0,5,1,0,0,2.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/treats-391,True,Push near-page-one terms with title/H1/meta/linking improvements.,11,"Best Cat Treats - Lickable, Soft, Crunchy & More | Chewy",56,"Explore Cat Treats on Chewy with crunchy, soft, freeze dried and lickable options for every feline. Discover healthy, natural cat treats and more from top brands like Temptations, INABA Churu, Greenies & more.",209,cat treats,Cat Treats,1,treats,True,True,False,False,True,False,False,True,327550,415,1,good,2041.0,needs,0.12000000000000001,,,41,38,11.76,16,11,6,8,44.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/soft-cat-treats-1553,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"Soft Cat Treats: Chewy & Tasty, Top Brands (Free Shipping) | Chewy",66,"Shop Chewy for low prices and the best soft cat treats! If you have a cat with sensitive teeth, soft and chewy treats are a scrumptious option to keep them happy. We carry the top-rated soft treats from gluten-free to grain-free to sensitive digestion, high protein and more. *FREE* shipping on orders $49+ and the BEST customer service!",337,soft cat treats,Soft Cat Treats,1,soft-cat-treats,True,True,False,False,True,False,False,True,318253,357,1,good,1734.0,needs,0.225,,,13,13,8.69,9,1,3,0,8.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/lickable-cat-treats-2275,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Lickable Cat Treats - Creamy Lickable Cat Tube Treats | Chewy,61,"Shop Chewy for Lickable Cat Treats, including cat treats in a tube for rewarding, bonding and adding flavor to meals. Find top options from INABA, Temptations & more.",166,lickable cat treats,Lickable Cat Treats,1,lickable-cat-treats,True,True,False,False,True,False,False,True,318253,357,1,good,1871.0,poor,0.26,,,19,19,6.24,15,2,0,2,48.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/food-387,True,Push near-page-one terms with title/H1/meta/linking improvements.,29,Cat Food: Best Cat Food from Top Brands on Chewy,48,"Shop Chewy Cat Food and discover the best cat food brands like Hills Science Diet, Royal Canin, Orijen, Tiki Cat and more. Get free shipping today on orders $49+!",162,cat food,Cat Food,1,food,True,True,False,False,True,False,False,True,327550,449,1,needs,2685.0,good,0.01,,,240,231,8.03,109,29,10,92,153.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/vet-diet-cat-treats-1556,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,Prescription Cat Treats: Vet Recommended (Free Shipping) | Chewy,64,"Shop Chewy for low prices on prescription cat treats. We carry a wide selection of prescription cat treats from top brands like Royal Canin, Hill's Prescription Diet and more to help with weight control, sensitive stomach and more. *FREE* shipping on orders $49+ and the BEST customer service!",293,veterinary diet cat treats on sale,Veterinary Diet Cat Treats,1,vet-diet-cat-treats,True,True,False,False,True,False,False,False,200,338,2,good,1538.0,good,0.04,,,13,12,12.6,5,2,3,3,8.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/cat-food-toppers-392,True,Push near-page-one terms with title/H1/meta/linking improvements.,8,"Cat Food Toppings: Broth, Shredded & More (Free Shipping) | Chewy",65,Shop Chewy for low prices and the best cat food toppings! Cat food toppings add an enticing component to any meal while also boosting the amount of protein you put in your pet's bowl. It's a win-win! Plenty of mixers with different flavors & textures to choose from at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!,341,cat food toppers,Cat Food Toppers,1,cat-food-toppers,True,True,False,False,True,False,False,True,318253,358,1,good,1751.0,needs,0.20500000000000002,,,38,37,7.65,23,8,0,7,12.0
Browse,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/b/pet-tech-dna-tests-16160,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,cyber week deals on dog technology,,,,,,,,,,,,,,,,,,,,,4,4,17.0,0,1,0,3,
