page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Duplicate page title,https://www.chewy.com/b/food-332,True,Make titles unique at the page/template level.,Dog Food: Best Dog Food Brands - Free Shipping | Chewy,Dog Food: Best Dog Food Brands - Free Shipping | Chewy,54,"Shop Chewy Dog Food and discover dry, wet & fresh dog food recipes tailored to every pup’s needs. Dog food delivery to your door, Autoship savings and free shipping on $49+!",173,dog food,Dog Food,1,food,True,True,False,False,True,False,False,True,327550,465,1,needs,2603.0,good,0.006666666666666667,,,119,111,9.67,57,20,10,32,33.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/dry-food-294,True,Make titles unique at the page/template level.,"Dry Dog Food - Healthy, High Quality Dog Food from Top Brands","Dry Dog Food - Healthy, High Quality Dog Food from Top Brands",61,"Discover the best dry dog food from top brands like Purina, Blue Buffalo, Hills Science Diet and more. We offer grain-free, organic & sensitive skin and stomach options. FREE shipping $49+!",189,dry dog food,Dry Dog Food,1,dry-food,True,True,False,False,True,False,False,True,327548,415,1,good,2147.0,needs,0.2,,,223,222,5.4,171,18,3,31,374.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/wet-food-293,True,Make titles unique at the page/template level.,"Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy","Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy",60,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!",156,wet dog food,Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,True,327548,416,1,good,2156.0,needs,0.22333333333333336,,,125,123,6.76,97,14,5,9,106.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/puppy-food-2284,True,Make titles unique at the page/template level.,Puppy Food - Best Puppy Food Brands and Deals | Chewy,Puppy Food - Best Puppy Food Brands and Deals | Chewy,53,"Discover Puppy Food at Chewy from top brands like Blue Buffalo, Diamond, Purine One and more. Shop large breed, small breed, and breed specific recipes in one place.",165,puppy food,Puppy Food,1,puppy-food,True,True,False,False,True,False,False,True,318253,378,1,good,1849.0,good,0.05,,,28,28,8.95,14,3,4,7,106.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/treats-335,True,Make titles unique at the page/template level.,Dog Treats - Healthy Dog Treats from Top Brands | Chewy,Dog Treats - Healthy Dog Treats from Top Brands | Chewy,55,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",171,dog treats,Dog Treats,1,treats,True,True,False,False,True,False,False,True,327550,447,1,good,2428.0,good,0.03333333333333333,,,104,98,7.16,71,16,6,11,201.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/bones-bully-sticks-chews-1540,True,Make titles unique at the page/template level.,"Dog Chew Bones, Bully Sticks & Natural Chews | Chewy","Dog Chew Bones, Bully Sticks & Natural Chews | Chewy",52,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",204,best dog bones for dogs,"Dog Bones, Bully Sticks & Chews",1,bones-bully-sticks-chews,True,True,False,False,True,False,False,True,318253,399,1,good,1768.0,good,0.06,,,40,38,9.45,21,9,3,7,42.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/soft-dog-treats-1538,True,Make titles unique at the page/template level.,Soft Dog Treats: Chewy & Tasty (Free Shipping) | Chewy,Soft Dog Treats: Chewy & Tasty (Free Shipping) | Chewy,54,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Blue Buffalo, Bocce's Bakery, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,soft dog treats,Soft Dog Treats,1,soft-dog-treats,True,True,False,False,True,False,False,True,318253,387,1,good,1880.0,poor,0.35000000000000003,,,46,44,4.95,33,5,0,8,17.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/dental-dog-treats-1539,True,Make titles unique at the page/template level.,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy","Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/dog-cookies-and-biscuits-1537,True,Make titles unique at the page/template level.,"Dog Biscuits, Cookies & Crunchy Treats (Free Shipping) | Chewy","Dog Biscuits, Cookies & Crunchy Treats (Free Shipping) | Chewy",62,"Shop Chewy for low prices and the best dog biscuits & crunchy dog treats! Dog biscuits are a great way to reward your pup and add some variation to their diet. We've got healthy crunchy treats, gluten-free, grain-free, no soy —the list goes on! *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG BISCUITS at Chewy.com.",346,chewy dog biscuits,"Biscuits, Cookies & Crunchy Treats",1,dog-cookies-and-biscuits,True,True,False,False,True,False,False,True,318253,400,1,good,1743.0,poor,0.41,,,33,30,8.26,18,4,5,6,18.0
Browse,Meta,Duplicate page title,https://www.chewy.com/b/long-lasting-dog-chews-9938,True,Make titles unique at the page/template level.,Long Lasting Dog Chews - Free Shipping | Chewy,Long Lasting Dog Chews - Free Shipping | Chewy,46,Shop Chewy for low prices and the best Long Lasting Dog Chews! Find everything you need in one place. FREE shipping on orders $49+ and top tier customer service!,161,long lasting dog chews,Long Lasting Dog Chews,1,long-lasting-dog-chews,True,True,False,False,True,False,False,True,318253,361,1,good,1771.0,poor,0.37500000000000006,,,29,28,11.36,16,6,3,4,49.0
