page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,H1,H1 is too generic,https://www.chewy.com/brands/chewy-made-170606,True,Make the H1 more descriptive of the page intent.,Chewy Made,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/hills-6874,True,Make the H1 more descriptive of the page intent.,Hill's,Hill's - Free shipping | Chewy,30,"Shop Chewy for low prices and the best Hill's products! We carry a large selection and the top brands like Hill's Science Diet, Hill's Prescription Diet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",262,hill's,Hill's,1,hills,True,True,False,False,True,False,False,True,318238,346,1,good,1777.0,good,0.01,,,7,7,14.0,1,1,0,5,16.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/nutrena-121270,True,Make the H1 more descriptive of the page intent.,Nutrena,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,True,True,False,False,True,False,False,False,318238,346,1,,,,,,,2,2,15.0,1,0,1,0,1.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/inaba-6930,True,Make the H1 more descriptive of the page intent.,Inaba,Inaba - Free shipping | Chewy,29,Shop Chewy for low prices and the best Inaba products! We carry a large selection and the top brands like Inaba and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,220,inaba,Inaba,1,inaba,True,True,False,False,True,False,False,False,570,345,2,good,1457.0,needs,0.15999999999999998,,,5,4,6.0,5,0,0,0,7.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/treats-135734,True,Make the H1 more descriptive of the page intent.,Treats,Treats - Free shipping | Chewy,30,Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Treats,1,treats,True,True,False,False,True,False,False,False,45,307,2,,,,,,,,,,,,,,1.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/nutramax-7125,True,Make the H1 more descriptive of the page intent.,Nutramax,Nutramax Laboratories | Chewy,29,"Shop Chewy for low prices on Nutramax Laboratories pet health products. We carry a wide selection of Nutramax Lab products including Dasuquin, Cosequin, Crananidin, Denamarin, Denosyl, Proviable and more. FREE shipping on orders $49+ and the BEST customer service!",264,nutramax,Nutramax,1,nutramax,True,True,False,False,True,False,False,False,163,356,2,good,1640.0,good,0.075,,,3,3,6.5,2,0,0,1,2.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/nutrena-121270,True,Make the H1 more descriptive of the page intent.,Nutrena,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,False,False,False,False,True,False,False,False,1,346,2,,,,,,,2,2,15.0,1,0,1,0,
Brand,H1,H1 is too generic,https://www.chewy.com/brands/vets-best-7672,True,Make the H1 more descriptive of the page intent.,Vet's Best,Vet's Best - Free shipping | Chewy,34,"Shop Chewy for low prices and the best Vet's Best! We carry a large selection and the top brands like Vet's Best, K9 Advantix II, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,vet's best,Vet's Best,1,vets-best,True,True,False,False,True,False,False,False,153,341,2,,,,,,,1,1,19.0,0,1,0,0,1.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/kong-6981,True,Make the H1 more descriptive of the page intent.,KONG,KONG: Dog & Cat Toys (Free Shipping) | Chewy,44,"Shop Chewy for low prices on Kong Dog and Cat Toys. We carry a wide selection of Kong Dog and Cat Toys including classic rubber toys, plush toys, treat dispensing toys, fetch toys, tough dog toys and much more. FREE shipping on orders $49+ and the BEST customer service!",270,kong,KONG,1,kong,True,True,False,False,True,False,False,False,697,370,2,good,1639.0,needs,0.13,,,13,13,12.36,2,9,0,2,14.0
Brand,H1,H1 is too generic,https://www.chewy.com/brands/dreambone-8127,True,Make the H1 more descriptive of the page intent.,DreamBone,DreamBone - Free shipping | Chewy,33,Shop Chewy for low prices and the best DreamBone products! We carry a large selection and the top brands like DreamBone and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,dreambone dog treats,DreamBone,1,dreambone,True,True,False,False,True,False,False,False,298,340,2,,,,,,,2,1,8.5,2,0,0,0,1.0
