page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/chewy-egift-card/dp/226306,True,Use this cohort to prioritize pages with the largest reachable audience gap.,19.0,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/frisco-summer-coastal-crab-fetch/dp/2122958,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"FRISCO Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium - Chewy.com",78,"Buy Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium at Chewy.com. FREE shipping and the BEST customer service!",129,,"Frisco Coastal Clownfish Fetch Squeaky Tennis Ball Dog Toy, Medium",1,frisco-summer-coastal-crab-fetch,True,True,False,False,True,True,True,True,111,318,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/chuckit-ultra-rubber-ball-tough-dog/dp/38371,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"CHUCKIT! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack - Chewy.com",68,"Buy Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack at Chewy.com. FREE shipping and the BEST customer service!",119,,"Chuckit! Ultra Rubber Ball Tough Dog Toy, Medium, 2 pack",1,chuckit-ultra-rubber-ball-tough-dog,True,True,False,False,True,True,True,True,630,330,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/canada-pooch-cooling-20-dog-snood/dp/1467878,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"CANADA POOCH Cooling 2.0 Dog Snood, Grey, Large - Chewy.com",59,"Buy Canada Pooch Cooling 2.0 Dog Snood, Grey, Large at Chewy.com. FREE shipping and the BEST customer service!",110,,"Canada Pooch Cooling 2.0 Dog Snood, Grey, Large",1,canada-pooch-cooling-20-dog-snood,True,True,False,False,True,True,True,True,17,311,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/lucy-co-tinned-fish-step-in-cat/dp/3827782,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"LUCY & CO. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest - Chewy.com",82,"Buy Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest at Chewy.com. FREE shipping and the BEST customer service!",133,,"Lucy & Co. Tinned Fish Step-in Cat Harness, Large: 18 to 20.5-in chest",1,lucy-co-tinned-fish-step-in-cat,True,True,False,False,True,True,True,True,32,324,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/kong-squeakair-balls-packs-dog-toy/dp/177318,True,Use this cohort to prioritize pages with the largest reachable audience gap.,8.0,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count - Chewy.com",63,"Buy KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count at Chewy.com. FREE shipping and the BEST customer service!",114,,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count",1,kong-squeakair-balls-packs-dog-toy,True,True,False,False,True,True,True,True,85,318,1,good,2177.0,needs,0.12,,,,,,,,,,8.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/ruffwear-hitch-hiker-polyester/dp/3975342,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"RUFFWEAR Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime - Chewy.com",112,"Buy Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime at Chewy.com. FREE shipping and the BEST customer service!",163,,"Ruffwear Hitch Hiker Polyester Reflective Retractable Dog Leash, 12-ft long, 1/4-in wide, Sunny Lime",1,ruffwear-hitch-hiker-polyester,True,True,False,False,True,True,True,True,7,314,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/frisco-summer-coastal-shark-bubble/dp/2123230,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,FRISCO Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip - Chewy.com,95,Buy Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip at Chewy.com. FREE shipping and the BEST customer service!,146,,Frisco Coastal Shark Bubble Sound Electronic Plush Cat Toy with Silvervine & Catnip,1,frisco-summer-coastal-shark-bubble,True,True,False,False,True,True,True,True,107,317,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/worthy-dog-rubber-duck-dog-dress-blue/dp/1573622,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,"THE WORTHY DOG Rubber Duck Dog Dress, Blue, Large - Chewy.com",61,"Buy The Worthy Dog Rubber Duck Dog Dress, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",112,,"The Worthy Dog Rubber Duck Dog Dress, Blue, Large",1,worthy-dog-rubber-duck-dog-dress-blue,True,True,False,False,True,True,True,False,6,315,1,,,,,,,,,,,,,,1.0
PDP,Ranking Potential,Botify audience-keyword potential present,https://www.chewy.com/frisco-summer-coastal-lobster/dp/2123166,True,Use this cohort to prioritize pages with the largest reachable audience gap.,1.0,FRISCO Coastal Lobster Restaurant Cardboard Cat House with Catnip - Chewy.com,77,Buy Frisco Coastal Lobster Restaurant Cardboard Cat House with Catnip at Chewy.com. FREE shipping and the BEST customer service!,128,,Frisco Coastal Lobster Restaurant Cardboard Cat House with Catnip,1,frisco-summer-coastal-lobster,True,True,False,False,True,True,True,True,47,319,1,good,1871.0,good,0.0,,,,,,,,,,1.0
