page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/dental-dog-treats-1539,True,Align sitemap inclusion to the intended index state.,,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/dog-9956,True,Align sitemap inclusion to the intended index state.,,Supplies for New Dogs - Free shipping | Chewy,45,"Shop Chewy for low prices and the best Dog products! We carry a large selection and the top brands like Buckle-Down, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,,Supplies for New Dogs,1,dog,,False,False,False,True,False,False,False,318238,367,1,,,,,,,,,,,,,,1.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/dental-treats-12803,True,Align sitemap inclusion to the intended index state.,,Cat Dental Treats - Free Shipping | Chewy,41,"Shop Chewy for low prices and the best Dental Treats! We carry a large selection and the top brands like Emerald Pet, Earth Animal, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Dental Treats,1,dental-treats,False,False,False,False,True,False,False,False,318253,350,1,,,,,,,,,,,,,,1.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/bird-perches-968,True,Align sitemap inclusion to the intended index state.,,Bird Perches | Chewy,20,"Shop Chewy for low prices on the best perches and swings for your pet bird. Chewy has a wide selection of perches and swings for small to large birds made of wood, plastic, rope, steel & more that your pet bird will love. *FREE* shipping on orders $49+ and the BEST customer service!",283,,Bird Perches,1,bird-perches,False,False,False,False,True,False,False,True,318253,359,1,,,,,,,,,,,,,,2.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/pharmacy-15697,True,Align sitemap inclusion to the intended index state.,,Chewy Pet Pharmacy: Prescription Pet Meds & Supplies,52,Shop Chewy for low prices and the best products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,chewy pharmacy phone number,It’s easy to get started with Chewy Pharmacy Order in three simple steps The pharmacy you can count on We have all the brands you trust,4,pharmacy,False,False,False,False,True,False,False,False,318253,313,1,good,2423.0,good,0.005,,,119,110,12.06,36,58,11,14,123.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/learn-about-compounding-169822,True,Align sitemap inclusion to the intended index state.,,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy - Free shipping | Chewy",87,Shop Chewy for low prices and the best Learn About Compounding! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,where does chewy pharmacy source its prescription items?,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy",1,learn-about-compounding,True,False,False,False,True,False,False,False,318253,305,1,,,,,,,39,36,8.61,25,10,3,1,21.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/new-arrivals-14264,True,Align sitemap inclusion to the intended index state.,,New Arrivals - Free shipping | Chewy,36,"Shop Chewy for low prices and the best New Arrivals! We carry a large selection and the top brands like Kseroo, Parisian Pet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,,New Arrivals,1,new-arrivals,,False,False,False,True,False,False,False,318253,347,1,,,,,,,,,,,,,,
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/flea-tick-1866,True,Align sitemap inclusion to the intended index state.,,"Flea, Tick, and Heartworm Medication for Pets - Free shipping | Chewy",69,"Shop Chewy for low prices and the best Flea & Tick! We carry a large selection and the top brands like Credelio, Interceptor Plus, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,,"Flea, Tick, and Heartworm Medication for Pets",1,flea-tick,,False,False,False,True,False,False,False,318238,362,1,,,,,,,,,,,,,,
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/summer-shop-2338,True,Align sitemap inclusion to the intended index state.,,Summer Shop - Free shipping | Chewy,35,Shop Chewy for low prices and the best Summer Shop! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,,Summer Shop,1,summer-shop,True,False,False,False,True,False,False,False,203,334,1,good,1782.0,good,0.0,,,,,,,,,,4.0
Browse,Index,Sitemap/index-state mismatch,https://www.chewy.com/b/new-pet-9955,True,Align sitemap inclusion to the intended index state.,,New Pet Shop - Free shipping | Chewy,36,"Shop Chewy for low prices and the best New Pet! We carry a large selection and the top brands like Buckle-Down, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,New Pet Shop,1,new-pet,,False,False,False,True,False,False,False,11008,380,2,,,,,,,,,,,,,,
