page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/dog-deals-2733,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/cat-deals-2735,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Cat Supplies On Sale: Discount Cat Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on cat supplies. Find great deals and see what cat supplies are on sale like cat litter, cat food, cat treats, cat toys, cat trees and more. FREE shipping on orders $49+ and the BEST customer service!",231,deals on cat supplies,Cat Deals,1,cat-deals,True,True,False,False,True,False,False,False,318238,367,1,good,2141.0,good,0.015,,,35,34,10.22,14,13,0,8,18.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/50-off-your-first-autoship-order-3448422,True,Rewrite titles that are too short or too long while keeping the main topic clear.,84,50% off your first Autoship order of prescription medication - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of prescription medication! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",306,chewy autoship promo code,50% off your first Autoship order of prescription medication,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,48,351,1,good,1814.0,good,0.085,,,1,1,,0,0,0,1,21.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/free-20-egift-card-your-75-order-4330014,True,Rewrite titles that are too short or too long while keeping the main topic clear.,83,Free $20 eGift card with your $75 order of Purina favorites - Free shipping | Chewy,83,"Shop Chewy for low prices and the best Free $20 eGift card with your $75 order of Purina favorites! We carry a large selection and the top brands like Merrick, Fancy Feast, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",281,,Free $20 eGift card with your $75 order of Purina favorites,1,free-20-egift-card-your-75-order,True,True,False,False,True,False,False,False,196,348,1,good,2482.0,good,0.025,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/fish-deals-2736,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Fish Supplies On Sale: Discount Fish Supplies - Free Shipping | Chewy,69,"Shop Chewy for low sale prices on fish tank and aquarium supplies. Find great deals and see what fish tank and aquarium supplies are on sale like fish food, cleaning supplies, filters, fish tank kits and more. FREE shipping on orders $49+ and the BEST customer service!",269,,Fish Deals,1,fish-deals,,False,False,False,True,False,False,False,756,364,2,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/horse-deals-2740,True,Rewrite titles that are too short or too long while keeping the main topic clear.,71,Horse Supplies On Sale: Discount Horse Supplies - Free Shipping | Chewy,71,"Shop Chewy for low sale prices on horse supplies. Find great deals and see what horse supplies are on sale like horse feed, horse treats, grooming supplies, saddle pads, horse supplements and more. FREE shipping on orders $49+ and the BEST customer service!",257,,Horse Deals,1,horse-deals,,False,False,False,True,False,False,False,721,366,2,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/reptile-amphibian-deals-2739,True,Rewrite titles that are too short or too long while keeping the main topic clear.,71,Reptile Supplies On Sale: Discount Reptile Supplies - Free Ship | Chewy,71,"Shop Chewy for low sale prices on reptile supplies. Find great deals and see what reptile supplies are on sale like reptile food, terrarium kits, treats, substrate, lighting accessories and more. FREE shipping on orders $49+ and the BEST customer service!",255,,Reptile Deals,1,reptile-amphibian-deals,,False,False,False,True,False,False,False,895,357,2,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/treats-4330070,True,Rewrite titles that are too short or too long while keeping the main topic clear.,71,Best Cat Treats & Snacks: Soft & Crunchy Treats (Free Shipping) | Chewy,71,"Shop Chewy for low prices and the best selection of cat treats! We carry a wide variety of delicious treats for your kitty from crunchy to soft to prescription to squeezable to catnip and more from top brands such as Temptations, Greenies, and Royal Canin. *FREE* shipping on orders $49+ and the BEST customer service!",318,,Cat Treats,1,treats,True,True,False,False,True,False,False,True,15,348,3,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/health-pharmacy-4330078,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Purina ONE, DentaLife, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,15,342,3,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/50-off-your-first-autoship-order-4320270,True,Rewrite titles that are too short or too long while keeping the main topic clear.,84,50% off your first Autoship order of select allergy products - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of select allergy products! We carry a large selection and the top brands like Apoquel, Hydroxyzine, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",282,,50% off your first Autoship order of select allergy products,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,17,350,3,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/freeze-dried-dehydrated-food-106532,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Deals on Freeze-Dried & Dehydrated Cat Food - Free shipping | Chewy,67,"Shop Chewy for low prices and the best Freeze-Dried & Dehydrated Food! We carry a large selection and the top brands like Instinct, PET-EVER Purefeast, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",260,,Deals on Freeze-Dried & Dehydrated Cat Food,1,freeze-dried-dehydrated-food,,False,False,False,True,False,False,False,17,314,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/habitats-starter-kits-accessories-156430,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Small Animal Enclosures & Habitat Accessories - Free shipping | Chewy,69,"Shop Chewy for low prices and the best Habitats, Starter Kits & Accessories! We carry a large selection and the top brands like PawHut, Aivituvin, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",255,,Small Animal Enclosures & Habitat Accessories,1,habitats-starter-kits-accessories,True,True,False,False,True,False,False,False,50,345,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/decor-accessories-156326,True,Rewrite titles that are too short or too long while keeping the main topic clear.,73,Reptile & Amphibian Terrarium Decor & Accessories - Free shipping | Chewy,73,"Shop Chewy for low prices and the best Décor & Accessories! We carry a large selection and the top brands like Zoo Med, Komodo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,reptile and amphibian terrarium decor and accessories,Reptile & Amphibian Terrarium Decor & Accessories,1,decor-accessories,True,True,False,False,True,False,False,False,19,342,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/biscuits-cookies-crunchy-treats-115086,True,Rewrite titles that are too short or too long while keeping the main topic clear.,71,"Deals on Dog Biscuits, Cookies & Crunchy Treats - Free shipping | Chewy",71,"Shop Chewy for low prices and the best Biscuits, Cookies & Crunchy Treats! We carry a large selection and the top brands like Blue Buffalo, Wufers, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",256,,"Deals on Dog Biscuits, Cookies & Crunchy Treats",1,biscuits-cookies-crunchy-treats,,False,False,False,True,False,False,False,37,342,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/bones-bully-sticks-natural-chews-115094,True,Rewrite titles that are too short or too long while keeping the main topic clear.,72,"Deals on Dog Bones, Bully Sticks & Natural Chews - Free shipping | Chewy",72,"Shop Chewy for low prices and the best Bones, Bully Sticks & Natural Chews! We carry a large selection and the top brands like Canine's Choice, HDP, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,,"Deals on Dog Bones, Bully Sticks & Natural Chews",1,bones-bully-sticks-natural-chews,,False,False,False,True,False,False,False,50,345,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-115118,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Deals on Dog Freeze-Dried & Dehydrated Treats - Free shipping | Chewy,69,"Shop Chewy for low prices and the best Freeze-Dried & Dehydrated Treats! We carry a large selection and the top brands like Durkha, Max and Neo Dog Gear, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",262,,Deals on Dog Freeze-Dried & Dehydrated Treats,1,freeze-dried-dehydrated-treats,,False,False,False,True,False,False,False,36,341,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/litter-boxes-liners-accessories-12312,True,Rewrite titles that are too short or too long while keeping the main topic clear.,68,"Cat Litter Boxes, Liners & Accessories Deals - Free shipping | Chewy",68,"Shop Chewy for low prices and the best Litter Boxes, Liners & Accessories! We carry a large selection and the top brands like Frisco, Fresh Kitty, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",255,,"Cat Litter Boxes, Liners & Accessories Deals",1,litter-boxes-liners-accessories,,False,False,False,True,False,False,False,36,345,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-106300,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,Deals on Freeze-Dried & Dehydrated Cat Treats - Free shipping | Chewy,69,"Shop Chewy for low prices and the best Freeze-Dried & Dehydrated Treats! We carry a large selection and the top brands like The New Zealand Natural Pet Food Co., Nature's Diet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",285,,Deals on Freeze-Dried & Dehydrated Cat Treats,1,freeze-dried-dehydrated-treats,,False,False,False,True,False,False,False,8,340,3,,,,,,,,,,,,,,
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/non-clumping-4330230,True,Rewrite titles that are too short or too long while keeping the main topic clear.,79,Non-Clumping Cat Litter: Best Non-Clumping Kitty Litter (Free Shipping) | Chewy,79,"Shop Chewy for Non Clumping Cat Litter and the Best Non Clumping Kitty Litter Brands like Tidy Cats, Fresh Step, Feline Pine and more. Shop Now!",144,,Non-Clumping Cat Litter,1,non-clumping,True,True,False,False,True,False,False,True,1,313,4,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/hairball-remedy-for-cats-4330182,True,Rewrite titles that are too short or too long while keeping the main topic clear.,72,"Cat Hairball Control: Food, Treats & Supplements (Free Shipping) | Chewy",72,"Shop Chewy for low prices and the best hairball control products! It's only natural that hair balls will occur since every feline naturally licks and cleans themselves. We have you covered with dry food, wet food, treats and supplement options for cat hairball control. *FREE* shipping on orders $49+ and the BEST customer service!",331,,Hairball Remedy For Cats,1,hairball-remedy-for-cats,True,True,False,False,True,False,False,True,2,318,4,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/crunchy-cat-treats-4330110,True,Rewrite titles that are too short or too long while keeping the main topic clear.,70,"Crunchy Cat Treats: Top Flavors, Dental & More (Free Shipping) | Chewy",70,"Shop Chewy for low prices and the best crunchy cat treats! We carry a wide selection from the top brands including grain-free, no soy & more. Shop now and reward your kitty for completing a new cat trick or for brushing up against you with their soft fur. *FREE* shipping on orders $49+ and the BEST customer service!",317,,Crunchy Cat Treats,1,crunchy-cat-treats,True,True,False,False,True,False,False,True,2,327,4,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/soft-cat-treats-4330174,True,Rewrite titles that are too short or too long while keeping the main topic clear.,66,"Soft Cat Treats: Chewy & Tasty, Top Brands (Free Shipping) | Chewy",66,"Shop Chewy for low prices and the best soft cat treats! If you have a cat with sensitive teeth, soft and chewy treats are a scrumptious option to keep them happy. We carry the top-rated soft treats from gluten-free to grain-free to sensitive digestion, high protein and more. *FREE* shipping on orders $49+ and the BEST customer service!",337,,Soft Cat Treats,1,soft-cat-treats,True,True,False,False,True,False,False,True,2,312,4,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/wet-food-4330102,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,"Wet Cat Food - Best Healthy, Canned, Soft & Wet Food for Cats | Chewy",69,"Shop Chewy for the best high quality wet cat food and canned cat food from top brands like Orijen, Royal Canin, Weruva, Hills Science Diet and more. Get free shipping on orders $49+!",182,,Wet Cat Food,1,wet-food,True,True,False,False,True,False,False,True,43,367,4,,,,,,,,,,,,,,1.0
Deals,Meta,Page title length is not ideal,https://www.chewy.com/deals/bark-control-remote-training-115326,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,Deals on Dog Bark Control & Remote Training - Free shipping | Chewy,67,"Shop Chewy for low prices and the best Bark Control & Remote Training! We carry a large selection and the top brands like LvLrister, SportDOG, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",251,,Deals on Dog Bark Control & Remote Training,1,bark-control-remote-training,,False,False,False,True,False,False,False,13,342,4,,,,,,,,,,,,,,
