page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Links,Crawl depth too deep,https://www.chewy.com/kong-holiday-teaser-snowman-cat-toy/dp/1761438,True,Move important URLs closer to major crawl paths.,10,Out of Stock - KONG Christmas Holiday Teaser Snowman Cat Toy - Chewy.com,72,Buy KONG Christmas Holiday Teaser Snowman Cat Toy at Chewy.com. FREE shipping and the BEST customer service!,108,,KONG Christmas Holiday Teaser Snowman Cat Toy,1,kong-holiday-teaser-snowman-cat-toy,True,True,False,False,True,True,True,False,16,305,10,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/buckle-down-seatbelt-buckle-space-jam/dp/740638,True,Move important URLs closer to major crawl paths.,9,"BUCKLE-DOWN Seatbelt Buckle Space Jam 2 Number 6 Blocks Dog Collar, Multicolor, 13-17-in - Chewy.com",100,"Buy Buckle-Down Seatbelt Buckle Space Jam 2 Number 6 Blocks Dog Collar, Multicolor, 13-17-in at Chewy.com. FREE shipping and the BEST customer service!",151,,"Buckle-Down Seatbelt Buckle Space Jam 2 Number 6 Blocks Dog Collar, Multicolor, 13-17-in",1,buckle-down-seatbelt-buckle-space-jam,True,True,False,False,True,True,True,False,21,310,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/eys-gigwi-plush-friendz-crunchy-neck/dp/3751310,True,Move important URLs closer to major crawl paths.,9,EYS GiGwi Plush Friendz Crunchy Neck Brown Dog Tough Dog Plush Toy - Chewy.com,78,Buy EYS GiGwi Plush Friendz Crunchy Neck Brown Dog Tough Dog Plush Toy at Chewy.com. FREE shipping and the BEST customer service!,129,,EYS GiGwi Plush Friendz Crunchy Neck Brown Dog Tough Dog Plush Toy,1,eys-gigwi-plush-friendz-crunchy-neck,True,True,False,False,True,True,True,False,15,317,9,,,,,,,,,,,,,,1.0
PDP,Links,Crawl depth too deep,https://www.chewy.com/nonopets-interactive-flopping-ocean/dp/4275646,True,Move important URLs closer to major crawl paths.,9,"NONOPETS Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Blue - Chewy.com",138,"Buy NonoPets Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Blue at Chewy.com. FREE shipping and the BEST customer service!",189,,"NonoPets Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Blue",1,nonopets-interactive-flopping-ocean,True,True,False,False,True,True,True,False,3,322,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/nonopets-interactive-flopping-ocean/dp/4275638,True,Move important URLs closer to major crawl paths.,9,"NONOPETS Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Orange - Chewy.com",140,"Buy NonoPets Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Orange at Chewy.com. FREE shipping and the BEST customer service!",191,,"NonoPets Interactive Flopping Ocean Series Realistic Sea Creature USB Rechargeable Electronic Cat Toy with Catnip Pocket, Orange",1,nonopets-interactive-flopping-ocean,True,True,False,False,True,True,True,False,2,322,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/life-is-good-mens-american-flag-dog/dp/3988558,True,Move important URLs closer to major crawl paths.,9,"Out of Stock - LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Small - Chewy.com",108,"Buy LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Small at Chewy.com. FREE shipping and the BEST customer service!",144,,"LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Small",1,life-is-good-mens-american-flag-dog,True,True,False,False,True,True,True,False,5,324,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/life-is-good-mens-american-flag-dog/dp/3988566,True,Move important URLs closer to major crawl paths.,9,"Out of Stock - LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Medium - Chewy.com",109,"Buy LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Medium at Chewy.com. FREE shipping and the BEST customer service!",145,,"LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, Medium",1,life-is-good-mens-american-flag-dog,True,True,False,False,True,True,True,False,5,324,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/life-is-good-mens-american-flag-dog/dp/3988582,True,Move important URLs closer to major crawl paths.,9,"Out of Stock - LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, X-Large - Chewy.com",110,"Buy LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, X-Large at Chewy.com. FREE shipping and the BEST customer service!",146,,"LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, X-Large",1,life-is-good-mens-american-flag-dog,True,True,False,False,True,True,True,False,5,324,9,,,,,,,,,,,,,,
PDP,Links,Crawl depth too deep,https://www.chewy.com/life-is-good-mens-american-flag-dog/dp/3988590,True,Move important URLs closer to major crawl paths.,9,"Out of Stock - LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XX-Large - Chewy.com",111,"Buy LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XX-Large at Chewy.com. FREE shipping and the BEST customer service!",147,,"LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XX-Large",1,life-is-good-mens-american-flag-dog,True,True,False,False,True,True,True,False,5,324,9,,,,,,,,,,,,,,1.0
PDP,Links,Crawl depth too deep,https://www.chewy.com/life-is-good-mens-american-flag-dog/dp/3988598,True,Move important URLs closer to major crawl paths.,9,"Out of Stock - LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XXX-Large - Chewy.com",112,"Buy LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XXX-Large at Chewy.com. FREE shipping and the BEST customer service!",148,,"LIFE IS GOOD Men's American Flag Dog Short Sleeve Crusher-Lite, Moss Green, XXX-Large",1,life-is-good-mens-american-flag-dog,True,True,False,False,True,True,True,False,5,324,9,,,,,,,,,,,,,,1.0
