page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,URL,URL slug is too generic,https://www.chewy.com/gentamicinketoconazoletriamcinolone/dp/912054,True,Use descriptive slugs that carry the page topic.,,"Gentamicin/ Ketoconazole/ Triamcinolone (GKT) Compounded Otic Ointment, 0.3%/1%/0.1%, 3 mL for Veterinary use - Easy Refills | Chewy Rx",135,"This medication is intended to be administered by a Veterinary professional or someone who has been trained to administer otic medications via syringe. Gentamicin/Ketoconazole/Triamcinolone (GKT) Compounded Otic Ointment is a combination of medications used together for their antibiotic, anti-fungal, and anti-inflammatory properties, often prescribed to treat ear infections. The ointment is formulated to be applied directly into the ear canal.",447,,"Gentamicin/ Ketoconazole/ Triamcinolone (GKT) Compounded Otic Ointment, 0.3%/1%/0.1%, 3 mL for Veterinary use",1,gentamicinketoconazoletriamcinolone,True,True,False,False,True,True,True,True,29,308,2,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/silymarinadvanced-s/dp/1951566,True,Use descriptive slugs that carry the page topic.,,"SILYMARINADVANCED S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Medium Dogs, 30 count - Chewy.com",117,"Buy SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Medium Dogs, 30 count at Chewy.com. FREE shipping and the BEST customer service!",168,,"SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Medium Dogs, 30 count",1,silymarinadvanced-s,True,True,False,False,True,True,True,True,30,319,3,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/silymarinadvanced-s/dp/1951622,True,Use descriptive slugs that carry the page topic.,,"SILYMARINADVANCED S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Large Dogs, 30 count - Chewy.com",116,"Buy SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Large Dogs, 30 count at Chewy.com. FREE shipping and the BEST customer service!",167,,"SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Large Dogs, 30 count",1,silymarinadvanced-s,True,True,False,False,True,True,True,True,51,322,3,,,,,,,,,,,,,,3.0
PDP,URL,URL slug is too generic,https://www.chewy.com/lfcpetsplushfoldablecouchdog/dp/3061446,True,Use descriptive slugs that carry the page topic.,,"LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Dark Grey, Small - Chewy.com",94,"Buy LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Dark Grey, Small at Chewy.com. FREE shipping and the BEST customer service!",145,,"LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Dark Grey, Small",1,lfcpetsplushfoldablecouchdog,True,True,False,False,True,True,True,False,13,315,3,,,,,,,,,,,,,,
PDP,URL,URL slug is too generic,https://www.chewy.com/lfcpetsplushfoldablecouchdog/dp/3061454,True,Use descriptive slugs that carry the page topic.,,"LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Pink, Small - Chewy.com",89,"Buy LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Pink, Small at Chewy.com. FREE shipping and the BEST customer service!",140,,"LFC PETS Plush Foldable Couch Dog & Cat Bed with Removable Cover, Pink, Small",1,lfcpetsplushfoldablecouchdog,True,True,False,False,True,True,True,False,5,315,3,,,,,,,,,,,,,,
PDP,URL,URL slug is too generic,https://www.chewy.com/gentamicinketoconazoletriamcinolone/dp/3627230,True,Use descriptive slugs that carry the page topic.,,"Gentamicin/ Ketoconazole/ Triamcinolone (GKT) Compounded Otic Ointment, 0.3%/2% /0.1%, 3 mL for Veterinary use - Easy Refills | Chewy Rx",136,"This medication is intended to be administered by a Veterinary professional or someone who has been trained to administer otic medications via syringe. Gentamicin/Ketoconazole/Triamcinolone (GKT) Compounded Otic Ointment is a combination of medications used together for their antibiotic, anti-fungal, and anti-inflammatory properties, often prescribed to treat ear infections. The ointment is formulated to be applied directly into the ear canal.",447,,"Gentamicin/ Ketoconazole/ Triamcinolone (GKT) Compounded Otic Ointment, 0.3%/2% /0.1%, 3 mL for Veterinary use",1,gentamicinketoconazoletriamcinolone,True,True,False,False,True,True,True,True,1,308,3,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/silymarinadvanced-s/dp/1951558,True,Use descriptive slugs that carry the page topic.,,"SILYMARINADVANCED S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Cats, 30 count - Chewy.com",110,"Buy SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Cats, 30 count at Chewy.com. FREE shipping and the BEST customer service!",161,,"SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Cats, 30 count",1,silymarinadvanced-s,True,True,False,False,True,True,True,False,19,305,3,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/silymarinadvanced-s/dp/1951582,True,Use descriptive slugs that carry the page topic.,,"SILYMARINADVANCED S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Small Dogs, 30 count - Chewy.com",116,"Buy SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Small Dogs, 30 count at Chewy.com. FREE shipping and the BEST customer service!",167,,"SilymarinAdvanced S-Adenosylmethionine & Silybin Tablet Liver Health Supplement for Small Dogs, 30 count",1,silymarinadvanced-s,True,True,False,False,True,True,True,True,23,309,4,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/sulfamethoxazoletrimethoprim/dp/3633470,True,Use descriptive slugs that carry the page topic.,,"SULFAMETHOXAZOLE/TRIMETHOPRIM COMPOUNDED Chicken Oral Oil Suspension, 100/20mg/mL, 30 mL for Veterinary use - Easy Refills | Chewy Rx",133,"Sulfamethoxazole-Trimethoprim (SMX-TMP) is a combination of antibiotics that work in conjunction with each other. Sulfamethoxazole-Trimethoprim is a prescription medication often used to treat urinary tract, skin, respiratory, or digestive tract infections. It may be used for ear infections, kennel cough, coccidiosis, or pneumonia.",333,,"Sulfamethoxazole/Trimethoprim Compounded Chicken Oral Oil Suspension, 100/20mg/mL, 30 mL for Veterinary use",1,sulfamethoxazoletrimethoprim,True,True,False,False,True,True,True,True,4,309,4,,,,,,,,,,,,,,1.0
PDP,URL,URL slug is too generic,https://www.chewy.com/livebearers/dp/1901214,True,Use descriptive slugs that carry the page topic.,,Livebearers - Chewy.com,23,Buy Livebearers at Chewy.com. FREE shipping and the BEST customer service!,74,,Livebearers,1,livebearers,True,False,False,False,True,True,True,False,36,308,4,,,,,,,,,,,,,,1.0
