page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/dog-grooming-clippers-hair_s109240,True,Add discoverable internal links from relevant crawl paths.,0,Best Dog Grooming Clippers & Hair Trimmers 2026: According to Reviews | Chewy,77,Checkout Today's Best Dog Grooming Clippers & Hair Trimmers. Our customers believe that these are the Best Dog Grooming Clippers & Hair Trimmers products out there.,164,best dog clippers with vacuum,Best Dog Grooming Clippers,1,dog-grooming-clippers-hair,True,True,False,False,True,False,False,True,0,336,3,,,,,,,3,2,31.0,0,0,1,2,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/chicken-coop-deodorizers_s124566,True,Add discoverable internal links from relevant crawl paths.,0,Best Chicken Coop Deodorizers & Cleaners 2026: According to Reviews | Chewy,75,Checkout Today's Best Chicken Coop Deodorizers & Cleaners. Our customers believe that these are the Best Chicken Coop Deodorizers & Cleaners products out there.,160,best chicken coop deodorizers and cleaners,Best Chicken Coop Deodorizer,1,chicken-coop-deodorizers,True,True,False,False,True,False,False,False,0,337,3,,,,,,,1,1,14.0,0,1,0,0,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/cat-litter-box-furniture_s112440,True,Add discoverable internal links from relevant crawl paths.,0,Best Cat Litter Box Furniture Enclosures 2026: According to Reviews | Chewy,75,Checkout Today's Best Cat Litter Box Furniture Enclosures. Our customers believe that these are the Best Cat Litter Box Furniture Enclosures products out there.,160,,Best Cat Litter Box Furniture,1,cat-litter-box-furniture,True,True,False,False,True,False,False,False,0,336,4,,,,,,,,,,,,,,2.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/aquarium-algaecides-water_s128900,True,Add discoverable internal links from relevant crawl paths.,0,Best Aquarium Algaecides & Water Clarifiers 2026: According to Reviews | Chewy,78,Checkout Today's Best Aquarium Algaecides & Water Clarifiers. Our customers believe that these are the Best Aquarium Algaecides & Water Clarifiers products out there.,166,best aquarium algaecides and water clarifiers,Best Algae Removers For Aquarium,1,aquarium-algaecides-water,True,True,False,False,True,False,False,True,0,336,4,,,,,,,11,11,12.2,3,7,0,1,2.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/saddle-soaps-leather_s124174,True,Add discoverable internal links from relevant crawl paths.,0,Best Saddle Soaps & Leather Conditioners 2026: According to Reviews | Chewy,75,Checkout Today's Best Saddle Soaps & Leather Conditioners. Our customers believe that these are the Best Saddle Soaps & Leather Conditioners products out there.,160,best saddle soap,Best Saddle Soaps & Leather Conditioners,1,saddle-soaps-leather,True,False,False,False,True,False,False,False,0,331,4,,,,,,,6,6,22.2,0,2,3,1,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/small-breed-puppy-collars_s131716,True,Add discoverable internal links from relevant crawl paths.,0,"Best Small Breed Puppy Collars, Leashes & Harnesses 2026: According to Reviews | Chewy",86,"Check out the best collars, leashes, and harnesses. These top-rated products have been reviewed by Chewy vets and are loved by customers with small-breed puppies. Let us help you find the top products for your small-breed!",222,small dog leashes collars,"Best Small Breed Puppy Collars, Leashes & Harnesses",1,small-breed-puppy-collars,True,True,False,False,True,False,False,True,0,337,4,,,,,,,5,5,21.75,0,1,3,1,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/filter-media-freshwater_s129700,True,Add discoverable internal links from relevant crawl paths.,0,Best Filter Media for Freshwater Aquariums 2026: According to Reviews | Chewy,77,Checkout Today's Best Filter Media for Freshwater Aquariums. Our customers believe that these are the Best Filter Media for Freshwater Aquariums products out there.,164,best filter media for freshwater aquariums,Best Filter Media For Freshwater Aquarium,1,filter-media-freshwater,True,True,False,False,True,False,False,False,0,337,4,,,,,,,7,7,14.71,0,7,0,0,2.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/small-breed-puppy-crates-pens_s131676,True,Add discoverable internal links from relevant crawl paths.,0,"Best Small Breed Puppy Crates, Pens & Gates 2026: According to Reviews | Chewy",78,"Check out the best crates, pens, and gates. These top-rated products have been reviewed by Chewy vets and are loved by customers with small-breed puppies. Let us help you find the top products for your small-breed!",214,,Best Crate For Small Breed Puppy,1,small-breed-puppy-crates-pens,True,True,False,False,True,False,False,True,0,337,5,,,,,,,,,,,,,,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/dog-foods-extra-large-breed_s130900,True,Add discoverable internal links from relevant crawl paths.,0,Best Dog Foods for Extra Large Breed Puppies 2026: According to Reviews | Chewy,79,Check out the best food. These top-rated products have been reviewed by Chewy vets and are loved by customers with extra-large breed puppies. Let us help you find the top products for your extra-large breed!,207,best puppy food large breed,Best Dog Foods for Extra Large Breed Puppies,1,dog-foods-extra-large-breed,True,True,False,False,True,False,False,True,0,337,5,,,,,,,3,3,,0,0,0,3,1.0
Top Picks,Links,No unique inlinks,https://www.chewy.com/best/large-breed-puppy-crates-pens_s131500,True,Add discoverable internal links from relevant crawl paths.,0,"Best Large Breed Puppy Crates, Pens & Gates 2026: According to Reviews | Chewy",78,"Check out the best crates, pens, and gates. These top-rated products have been reviewed by Chewy vets and are loved by customers with large-breed puppies. Let us help you find the top products for your large-breed!",214,best giant breed puppy crates pens and gates,Best Crate For Large Breed Puppy,1,large-breed-puppy-crates-pens,True,True,False,False,True,False,False,True,0,337,5,,,,,,,1,1,30.0,0,0,1,0,1.0
