page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/chewy-made-170606,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/hills-6874,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Hill's - Free shipping | Chewy,30,"Shop Chewy for low prices and the best Hill's products! We carry a large selection and the top brands like Hill's Science Diet, Hill's Prescription Diet, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",262,hill's,Hill's,1,hills,True,True,False,False,True,False,False,True,318238,346,1,good,1777.0,good,0.01,,,7,7,14.0,1,1,0,5,16.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/royal-canin-dog-food-150798,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Royal Canin Dog Food - Free shipping | Chewy,44,Shop Chewy for low prices and the best Royal Canin Dog Food! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,,Royal Canin Dog Food,1,royal-canin-dog-food,True,True,False,False,True,False,False,False,318238,359,1,good,1495.0,good,0.07,,,,,,,,,,15.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/skin-care-169782,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Hill's Prescription Diet Skin Care for Dogs - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Dogs,1,skin-care,True,True,False,False,True,False,False,False,318238,319,1,,,,,,,,,,,,,,1.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/blue-buffalo-6526,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Blue Buffalo Dog Food & Cat Food - Free Shipping | Chewy,56,"Discover Blue Buffalo Dog Food, Cat Food and Treats at Chewy. Shop wet and dry food, grain-free and limited ingredient recipes, prescription food and more.",155,blue buffalo,Blue Buffalo The True BLUE Promise,2,blue-buffalo,True,True,False,False,True,False,False,True,318238,360,1,good,1699.0,good,0.05500000000000001,,,9,9,5.67,4,2,0,3,8.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/temptations-7577,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/shop-by-cat-8118,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Hill's Science Diet Cat Food - Free shipping | Chewy,52,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,hill's science diet cat food,Hill's Science Diet Cat Food,1,shop-by-cat,True,True,False,False,True,False,False,False,318238,344,1,good,1411.0,good,0.085,,,6,6,10.0,2,3,0,1,23.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/skin-care-169710,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Hill's Prescription Diet Skin Care for Cats - Free shipping | Chewy,67,Shop Chewy for low prices and the best Skin Care! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,226,,Hill's Prescription Diet Skin Care for Cats,1,skin-care,True,True,False,False,True,False,False,False,318238,311,1,,,,,,,,,,,,,,1.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/nutrena-121270,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Nutrena - Free shipping | Chewy,31,Shop Chewy for low prices and the best Nutrena products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,nutrena,Nutrena,1,nutrena,True,True,False,False,True,False,False,False,318238,346,1,,,,,,,2,2,15.0,1,0,1,0,1.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/purina-animal-nutrition-2068886,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Purina - Free shipping | Chewy,30,Shop Chewy for low prices and the best Purina Animal Nutrition! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,,Purina About Purina,2,purina-animal-nutrition,True,True,False,False,True,False,False,False,318238,351,1,,,,,,,,,,,,,,1.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/cosequin-7126,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Nutramax Cosequin - Free shipping | Chewy,41,Shop Chewy for low prices and the best Cosequin products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,,Nutramax Cosequin,1,cosequin,True,True,False,False,True,False,False,False,318238,335,1,good,1518.0,good,0.060000000000000005,,,,,,,,,,6.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/tribute-equine-nutrition-7632,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Tribute Equine Nutrition - Free shipping | Chewy,48,Shop Chewy for low prices and the best Tribute Equine Nutrition! We carry a large selection and the top brands like Tribute Equine Nutrition and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,249,tribute equine nutrition,Tribute Equine Nutrition,1,tribute-equine-nutrition,True,True,False,False,True,False,False,False,318238,343,1,good,1763.0,good,0.015,,,2,2,5.0,2,0,0,0,2.0
Brand,Speed,INP measurement missing,https://www.chewy.com/brands/hills-prescription-diet-6879,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Hill's Prescription Diet - Free shipping | Chewy,48,Shop Chewy for low prices and the best Hill's Prescription Diet! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,241,hill's prescription diet,Hill's Prescription Diet,1,hills-prescription-diet,True,True,False,False,True,False,False,False,340,345,1,good,1565.0,good,0.025,,,11,11,8.6,7,2,1,1,35.0
