page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/temptations-cat-treats_c391_f1v388696,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,TEMPTATIONS CAT TREATS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Temptations Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Temptations Cat Treats for your pet.",225,chewy cat treats,Temptations Cat Treats,1,temptations-cat-treats,True,True,False,False,True,False,False,False,2,368,3,,,,,,,7,6,19.8,1,2,2,2,3.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/lead-free-dog-bowls_c1422_f86v697205,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,LEAD-FREE DOG BOWLS (Free Shipping) | Chewy,43,"Browse lead-free dog bowls to help keep your pet safe, with options for food, water, wet meals, dry kibble, daily feeding, and easier cleanup.",142,lead free dog bowls,Lead-Free Dog Bowls,1,lead-free-dog-bowls,True,True,False,False,True,False,False,True,78,383,3,,,,,,,5,4,12.6,2,2,1,0,1.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/non-skid-dog-bowls-dishes_c1422_f86v329960,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,NON SKID DOG BOWLS (Free Shipping) | Chewy,42,"Make mealtime steadier with non skid dog bowls, non-slip dishes, and no-slip bowl options that help reduce sliding, spills, noise, and floor messes.",148,non slip dog bowls,Non Skid Dog Bowls,1,non-skid-dog-bowls-dishes,True,True,False,False,True,False,False,True,87,393,3,,,,,,,9,8,8.0,6,2,1,0,3.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/large-dog-elevated-bowls_c1423_f6v13792,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,ELEVATED DOG BOWLS FOR LARGE DOGS | CHEWY,41,"Compare elevated dog bowls for large dogs, with raised bowl stands designed for comfortable meals, steadier placement, easier access, and less bending.",151,large dog elevated bowls,Elevated Dog Bowls for Large Dogs,1,large-dog-elevated-bowls,True,True,False,False,True,False,False,True,36,367,3,,,,,,,7,6,10.33,4,1,1,1,14.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/small-dog-bowls-feeders_c338_f6v13790,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,SMALL DOG BOWLS (Free Shipping) | Chewy,39,"Shop small dog bowls and feeders sized for little dogs, with options for food, water, slow feeding, elevated meals, travel, and everyday dining routines.",153,small dog bowls,Small Dog Bowls,1,small-dog-bowls-feeders,True,True,False,False,True,False,False,True,265,393,2,,,,,,,11,11,8.0,9,1,1,0,10.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/exclusively-dog-dog-treats_c335_f1v469849,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,exclusively dog,,,,,,,,,,,,,,,,,,,,,5,5,10.0,1,1,0,3,
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/small-dog-toys_c315_f6v13790,True,Push near-page-one terms with title/H1/meta/linking improvements.,3,SMALL DOG TOYS (Free Shipping) | Chewy,38,"Explore small dog toys sized for little mouths, with dog toys for small dogs made for chewing, fetching, tugging, cuddling, and enrichment at home.",147,small dog toys,Small Dog Toys,1,small-dog-toys,True,True,False,False,True,False,False,True,1333,410,2,good,1687.0,poor,0.44499999999999995,,,10,10,14.14,3,3,1,3,11.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/urinary-tract-health-dry-cat-food_c388_f50v9079,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,URINARY TRACT HEALTH DRY CAT FOOD (Free Shipping) | Chewy,57,"Shop Chewy for the best deals on Urinary Tract Health Dry Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Urinary Tract Health Dry Cat Food for your pet.",247,urinary dry cat food,Urinary Tract Health Dry Cat Food,1,urinary-tract-health-dry-cat-food,True,True,False,False,True,False,False,False,106,386,2,,,,,,,10,9,5.0,8,2,0,0,8.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/plastic-cat-id-tags_c403_f7v17023,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,PLASTIC CAT ID TAGS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Plastic Cat ID Tags and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Plastic Cat ID Tags for your pet.",219,top rated cat leashes collars bowls and id tags by chewy,Plastic Cat ID Tags,1,plastic-cat-id-tags,True,True,False,False,True,False,False,False,17,336,3,,,,,,,1,1,16.0,0,1,0,0,1.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/frisco-cat-leashes-collars_c400_f1v396533,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,FRISCO CAT LEASHES & COLLARS (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Frisco Cat Leashes & Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Frisco Cat Leashes & Collars for your pet.",237,top rated cat leashes collars bowls and id tags by chewy,Frisco Cat Leashes & Collars,1,frisco-cat-leashes-collars,True,True,False,False,True,False,False,False,33,354,2,,,,,,,2,2,19.0,0,1,0,1,1.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/dog-treats-made-in-usa_c335_f232v879044,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,DOG TREATS MADE IN USA (Free Shipping) |Chewy,45,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",171,dog treats made in usa,Dog Treats Made in USA,1,dog-treats-made-in-usa,True,True,False,False,True,False,False,False,1484,425,2,,,,,,,5,5,20.5,1,1,2,1,8.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/cat-treats-urinary-tract-health_c391_f50v9079,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,URINARY TRACT HEALTH CAT TREATS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Urinary Tract Health Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Urinary Tract Health Cat Treats for your pet.",243,urinary cat treats,Urinary Tract Health Cat Treats,1,cat-treats-urinary-tract-health,True,True,False,False,True,False,False,False,234,362,2,,,,,,,6,6,4.33,5,1,0,0,14.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/sensitive-stomach-wet-cat-food_c389_f50v875440,True,Push near-page-one terms with title/H1/meta/linking improvements.,4,WET CAT FOOD FOR SENSITIVE STOMACH | CHEWY,42,"Shop Chewy for wet cat food for sensitive stomach, with fast free shipping, low prices, and award-winning customer service.",123,wet cat food for sensitive stomach,Sensitive Stomach Wet Cat Food,1,sensitive-stomach-wet-cat-food,True,True,False,False,True,False,False,True,421,388,2,,,,,,,19,19,6.53,14,4,1,0,36.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/natural-dog-jerky-treats_c1546_f3v716857,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,NATURAL DOG JERKY TREATS (Free Shipping) | Chewy,48,"Shop Chewy for the best deals on Natural Dog Jerky Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Natural Dog Jerky Treats for your pet.",229,chewy exclusive jerky dog treats,Natural Dog Jerky Treats,1,natural-dog-jerky-treats,True,True,False,False,True,False,False,False,166,372,2,,,,,,,1,1,13.0,0,1,0,0,1.0
HVF,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/f/chicken-flavored-jerky-dog-treats_c1546_f4v19896,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,CHICKEN FLAVORED JERKY DOG TREATS (Free Shipping) | Chewy,57,"Shop Chewy for the best deals on Chicken Flavored Jerky Dog Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Chicken Flavored Jerky Dog Treats for your pet.",247,chicken flavored jerky dog treats,Chicken Flavored Jerky Dog Treats,1,chicken-flavored-jerky-dog-treats,True,True,False,False,True,False,False,False,79,374,2,,,,,,,2,2,16.5,0,2,0,0,2.0
