page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/healthy-breeds-multi-tabs-plus/dp/230703,True,Make H1s more specific by page/template.,"Healthy Breeds Multi-Tabs Plus Chewable Tablets Dog Supplement, 365 count","HEALTHY BREEDS Multi-Tabs Plus Chewable Tablets Dog Supplement, 365 count - Chewy.com",85,"Buy Healthy Breeds Multi-Tabs Plus Chewable Tablets Dog Supplement, 365 count at Chewy.com. FREE shipping and the BEST customer service!",136,,"Healthy Breeds Multi-Tabs Plus Chewable Tablets Dog Supplement, 365 count",1,healthy-breeds-multi-tabs-plus,True,True,False,False,True,True,True,True,244,543,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/healthy-breeds-multivitamin-soft/dp/367088,True,Make H1s more specific by page/template.,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count","HEALTHY BREEDS Multivitamin Soft Chews Dog Supplement, 180 count - Chewy.com",76,"Buy Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count at Chewy.com. FREE shipping and the BEST customer service!",127,,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count",1,healthy-breeds-multivitamin-soft,True,True,False,False,True,True,True,True,233,548,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/healthy-breeds-multivitamin-soft/dp/366894,True,Make H1s more specific by page/template.,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count","HEALTHY BREEDS Multivitamin Soft Chews Dog Supplement, 180 count - Chewy.com",76,"Buy Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count at Chewy.com. FREE shipping and the BEST customer service!",127,,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count",1,healthy-breeds-multivitamin-soft,True,True,False,False,True,True,True,True,237,548,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/healthy-breeds-all-in-one/dp/366211,True,Make H1s more specific by page/template.,"Healthy Breeds All In One Multivitamin Soft Chews Dog Supplement, 120 count","Out of Stock - HEALTHY BREEDS All In One Multivitamin Soft Chews Dog Supplement, 120 count - Chewy.com",102,"Buy Healthy Breeds All In One Multivitamin Soft Chews Dog Supplement, 120 count at Chewy.com. FREE shipping and the BEST customer service!",138,,"Healthy Breeds All In One Multivitamin Soft Chews Dog Supplement, 120 count",1,healthy-breeds-all-in-one,True,True,False,False,True,True,True,True,236,535,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/healthy-breeds-multivitamin-soft/dp/366930,True,Make H1s more specific by page/template.,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count","HEALTHY BREEDS Multivitamin Soft Chews Dog Supplement, 180 count - Chewy.com",76,"Buy Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count at Chewy.com. FREE shipping and the BEST customer service!",127,,"Healthy Breeds Multivitamin Soft Chews Dog Supplement, 180 count",1,healthy-breeds-multivitamin-soft,True,True,False,False,True,True,True,True,233,548,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/inaba-churu-terrine-chicken-recipe/dp/4310190,True,Make H1s more specific by page/template.,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small","INABA Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small - Chewy.com",77,"Buy Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small at Chewy.com. FREE shipping and the BEST customer service!",128,,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small",1,inaba-churu-terrine-chicken-recipe,True,True,False,False,True,True,True,False,31,314,3,,,,,,,,,,,,,,1.0
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/inaba-churu-terrine-chicken-recipe/dp/4310222,True,Make H1s more specific by page/template.,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Medium","INABA Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Medium - Chewy.com",78,"Buy Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Medium at Chewy.com. FREE shipping and the BEST customer service!",129,,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Medium",1,inaba-churu-terrine-chicken-recipe,True,True,False,False,True,True,True,False,31,314,3,,,,,,,,,,,,,,2.0
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/inaba-churu-terrine-sweet-potato/dp/4310302,True,Make H1s more specific by page/template.,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small","INABA Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small - Chewy.com",77,"Buy Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small at Chewy.com. FREE shipping and the BEST customer service!",128,,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small",1,inaba-churu-terrine-sweet-potato,True,True,False,False,True,True,True,False,26,317,3,,,,,,,,,,,,,,
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/inaba-churu-terrine-chicken-recipe/dp/4310118,True,Make H1s more specific by page/template.,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small","INABA Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small - Chewy.com",77,"Buy Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small at Chewy.com. FREE shipping and the BEST customer service!",128,,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small",1,inaba-churu-terrine-chicken-recipe,True,True,False,False,True,True,True,False,31,314,3,,,,,,,,,,,,,,1.0
PDP,H1,Duplicate H1 pattern,https://www.chewy.com/inaba-churu-terrine-pumpkin-recipe/dp/4310142,True,Make H1s more specific by page/template.,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small","INABA Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small - Chewy.com",77,"Buy Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small at Chewy.com. FREE shipping and the BEST customer service!",128,,"Inaba Churu Terrine Chicken Recipe Soft Dog Treat, 4 count, Small",1,inaba-churu-terrine-pumpkin-recipe,True,True,False,False,True,True,True,False,30,317,3,,,,,,,,,,,,,,1.0
