page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/cat-treats_s112112,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Cat Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Cat Treats. Our customers believe that these are the Best Cat Treats products out there.,110,best sample size cat treats,Best Cat Treats,1,cat-treats,True,True,False,False,True,False,False,True,317,335,2,,,,,,,6,6,15.67,1,1,1,3,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/pressure-mounted-cat-gates_s113912,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,Best Pressure Mounted Cat Gates 2026: According to Reviews | Chewy,66,Checkout Today's Best Pressure Mounted Cat Gates. Our customers believe that these are the Best Pressure Mounted Cat Gates products out there.,142,pressure mounted cat gates,Best Pressure Mounted Cat Gates,1,pressure-mounted-cat-gates,True,True,False,False,True,False,False,False,6,337,3,,,,,,,5,5,27.4,0,0,5,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/gerbil-toys_s128516,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",4,Best Gerbil Toys 2026: According to Reviews | Chewy,51,Checkout Today's Best Gerbil Toys. Our customers believe that these are the Best Gerbil Toys products out there.,112,gerbil toys,Best Gerbil Toy,1,gerbil-toys,True,True,False,False,True,False,False,False,46,332,2,,,,,,,8,8,21.43,0,3,4,1,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/chinchilla-toys_s128508,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Chinchilla Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Chinchilla Toys. Our customers believe that these are the Best Chinchilla Toys products out there.,120,best chinchilla accessories and products,Best Chinchilla Toys,1,chinchilla-toys,True,True,False,False,True,False,False,False,44,333,2,,,,,,,3,2,19.0,0,2,1,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/sugar-glider-bedding_s128732,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Best Sugar Glider Bedding 2026: According to Reviews | Chewy,60,Checkout Today's Best Sugar Glider Bedding. Our customers believe that these are the Best Sugar Glider Bedding products out there.,130,sugar glider beds,Best Bedding For Sugar Gliders,1,sugar-glider-bedding,True,True,False,False,True,False,False,False,27,330,2,,,,,,,5,5,18.0,0,3,2,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/dog-toys_s103256,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Best Dog Toys 2026: According to Reviews | Chewy,48,Checkout Today's Best Dog Toys. Our customers believe that these are the Best Dog Toys products out there.,106,chewy dog toy,Best Dog Toys,1,dog-toys,True,True,False,False,True,False,False,True,1683,335,2,,,,,,,3,3,24.0,0,1,2,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/degu-water-bottles-feeders_s128836,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Degu Water Bottles & Feeders 2026: According to Reviews | Chewy,68,Checkout Today's Best Degu Water Bottles & Feeders. Our customers believe that these are the Best Degu Water Bottles & Feeders products out there.,146,degu water bottles,Best Degu Water Bottles & Feeders,1,degu-water-bottles-feeders,True,True,False,False,True,False,False,False,30,323,3,,,,,,,8,8,10.5,4,1,1,2,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/dog-wipes-waterless-grooming_s107840,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Best Dog Wipes & Waterless Grooming 2026: According to Reviews | Chewy,70,Checkout Today's Best Dog Wipes & Waterless Grooming. Our customers believe that these are the Best Dog Wipes & Waterless Grooming products out there.,150,best dog wipes and waterless grooming,Best Dog Wipes,1,dog-wipes-waterless-grooming,True,True,False,False,True,False,False,True,99,336,2,,,,,,,7,7,18.8,0,3,2,2,5.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/cat-toys_s112120,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,Best Cat Toys 2026: According to Reviews | Chewy,48,Checkout Today's Best Cat Toys. Our customers believe that these are the Best Cat Toys products out there.,106,best cat toys on chewy,Best Cat Toys,1,cat-toys,True,True,False,False,True,False,False,False,609,335,2,good,1685.0,good,0.01,,,19,17,12.56,10,3,5,1,7.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/parrot-cage-accessories_s122702,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",7,Best Parrot Cage Accessories 2026: According to Reviews | Chewy,63,Checkout Today's Best Parrot Cage Accessories. Our customers believe that these are the Best Parrot Cage Accessories products out there.,136,best parrot cage accessories,Best Parrot Cage Accessories,1,parrot-cage-accessories,True,True,False,False,True,False,False,False,87,329,2,,,,,,,26,24,16.86,4,11,7,4,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/cat-stairs_s112576,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Best Cat Stairs 2026: According to Reviews | Chewy,50,Checkout Today's Best Cat Stairs. Our customers believe that these are the Best Cat Stairs products out there.,110,cat stairs,Best Cat Stairs,1,cat-stairs,True,True,False,False,True,False,False,False,24,336,3,,,,,,,5,5,20.0,0,3,2,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/tank-cleaners-bearded-dragons_s123030,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Tank Cleaners for Bearded Dragons 2026: According to Reviews | Chewy,73,Checkout Today's Best Tank Cleaners for Bearded Dragons. Our customers believe that these are the Best Tank Cleaners for Bearded Dragons products out there.,156,best tank cleaners for bearded dragons,Best Cleaner For Bearded Dragon Tank,1,tank-cleaners-bearded-dragons,True,True,False,False,True,False,False,False,69,331,2,,,,,,,4,4,14.67,1,1,1,1,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/small-animal-supplies_s121454,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",8,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/gecko-tank-accessories_s123326,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Gecko Tank Accessories 2026: According to Reviews | Chewy,62,Checkout Today's Best Gecko Tank Accessories. Our customers believe that these are the Best Gecko Tank Accessories products out there.,134,best gecko tank accessories,Best Gecko Tank Accessories,1,gecko-tank-accessories,True,True,False,False,True,False,False,False,10,334,2,,,,,,,1,1,27.0,0,0,1,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/cat-supplies_s112080,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",5,Best Cat Supplies 2026 | Chewy,30,Checkout Today's Best Cat Supplies. Our customers believe that these are the Best Cat products out there.,105,chewy cat,Best Cat Supplies,1,cat-supplies,True,True,False,False,True,False,False,False,318249,349,1,,,,,,,14,13,14.07,8,1,5,0,4.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/limited-ingredient-dog-treats_s111472,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Limited Ingredient Dog Treats 2026: According to Reviews | Chewy,69,Checkout Today's Best Limited Ingredient Dog Treats. Our customers believe that these are the Best Limited Ingredient Dog Treats products out there.,148,chewy exclusive dog training treats,Best Limited Ingredient Dog Treats,1,limited-ingredient-dog-treats,True,True,False,False,True,False,False,True,280,337,2,,,,,,,3,3,21.0,0,1,1,1,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/flea-tick-combs-brushes-dogs_s111456,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",2,Best Flea & Tick Combs & Brushes for Dogs 2026: According to Reviews | Chewy,76,Checkout Today's Best Flea & Tick Combs & Brushes for Dogs. Our customers believe that these are the Best Flea & Tick Combs & Brushes for Dogs products out there.,162,best flea and tick combs and brushes for dogs,Best Flea Comb For Dogs,1,flea-tick-combs-brushes-dogs,True,True,False,False,True,False,False,True,5,337,3,,,,,,,10,10,14.71,2,3,2,3,4.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/cockatoo-cages_s122902,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,Best Cockatoo Cages 2026: According to Reviews | Chewy,54,Checkout Today's Best Cockatoo Cages. Our customers believe that these are the Best Cockatoo Cages products out there.,118,bare-eyed cockatoo cage,Best Cockatoo Cage,1,cockatoo-cages,True,True,False,False,True,False,False,False,25,326,2,,,,,,,3,3,30.0,0,0,1,2,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/large-breed-puppy-crates-pens_s131500,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",1,"Best Large Breed Puppy Crates, Pens & Gates 2026: According to Reviews | Chewy",78,"Check out the best crates, pens, and gates. These top-rated products have been reviewed by Chewy vets and are loved by customers with large-breed puppies. Let us help you find the top products for your large-breed!",214,best giant breed puppy crates pens and gates,Best Crate For Large Breed Puppy,1,large-breed-puppy-crates-pens,True,True,False,False,True,False,False,True,0,337,5,,,,,,,1,1,30.0,0,0,1,0,1.0
Top Picks,Ranking Keywords,Has striking-distance keywords in positions 21-50,https://www.chewy.com/best/chinchilla-habitats-enclosures_s128660,True,"Evaluate whether the page needs stronger content, intent coverage, or internal links.",4,Best Chinchilla Habitats & Enclosures 2026: According to Reviews | Chewy,72,Checkout Today's Best Chinchilla Habitats & Enclosures. Our customers believe that these are the Best Chinchilla Habitats & Enclosures products out there.,154,best chinchilla habitats and enclosures,Best Chinchilla Habitats & Enclosures,1,chinchilla-habitats-enclosures,True,True,False,False,True,False,False,False,17,333,2,,,,,,,9,9,21.14,1,2,4,2,1.0
