page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/3449830,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,degu beds hideouts and mats,,,,,,,,,,,,,,,,,,,,,4,4,5.5,3,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/id-tags-collars-leashes-134374,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,2,18.0,0,1,1,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/bones-bully-sticks-chews-3939302,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,chewy exclusive bones bully sticks and natural dog chews,,,,,,,,,,,,,,,,,,,,,1,1,12.0,0,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/todays-deals-2723,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,"Today's Deals: Chewy Promo Codes, Discounts & Coupons | Chewy",61,"Check out Chewy's best deals, promo codes & coupons. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",159,chewy promo code,Today's Deals,1,todays-deals,True,True,False,False,True,False,False,False,327550,376,1,good,2444.0,good,0.0033333333333333335,,,72,72,2.08,69,2,1,0,85.0
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/cat-deals-2735,True,Push near-page-one terms with title/H1/meta/linking improvements.,13,Cat Supplies On Sale: Discount Cat Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on cat supplies. Find great deals and see what cat supplies are on sale like cat litter, cat food, cat treats, cat toys, cat trees and more. FREE shipping on orders $49+ and the BEST customer service!",231,deals on cat supplies,Cat Deals,1,cat-deals,True,True,False,False,True,False,False,False,318238,367,1,good,2141.0,good,0.015,,,35,34,10.22,14,13,0,8,18.0
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/dog-deals-2733,True,Push near-page-one terms with title/H1/meta/linking improvements.,7,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/science-backed-formulas-3933342,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,deals on shop cat food by health consideration,,,,,,,,,,,,,,,,,,,,,1,1,18.0,0,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/health-consideration-3453654,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,deals on shop dry cat food by health consideration,,,,,,,,,,,,,,,,,,,,,1,1,18.0,0,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/cat-travel-bowls-2686486,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,deals on cat travel bowls,,,,,,,,,,,,,,,,,,,,,2,1,20.0,0,1,1,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/cat-dental-kits-2688390,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,deals on cat dental kits,,,,,,,,,,,,,,,,,,,,,2,2,10.5,1,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/beds-109459,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,dog bed chewy,,,,,,,,,,,,,,,,,,,,,1,1,20.0,0,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/beds-hideouts-156414,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"Small Pet Beds, Hideouts & Mats - Free shipping | Chewy",55,"Shop Chewy for low prices and the best Beds & Hideouts! We carry a large selection and the top brands like Kaytee, Nibbles by A&E Cage Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,small pet beds hideouts and mats,"Small Pet Beds, Hideouts & Mats",1,beds-hideouts,True,True,False,False,True,False,False,False,39,327,3,,,,,,,3,3,10.0,2,1,0,0,1.0
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/medicated-shampoos-for-cats-3419686,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,medicated shampoos and topicals for cats,,,,,,,,,,,,,,,,,,,,,1,1,13.0,0,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/dry-cat-food-for-sensitive-skin-3933158,False,Push near-page-one terms with title/H1/meta/linking improvements.,2,,,,,deals on sensitive skin dry cat food,,,,,,,,,,,,,,,,,,,,,4,3,22.5,0,2,2,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/shop-by-dietary-need-3933014,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,shop cat food by dietary need on sale,,,,,,,,,,,,,,,,,,,,,2,2,14.0,0,1,0,1,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/cat-wound-care-2687518,False,Push near-page-one terms with title/H1/meta/linking improvements.,1,,,,,deals on cat first aid wound care,,,,,,,,,,,,,,,,,,,,,2,2,11.5,1,1,0,0,
Deals,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/deals/dog-tear-stain-removers-2688022,False,Push near-page-one terms with title/H1/meta/linking improvements.,2,,,,,deals on dog tear stain treatments,,,,,,,,,,,,,,,,,,,,,2,1,19.5,0,2,0,0,
