page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/cerenia-dog-anti-anxiety-medicine_c11580_f1v250834,True,Set the canonical to the normalized self URL for eligible pages.,,CERENIA FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Cerenia for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cerenia for Dogs for your pet.",213,,Cerenia for Dogs,1,cerenia-dog-anti-anxiety-medicine,,False,False,False,True,False,False,False,1,314,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/rope-interactive-toys-dogs_c319_f7v63632,True,Set the canonical to the normalized self URL for eligible pages.,,INTERACTIVE ROPE TOYS FOR DOGS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Interactive Rope Toys For Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Interactive Rope Toys For Dogs for your pet.",241,,Interactive Rope Toys For Dogs,1,rope-interactive-toys-dogs,,False,False,False,True,False,False,False,48,311,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/hemp-rope-tug-toys-dogs_c321_f7v17025,True,Set the canonical to the normalized self URL for eligible pages.,,HEMP ROPE DOG TOYS (Free Shipping) | Chewy,42,"Shop Chewy for the best deals on Hemp Rope Dog Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Hemp Rope Dog Toys for your pet.",217,,Hemp Rope Dog Toys,1,hemp-rope-tug-toys-dogs,,False,False,False,True,False,False,False,27,322,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/parrot-food-toys_c12966_f164v202868,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,parrot-food-toys,,True,False,False,False,False,False,False,86,0,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/american-journey-cat-treats_c391_f1v121134,True,Set the canonical to the normalized self URL for eligible pages.,,AMERICAN JOURNEY CAT TREATS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on American Journey Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right American Journey Cat Treats for your pet.",235,,American Journey Cat Treats,1,american-journey-cat-treats,,True,False,False,True,False,False,False,181,321,2,,,,,,,,,,,,,,1.0
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/mint-cat-treats_c391_f4v60646,True,Set the canonical to the normalized self URL for eligible pages.,,MINT CAT TREATS (Free Shipping) | Chewy,39,"Shop Chewy for the best deals on Mint Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Mint Cat Treats for your pet.",211,,Mint Cat Treats,1,mint-cat-treats,,False,False,False,True,False,False,False,147,336,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/dry-food-senior-cats_c388_f5v9063,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,dry-food-senior-cats,,True,False,False,False,False,False,False,293,0,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/horse-first-aid-supplies_c1691_f50v68823,True,Set the canonical to the normalized self URL for eligible pages.,,,,,,,,0,horse-first-aid-supplies,,True,False,False,False,False,False,False,425,0,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/high-calcium-chicken-feed_c951_f3v695443,True,Set the canonical to the normalized self URL for eligible pages.,,HIGH CALCIUM CHICKEN FEED (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on High Calcium Chicken Feed and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High Calcium Chicken Feed for your pet.",231,,High Calcium Chicken Feed,1,high-calcium-chicken-feed,,False,False,False,True,False,False,True,17,320,2,,,,,,,,,,,,,,
HVF,Index,Missing self-referencing canonical,https://www.chewy.com/f/acurel-fish-supplies_c885_f1v496101,True,Set the canonical to the normalized self URL for eligible pages.,,ACUREL FISH SUPPLIES (Free Shipping) | Chewy,44,"Shop Chewy for the best deals on Acurel Fish Supplies and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Acurel Fish Supplies for your pet.",221,,Acurel Fish Supplies,1,acurel-fish-supplies,,False,False,False,True,False,False,False,91,314,2,,,,,,,,,,,,,,
