page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/nfl-8486,True,Move important URLs closer to major crawl paths.,6,"NFL Dog & Cat Gear - Jerseys, Collars & More (Free Shipping)| Chewy",67,"Get your pet game day ready with Chewy's NFL dog and cat gear. We carry NFL dog jerseys, bandanas and more from all your favorite NFL teams. FREE shipping on orders $49+ and the BEST customer service!",200,nfl pet gear,NFL Pet Gear,1,nfl,True,True,False,False,True,False,False,False,32,392,6,,,,,,,1,1,8.0,1,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/ncaa-8487,True,Move important URLs closer to major crawl paths.,6,"NCAA Pet Gear - Collars, Jerseys & More | Chewy",47,"Shop Chewy for low prices and the best NCAA products! We carry a large selection and the top brands like Littlearth, Pets First, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,ncaa pet gear,NCAA Pet Gear,1,ncaa,True,True,False,False,True,False,False,False,52,354,6,,,,,,,1,1,1.0,1,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/mlb-8488,True,Move important URLs closer to major crawl paths.,6,"MLB Pet Gear - Collars, Apparel & More | Chewy",46,"Get game day ready with Chewy's MLB pet gear. From MLB dog jerseys and toys to bandanas and other apparel, we carry the best MLB pet essentials to showcase team spirit. FREE shipping on orders $49+ and the BEST customer service 24/7!",233,mlb pet gear,MLB Pet Gear,1,mlb,True,True,False,False,True,False,False,False,8,349,6,,,,,,,1,1,6.0,1,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/nba-8489,True,Move important URLs closer to major crawl paths.,6,"NBA Pet Gear - Collars, Jerseys & More | Chewy",46,"Get game day ready with Chewy's NBA pet gear. From NBA dog jerseys and apparel to toys and collars, we carry the best NBA pet essentials to showcase team spirit. FREE shipping on orders $49+ and the BEST customer service 24/7!",226,nba pet gear,NBA Pet Gear,1,nba,True,True,False,False,True,False,False,False,13,349,6,,,,,,,1,1,2.0,1,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/nhl-8490,True,Move important URLs closer to major crawl paths.,6,"NHL Pet Gear - Collars, Jerseys & More | Chewy",46,"Get game day ready with Chewy's NHL pet gear. From NHL dog jerseys and apparel to toys and collars, we carry the best NHL pet essentials to showcase team spirit. FREE shipping on orders $49+ and the BEST customer service 24/7!",226,nhl pet gear,NHL Pet Gear,1,nhl,True,True,False,False,True,False,False,False,8,348,6,,,,,,,1,1,2.0,1,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/football-shop-15520,True,Move important URLs closer to major crawl paths.,6,Football Shop - Free shipping | Chewy,37,"Shop Chewy for low prices and the best Football Shop! We carry a large selection and the top brands like Littlearth, Pets First, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Football Shop,1,football-shop,True,True,False,False,True,False,False,False,110,350,6,,,,,,,,,,,,,,2.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/baseball-shop-120262,True,Move important URLs closer to major crawl paths.,6,Baseball Shop - Free shipping | Chewy,37,"Shop Chewy for low prices and the best Baseball Shop! We carry a large selection and the top brands like Sassy Woof, Pets First, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Baseball Shop,1,baseball-shop,True,True,False,False,True,False,False,False,45,343,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/hockey-shop-120294,True,Move important URLs closer to major crawl paths.,6,Hockey Shop - Free shipping | Chewy,35,"Shop Chewy for low prices and the best Hockey Shop! We carry a large selection and the top brands like Littlearth, Pets First, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,,Hockey Shop,1,hockey-shop,True,True,False,False,True,False,False,False,44,342,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/sports-toys-13948,True,Move important URLs closer to major crawl paths.,6,Sports Pet Toys - Free shipping | Chewy,39,"Shop Chewy for low prices and the best Sports Toys! We carry a large selection and the top brands like Pets First, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",231,sports pet toys,Sports Pet Toys,1,sports-toys,True,True,False,False,True,False,False,False,35,344,6,,,,,,,2,2,10.5,1,1,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/soccer-pet-gear-3898758,True,Move important URLs closer to major crawl paths.,6,World Cup & Soccer Gear for Pets | Chewy,40,"Shop pet soccer jerseys, scarves & toys at Chewy. Find officially licensed FIFA pet fan gear & cheer on your favorite team at the World Cup.",140,,Soccer Gear for Pets,1,soccer-pet-gear,True,True,False,False,True,False,False,True,44,357,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/dog-123694,True,Move important URLs closer to major crawl paths.,6,Dog Bowls & Feeders - Free shipping | Chewy,43,"Shop Chewy for low prices and the best Dog products! We carry a large selection and the top brands like SpunkyJunky, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",233,,Dog Bowls & Feeders,1,dog,True,True,False,False,True,False,False,False,25,347,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/cat-123702,True,Move important URLs closer to major crawl paths.,6,Cat Bowls & Feeders - Free shipping | Chewy,43,"Shop Chewy for low prices and the best Cat products! We carry a large selection and the top brands like Frisco, PetRageous Designs, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Bowls & Feeders,1,cat,True,True,False,False,True,False,False,False,28,347,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/pajamas-11508,True,Move important URLs closer to major crawl paths.,6,Dog Halloween Pajamas (Free Shipping) | Chewy,45,Shop Chewy for the best dog Halloween pajamas. Get your pup in the Halloween spirit while staying warm and cozy with our Halloween PJs for dogs and puppies alike. Free shipping and the BEST customer service!,207,halloween dog pajamas,Halloween Dog Pajamas,1,pajamas,True,True,False,False,True,False,False,False,6,315,6,,,,,,,1,1,4.0,1,0,0,0,5.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/thanksgiving-2783,True,Move important URLs closer to major crawl paths.,6,"Thanksgiving Pet Products: Food, Costumes, Treats - Free Ship | Chewy",69,"Shop Chewy for low prices on Thanksgiving pet products. We carry a wide selection of Thanksgiving pet products like Thanksgiving dog and cat food, treats, costumes and more to help your pet get into the Thanksgiving spirit. *FREE* shipping on orders $49+ and the BEST customer service!",285,thanksgiving dog costume,Thanksgiving Shop,1,thanksgiving,True,True,False,False,True,False,False,False,16,349,6,,,,,,,1,1,18.0,0,1,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/food-treats-108972,True,Move important URLs closer to major crawl paths.,6,Thanksgiving Food & Treats for Dogs - Free shipping | Chewy,59,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fruitables, Merrick, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,,Thanksgiving Food & Treats for Dogs,1,food-treats,True,True,False,False,True,False,False,False,3,340,6,,,,,,,,,,,,,,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/toys-108980,True,Move important URLs closer to major crawl paths.,6,Thanksgiving Toys for Dogs - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Chew King, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",232,thanksgiving toys for dogs,Thanksgiving Toys for Dogs,1,toys,True,True,False,False,True,False,False,False,3,341,6,,,,,,,2,2,3.0,2,0,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/apparel-accessories-108996,True,Move important URLs closer to major crawl paths.,6,Thanksgiving Apparel & Accessories for Dogs - Free shipping | Chewy,67,"Shop Chewy for low prices and the best Apparel & Accessories! We carry a large selection and the top brands like Country Brook Petz, The Worthy Dog, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",257,thanksgiving apparel and accessories for dogs,Thanksgiving Apparel & Accessories for Dogs,1,apparel-accessories,True,True,False,False,True,False,False,False,3,341,6,,,,,,,2,2,8.0,1,0,0,1,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/glasses-tumblers-13081,True,Move important URLs closer to major crawl paths.,6,Dog Glasses & Tumblers - Free shipping | Chewy,46,"Shop Chewy for low prices and the best Glasses & Tumblers! We carry a large selection and the top brands like E&S PETS, The Memory Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,,Dog Glasses & Tumblers,1,glasses-tumblers,,False,False,False,True,False,False,False,44,343,6,,,,,,,,,,,,,,
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/water-bottles-13331,True,Move important URLs closer to major crawl paths.,6,Dog Water Bottles - Free shipping | Chewy,41,"Shop Chewy for low prices and the best Water Bottles! We carry a large selection and the top brands like The Memory Company, S'ip by S'well, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,,Dog Water Bottles,1,water-bottles,,False,False,False,True,False,False,False,6,327,6,,,,,,,,,,,,,,
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/best-selling-dog-gates-13734,True,Move important URLs closer to major crawl paths.,6,Best-Selling Dog Gates - Free shipping | Chewy,46,"Shop Chewy for low prices and the best Best-Selling Dog Gates! We carry a large selection and the top brands like Unipaws, Frisco, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",239,,Best-Selling Dog Gates,1,best-selling-dog-gates,,False,False,False,True,False,False,False,4,342,6,,,,,,,,,,,,,,
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/holiday-christmas-cat-sweaters-shirts-8454,True,Move important URLs closer to major crawl paths.,6,Cat Christmas & Holiday Sweaters (Free Shipping) | Chewy,56,Shop Chewy for the best cat Christmas sweaters & shirts. Include your kitty in your ugly holiday sweater competition with her own festive yet stylish cat ugly Christmas sweater!,177,cat christmas sweater,Holiday & Christmas Cat Sweaters and Shirts,1,holiday-christmas-cat-sweaters-shirts,True,True,False,False,True,False,False,False,3,340,6,,,,,,,5,5,7.4,3,2,0,0,1.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/holiday-christmas-cat-pajamas-8455,True,Move important URLs closer to major crawl paths.,6,Cat Holiday & Christmas Pajamas (Free Shipping) | Chewy,55,"Shop Chewy for the best cat Holiday & Christmas pajamas. Get your kitty in the Holiday spirit with warm and comfy cat PJs, and include her in your next Pajama party!",165,holiday and christmas cat pajamas,Holiday & Christmas Cat Pajamas,1,holiday-christmas-cat-pajamas,True,True,False,False,True,False,False,False,3,315,6,,,,,,,1,1,4.0,1,0,0,0,2.0
Browse,Links,Crawl depth too deep,https://www.chewy.com/b/holiday-christmas-cat-costumes-8456,True,Move important URLs closer to major crawl paths.,6,Cat Holiday & Christmas Costumes (Free Shipping) | Chewy,56,Shop Chewy for the best cat Holiday & Christmas costumes. Get your kitty in the Holiday spirit with comfortable costumes ranging from walking Santas to simple reindeer headpieces!,179,,Holiday & Christmas Cat Costumes,1,holiday-christmas-cat-costumes,True,True,False,False,True,False,False,False,3,325,6,,,,,,,,,,,,,,
