page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/reconcile-fluoxetine-hydrochloride/dp/191440,True,Rewrite descriptions that are too short or too long.,462,"RECONCILE (fluoxetine hydrochloride) Tablets for Dogs, 32-mg - Easy Refills | Chewy Rx",86,"Help your canine companion cope with separation anxiety by giving him Reconcile Tablets for Dogs. These flavored, chewable tablets are formulated with fluoxetine hydrochloride and are FDA-approved for the treatment of canine separation anxiety when combined with a behavior modification plan. Reconcile not only helps your pup stay calm during stressful moments of separation, but it can also help reduce harmful behavior and even make him more open to training.",462,,"Reconcile (fluoxetine hydrochloride) Tablets for Dogs, 32-mg, 30 tablets",1,reconcile-fluoxetine-hydrochloride,True,True,False,False,True,True,True,True,49,322,2,good,2101.0,good,0.08,,,,,,,,,,2.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/sileo-dexmedetomidine-oromucosal/dp/173139,True,Rewrite descriptions that are too short or too long.,396,"SILEO (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL - Easy Refills | Chewy Rx",102,"Sileo (dexmedetomidine oromucosal gel) is the first and only FDA-approved treatment for dogs that suffer from noise aversion. This medication is prescribed by your veterinarian to help calm your dog when your pet is frightened by loud noises. Common noise aversion triggers include fireworks, thunder, construction work, traffic or street noise, celebrations, vacuum cleaners and smoke detectors.",396,sileo,"Sileo (dexmedetomidine oromucosal) Oromucosal Gel for Dogs, 0.09-mg/mL, 3-mL",1,sileo-dexmedetomidine-oromucosal,True,True,False,False,True,True,True,True,61,319,2,good,2073.0,good,0.065,,,1,1,4.0,1,0,0,0,6.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/clomipramine-hydrochloride-generic/dp/396183,True,Rewrite descriptions that are too short or too long.,372,"CLOMIPRAMINE HYDROCHLORIDE (Generic) Tablets, 20 mg - Easy Refills | Chewy Rx",77,"Some furry friends have a very hard time being separated from their pet parents, but thankfully there are ways to help. Clomipramine Hydrochloride (Generic) Tablets is a prescriptions medication formulated to help reduce clinical signs of separation anxiety. It works by affecting serotonergic and noradrenergic neuronal transmission into your pets central nervous system.",372,,"Clomipramine Hydrochloride (Generic) Tablets, 20 mg, 30 tablets",1,clomipramine-hydrochloride-generic,True,False,False,False,True,True,True,True,87,325,2,,,,,,,,,,,,,,2.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/acepromazine-maleate-generic-tablets/dp/320693,True,Rewrite descriptions that are too short or too long.,356,"ACEPROMAZINE Maleate (Generic) Tablets for Dogs, 25-mg - Easy Refills | Chewy Rx",80,"Acepromazine Maleate is a prescription medication for dogs who need tranquilization. This medication is not a pain reliever but can be used to sedate animals for minor procedures, such as nail trims. It comes in an uncoated tablet form, so you can easily hide it in a pill pocket and give it as a tasty treat or disguise it in your dog's favorite wet food.",356,,"Acepromazine Maleate (Generic) Tablets for Dogs, 25-mg, 30 tablets",1,acepromazine-maleate-generic-tablets,True,False,False,False,True,True,True,True,43,322,2,,,,,,,,,,,,,,
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/cerenia-maropitant-citrate-tablets/dp/173067,True,Rewrite descriptions that are too short or too long.,470,"CERENIA (Maropitant Citrate) Tablets for Dogs, 16-mg - Easy Refills | Chewy Rx",78,"Cerenia is the first and only FDA-approved medication prescribed by veterinarians for dogs to help treat and help prevent vomiting caused by motion sickness. Each tablet is scored, allowing for easy and accurate dosing. As many as 1 in 5 dogs suffer from canine motion sickness, so whether you are taking your furry friend to the vet or going on a road trip together, Cerenia tablets are the number one choice among veterinarians to help stop your pal from feeling sick.",470,cerenia,"Cerenia (Maropitant Citrate) Tablets for Dogs, 16-mg, 4 tablets",1,cerenia-maropitant-citrate-tablets,True,True,False,False,True,True,True,True,371,324,2,good,2176.0,good,0.04,,,3,2,1.0,1,0,0,2,25.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/fluoxetine-generic-tablets-dogs-10-mg/dp/322086,True,Rewrite descriptions that are too short or too long.,561,"FLUOXETINE (Generic) Tablets, 10-mg - Easy Refills | Chewy Rx",61,"Fluoxetine is in the class of medications called selective serotonin reuptake inhibitors (SSRIs) that are prescribed for humans to treat a wide range of anxiety disorders (Major Depressive Disorder, Obsessive Compulsive Disorder, Bulimia Nervosa, and Panic Disorder). In companion animals, fluoxetine is used to alleviate their anxiety and helps to decrease their destructive, anxiety-related behaviors. Veterinarians prescribe fluoxetine in generic, proprietary (Prozac) and compounded formulations to dogs, cats and birds for a variety of behavioral problems.",561,,"Fluoxetine (Generic) Tablets, 10-mg, 30 tablets",1,fluoxetine-generic-tablets-dogs-10-mg,True,False,False,False,True,True,True,True,48,323,2,good,2286.0,good,0.065,,,,,,,,,,3.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/clomicalm-clomipramine-hcl-tablets/dp/323200,True,Rewrite descriptions that are too short or too long.,312,"CLOMICALM (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets - Easy Refills | Chewy Rx",90,Clomicalm is an oral medication prescribed by veterinarians to help control anxiety - including separation anxiety in dogs. These tablets can also be used as part of a behavior modification program. This medication comes in an oral tablet form and can be easily disguised in your canine companions favorite food.,312,,"Clomicalm (Clomipramine HCl) Tablets for Dogs, 80-mg, 30 tablets",1,clomicalm-clomipramine-hcl-tablets,True,False,False,False,True,True,True,True,27,322,2,,,,,,,,,,,,,,4.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/selegiline-hcl-generic-capsules-dogs/dp/3546358,True,Rewrite descriptions that are too short or too long.,290,"SELEGILINE HCl (Generic) Capsules, 5-mg - Easy Refills | Chewy Rx",65,"Selegiline is an oral prescription medication used to treat cognitive dysfunction and senility in older dogs. It can also be used to treat Cushing's disease when it is caused by a pituitary tumor. Its a generic alternative to Anipryl, and its the only FDA-approved drug for canine senility.",290,,"Selegiline HCl (Generic) Capsules, 5-mg, 60 Capsules",1,selegiline-hcl-generic-capsules-dogs,True,False,False,False,True,True,True,True,56,324,2,,,,,,,,,,,,,,1.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/clomipramine-hcl-compounded-capsule/dp/997382,True,Rewrite descriptions that are too short or too long.,211,"CLOMIPRAMINE HCL COMPOUNDED Capsule, 60 mg, 60 capsules for Veterinary use - Easy Refills | Chewy Rx",100,Clomipramine HCl is a tricyclic antidepressant that may be prescribed for a variety of behavior problems. Clomipramine HCl Compounded capsule is a blue and white elongated capsule made specifically for your pet.,211,,"Clomipramine HCl Compounded Capsule, 60 mg, 60 capsules for Veterinary use",1,clomipramine-hcl-compounded-capsule,True,False,False,False,True,True,True,True,66,329,2,,,,,,,,,,,,,,1.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/diphenhydramine-hcl-generic-capsules/dp/1069278,True,Rewrite descriptions that are too short or too long.,422,"DIPHENHYDRAMINE HCl (Generic) Capsules, 50-mg - Easy Refills | Chewy Rx",71,"Diphenhydramine HCI, commonly known as Benadryl is an antihistamine prescribed to help relieve allergy symptoms. Some of these symptoms may include coughing and itching caused by insect bites, pollen, house dust along with other allergy triggers. This medication may also help control vomiting and motion sickness and may be prescribed as a mild sedative to help treat muscle tremors caused by toxins or other medications.",422,,"Diphenhydramine HCl (Generic) Capsules, 50-mg, 120 capsules",1,diphenhydramine-hcl-generic-capsules,True,False,False,False,True,True,True,True,88,321,2,,,,,,,,,,,,,,1.0
PDP,Meta,Meta description length is not ideal,https://www.chewy.com/acepromazine-acepromazine-maleate/dp/219888,True,Rewrite descriptions that are too short or too long.,374,"ACEPROMAZINE (acepromazine maleate) Injectable for Dogs, Cats & Horses, 10-mg/mL, 50-mL multi-dose vial - Easy Refills | Chewy Rx",129,"Acepromazine Injectable is a rapid acting, 10mg/mL concentration injectable used as a preanesthetic and tranquilizer for dogs, cats and horses with a low order of toxicity. Can be used as an aid in controlling intractable animals during examination, treatment, grooming, x-ray and minor surgical procedures. Its rapid action and lack of hypnotic effect are added advantages.",374,,"Acepromazine (acepromazine maleate) Injectable for Dogs, Cats & Horses, 10-mg/mL, 50-mL multi-dose vial",1,acepromazine-acepromazine-maleate,True,True,False,False,True,True,True,True,143,318,2,,,,,,,,,,,,,,6.0
