page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/healthcare-8109,True,Use descriptive slugs that carry the page topic.,,Cat Healthcare Deals - Free shipping | Chewy,44,"Shop Chewy for low prices and the best Healthcare products! We carry a large selection and the top brands like Natura Petz Organics, Rx Vitamins, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",254,,Cat Healthcare Deals,1,healthcare,,False,False,False,True,False,False,False,394,356,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/cat-4320374,True,Use descriptive slugs that carry the page topic.,,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,,0,cat,True,True,False,False,True,False,False,True,325,346,2,,,,,,,,,,,,,,1.0
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/food-8099,True,Use descriptive slugs that carry the page topic.,,Dog Food Deals - Free shipping | Chewy,38,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Merrick, Purina ONE, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",234,,Dog Food Deals,1,food,,False,False,False,True,False,False,False,231,355,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/toys-8101,True,Use descriptive slugs that carry the page topic.,,Dog Toy Deals - Free shipping | Chewy,37,"Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Pets First, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",237,,Dog Toy Deals,1,toys,,False,False,False,True,False,False,False,841,358,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/treats-8100,True,Use descriptive slugs that carry the page topic.,,Dog Treats Deals - Free shipping | Chewy,40,"Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Blue Buffalo, Merrick, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Dog Treats Deals,1,treats,,False,False,False,True,False,False,False,319,360,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/grooming-8734,True,Use descriptive slugs that carry the page topic.,,Dog Grooming Deals - Free shipping | Chewy,42,"Shop Chewy for low prices and the best Grooming products! We carry a large selection and the top brands like Best Shot, Andis, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,,Dog Grooming Deals,1,grooming,,False,False,False,True,False,False,False,410,353,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/dog-4320278,True,Use descriptive slugs that carry the page topic.,,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,,0,dog,True,True,False,False,True,False,False,True,451,348,2,,,,,,,,,,,,,,1.0
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/healthcare-8102,True,Use descriptive slugs that carry the page topic.,,Dog Healthcare Deals - Free shipping | Chewy,44,"Shop Chewy for low prices and the best Healthcare products! We carry a large selection and the top brands like Healthy Breeds, Trilostane Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",258,,Dog Healthcare Deals,1,healthcare,,False,False,False,True,False,False,False,720,357,2,,,,,,,,,,,,,,
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/dog-4330022,True,Use descriptive slugs that carry the page topic.,,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,Dog Supplies,1,dog,True,True,False,False,True,False,False,True,83,351,2,,,,,,,,,,,,,,1.0
Deals,URL,URL slug is too generic,https://www.chewy.com/deals/cat-4330030,True,Use descriptive slugs that carry the page topic.,,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,Cat Supplies,1,cat,True,True,False,False,True,False,False,True,131,353,2,,,,,,,,,,,,,,1.0
