page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/chewy-made-170606,True,Update H1 templates to reflect the primary page intent.,chewy food for dogs,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/dreambone-8127,True,Update H1 templates to reflect the primary page intent.,dreambone dog treats,DreamBone - Free shipping | Chewy,33,Shop Chewy for low prices and the best DreamBone products! We carry a large selection and the top brands like DreamBone and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,dreambone dog treats,DreamBone,1,dreambone,True,True,False,False,True,False,False,False,298,340,2,,,,,,,2,1,8.5,2,0,0,0,1.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/woof-136430,True,Update H1 templates to reflect the primary page intent.,chewy pupsicle,Woof - Free shipping | Chewy,28,Shop Chewy for low prices and the best Woof products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chewy pupsicle,Woof Where wellness meets play,2,woof,True,True,False,False,True,False,False,False,340,345,2,good,1425.0,needs,0.11,,,1,1,1.0,1,0,0,0,19.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/okocat-7164,True,Update H1 templates to reflect the primary page intent.,okocat cat litter,Okocat - Free shipping | Chewy,30,Shop Chewy for low prices and the best Okocat products! We carry a large selection and the top brands like Okocat and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,222,okocat cat litter,Okocat,1,okocat,True,True,False,False,True,False,False,False,33,308,2,good,1387.0,good,0.034999999999999996,,,1,1,19.0,0,1,0,0,4.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/chuckit-6621,True,Update H1 templates to reflect the primary page intent.,chuckit! tug and toss,"Chuckit! Dog Toys - Deals & Low Prices, Free Shipping",53,Shop Chewy for low prices and the best Chuckit! products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,chuckit! tug and toss,Chuckit! Celebrate Fetch Season,2,chuckit,True,True,False,False,True,False,False,False,192,355,2,good,1512.0,good,0.035,,,7,7,10.0,3,3,0,1,25.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/credelio-quattro-159070,True,Update H1 templates to reflect the primary page intent.,,Credelio Quattro - Free shipping | Chewy,40,Shop Chewy for low prices and the best Credelio Quattro! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,,Credelio Quattro One tablet protects all month long 6-in-1 Parasite Protection Tough on Parasites Works Fast Where it Counts,5,credelio-quattro,True,True,False,False,True,False,False,False,32,313,2,good,1462.0,good,0.0,,,,,,,,,,5.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/marineland-7018,True,Update H1 templates to reflect the primary page intent.,marineland fish supplies,Marineland - Free shipping | Chewy,34,"Shop Chewy for low prices and the best Marineland products! We carry a large selection and the top brands like Marineland, Omega One, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",242,marineland fish supplies,Marineland,1,marineland,True,True,False,False,True,False,False,True,95,340,3,,,,,,,1,1,20.0,0,1,0,0,1.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/pedigree-7212,True,Update H1 templates to reflect the primary page intent.,pedigree dog food,Pedigree Dog Food & Treats (Free Shipping) | Chewy,50,Shop Chewy for low prices and the best Pedigree products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,pedigree dog food,Pedigree One Pouch. Single Serve.,2,pedigree,True,True,False,False,True,False,False,False,250,356,3,good,1757.0,good,0.085,,,2,2,16.0,1,0,1,0,5.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/nutro-7138,True,Update H1 templates to reflect the primary page intent.,nutro dog food,Nutro: Dog & Cat Food (Free Shipping) | Chewy,45,"Shop Chewy for low prices on Nutro Dog and Cat Food. We carry a wide selection of Nutro Dog and Cat Food for puppies, kittens, adult and senior pets in dry and wet forms and in a variety of flavors your pet will love. FREE shipping on orders $49+ and the BEST customer service!",277,nutro dog food,Nutro,1,nutro,True,True,False,False,True,False,False,False,219,346,3,good,2226.0,good,0.0,,,3,3,9.0,2,1,0,0,5.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/cesar-6599,True,Update H1 templates to reflect the primary page intent.,cesar dog food,Cesar Dog Food (Free Shipping) | Chewy,38,Shop Chewy for low prices and the best Cesar products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,231,cesar dog food,"Cesar Serve, Savor, or Save for Later",2,cesar,True,True,False,False,True,False,False,True,193,355,3,good,2131.0,good,0.0,,,1,1,,0,0,0,1,3.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/benebone-6513,True,Update H1 templates to reflect the primary page intent.,benebone dog toys,Benebone - Free shipping | Chewy,32,Shop Chewy for low prices and the best Benebone products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,benebone dog toys,Benebone,1,benebone,True,True,False,False,True,False,False,False,109,349,3,good,1428.0,good,0.06999999999999999,,,1,1,16.0,0,1,0,0,7.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/proviable-7133,True,Update H1 templates to reflect the primary page intent.,nutramax probiotics dogs,Nutramax Proviable - Free shipping | Chewy,42,Shop Chewy for low prices and the best Proviable products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,nutramax probiotics dogs,Nutramax Proviable,1,proviable,True,True,False,False,True,False,False,False,3,317,3,good,1394.0,good,0.045,,,1,1,29.0,0,0,1,0,6.0
Brand,H1,H1 does not align to main keyword or topic,https://www.chewy.com/brands/merrick-7048,True,Update H1 templates to reflect the primary page intent.,chewy merrick dog food,Merrick: Dog & Cat Food (Free Shipping) | Chewy,47,"Shop Chewy for low prices on Merrick dog and cat food and treats. We carry a wide selection of Merrick pet food including grain-free, classic, backcountry and more. FREE shipping on orders $49+ and the BEST customer service! Save an extra 5% with Autoship.",256,chewy merrick dog food,Merrick Merrick Fresh Selects,2,merrick,True,True,False,False,True,False,False,True,327,350,3,good,1975.0,good,0.005,,,1,1,1.0,1,0,0,0,7.0
