page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,URL,URL slug is too generic,https://www.chewy.com/f/delectables_f1v32446,True,Use descriptive slugs that carry the page topic.,,Delectables - Free shipping | Chewy,35,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Delectables,1,delectables,True,True,False,False,False,False,False,False,173,339,2,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/therapetmd_f1v31086,True,Use descriptive slugs that carry the page topic.,,TherapetMD - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,TherapetMD,1,therapetmd,True,True,False,False,False,False,False,False,215,307,2,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/casfuy_f1v431047,True,Use descriptive slugs that carry the page topic.,,Casfuy - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Casfuy,1,casfuy,True,True,False,False,False,False,False,False,162,339,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/wanpy_f1v28070,True,Use descriptive slugs that carry the page topic.,,Wanpy - Free shipping | Chewy,29,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Wanpy,1,wanpy,True,True,False,False,False,False,False,False,27,325,3,,,,,,,,,,,,,,
HVF,URL,URL slug is too generic,https://www.chewy.com/f/tweezerman_f1v20110,True,Use descriptive slugs that carry the page topic.,,Tweezerman - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Tweezerman,1,tweezerman,True,True,False,False,False,False,False,False,14,313,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/abdragons_f1v506877,True,Use descriptive slugs that carry the page topic.,,ABDragons - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,abdragons,ABDragons,1,abdragons,True,True,False,False,False,False,False,False,184,339,3,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/sungrow_f1v220074,True,Use descriptive slugs that carry the page topic.,,SunGrow - Free shipping | Chewy,31,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,SunGrow,1,sungrow,True,True,False,False,False,False,False,False,213,340,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/komodo_f1v364190,True,Use descriptive slugs that carry the page topic.,,Komodo - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Komodo,1,komodo,True,True,False,False,False,False,False,False,70,339,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/barkspark_f1v214546,True,Use descriptive slugs that carry the page topic.,,Bark&Spark - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Bark&Spark,1,barkspark,True,True,False,False,False,False,False,False,49,331,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/durvet_f1v433703,True,Use descriptive slugs that carry the page topic.,,Durvet - Free shipping | Chewy,30,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,durvet,Durvet,1,durvet,True,True,False,False,False,False,False,False,117,339,3,,,,,,,1,1,,0,0,0,1,3.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/rentacoop_f1v422384,True,Use descriptive slugs that carry the page topic.,,RentACoop - Free shipping | Chewy,33,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,RentACoop,1,rentacoop,True,True,False,False,False,False,False,False,87,339,3,,,,,,,,,,,,,,1.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/buddycheer_f1v28750,True,Use descriptive slugs that carry the page topic.,,BuddyCheer - Free shipping | Chewy,34,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,BuddyCheer,1,buddycheer,True,True,False,False,False,False,False,False,20,322,3,,,,,,,,,,,,,,2.0
HVF,URL,URL slug is too generic,https://www.chewy.com/f/standlee_f1v468575,True,Use descriptive slugs that carry the page topic.,,Standlee - Free shipping | Chewy,32,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,standlee,Standlee,1,standlee,True,True,False,False,False,False,False,False,30,329,3,,,,,,,1,1,26.0,0,0,1,0,1.0
