page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/48-inch-dog-kennels,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,48 inch dog kennels,,,,,,,,,,,,,,,,,,,,,4,4,13.75,2,0,2,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/batman-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,batman dog toy,,,,,,,,,,,,,,,,,,,,,2,2,5.5,2,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/burger-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,burger cat toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/caterpillar-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,caterpillar dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/hot-chocolate-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,hot chocolate dog toy,,,,,,,,,,,,,,,,,,,,,2,2,3.0,2,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/coca-cola-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,diet coke dog toy,,,,,,,,,,,,,,,,,,,,,2,2,1.0,2,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-tent,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog tent,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-toothpaste-that-removes-tartar,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog toothpaste that removes tartar,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-toy-hedgehog,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog toy hedgehog,,,,,,,,,,,,,,,,,,,,,2,2,6.5,1,1,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/edible-puppy-bones,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,edible puppy bones,,,,,,,,,,,,,,,,,,,,,2,2,1.0,1,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/extra-large-dog-house,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,large dog house,,,,,,,,,,,,,,,,,,,,,2,2,1.5,2,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/flamingo-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,flamingo cat toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/flamingo-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,flamingo dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/indiana-jones-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,indiana jones dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/kermit-the-frog-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,kermit the frog dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/large-cat-kennels,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,large cat kennels,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/mermaid-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,mermaid dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/mouse-treat-cat,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,mouse treat cat,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/rabbit-treat-dispenser,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,rabbit treat dispenser,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/shrek-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,shrek cat toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/shrimp-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,shrimp dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/snoopy-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,snoopy cat toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/stitch-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,stitch cat toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/swan-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,swan dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/thermoplastic-rubber-dog-toys,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,thermoplastic rubber dog toys,,,,,,,,,,,,,,,,,,,,,2,2,1.0,1,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/vibrating-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,vibrating dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/vinyl-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,vinyl dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/winnie-the-pooh-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,winnie the pooh dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/woody-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,woody dog toy,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/yeast-free-dog-food,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,yeast free dog food,,,,,,,,,,,,,,,,,,,,,1,1,1.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/bulk-dog-supplies,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,bulk dog treats,,,,,,,,,,,,,,,,,,,,,9,9,24.33,0,1,8,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/double-dog-crate,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,double dog crate,,,,,,,,,,,,,,,,,,,,,5,5,17.2,2,1,2,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-crate-with-divider,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog crate,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/xxl-dog-crate,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,xxl dog crate,,,,,,,,,,,,,,,,,,,,,2,2,16.5,1,0,1,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/2-cat-carrier,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,2 cat carrier,,,,,,,,,,,,,,,,,,,,,4,4,8.67,3,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/airline-approved-cat-carriers,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cat carrier chewy,,,,,,,,,,,,,,,,,,,,,3,3,21.67,0,1,2,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/hard-pet-carrier,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,hard pet carrier,,,,,,,,,,,,,,,,,,,,,5,5,15.2,3,0,2,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-ramp-for-bed,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog ramp,,,,,,,,,,,,,,,,,,,,,1,1,8.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-ramp-up-to-bed,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog ramp,,,,,,,,,,,,,,,,,,,,,1,1,12.0,0,1,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/small-dog-ramp-for-couch,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog ramp,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/cactus-cat-scratcher,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cactus cat scratcher,,,,,,,,,,,,,,,,,,,,,2,2,14.0,0,2,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/cat-scratcher-wave,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cat scratcher wave,,,,,,,,,,,,,,,,,,,,,2,2,11.5,1,1,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/indoor-dog-kennels,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,indoor dog kennels,,,,,,,,,,,,,,,,,,,,,3,3,14.0,0,2,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/portable-dog-kennels,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,portable dog kennels,,,,,,,,,,,,,,,,,,,,,3,3,16.67,1,1,1,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/double-dog-kennel,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog kennels,,,,,,,,,,,,,,,,,,,,,2,2,23.5,0,0,2,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/double-dog-stroller,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy dog stroller,,,,,,,,,,,,,,,,,,,,,3,2,24.0,0,0,1,2,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/royal-canin-senior-dog-food,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,royal canin senior dog food,,,,,,,,,,,,,,,,,,,,,2,2,14.0,1,0,1,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/large-cat-strollers,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,large cat strollers,,,,,,,,,,,,,,,,,,,,,2,2,5.0,1,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/aquarium-ornaments-caves,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,aquarium ornaments caves,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/cat-carrier-liner,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cat carrier liner,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/champagne-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,champagne cat toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/chicken-feed-with-antibiotics,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chicken feed with antibiotics,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/cow-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cow dog toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-harness-with-pockets,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog harness with pockets,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dog-water-bottle-crate,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dog water bottle crate,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dragon-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dragon cat toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/dumbo-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,dumbo dog toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/eeyore-dog-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,eeyore dog toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/fish-toys-for-cats,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,fish toys for cats,,,,,,,,,,,,,,,,,,,,,3,3,5.67,2,1,0,0,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/harry-potter-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,harry potter cat toy,,,,,,,,,,,,,,,,,,,,,2,2,2.0,1,0,0,1,
HVSP,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/sp/lasagna-cat-toy,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,lasagna cat toy,,,,,,,,,,,,,,,,,,,,,1,1,2.0,1,0,0,0,
