page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/products-by-dog-breed_s142470,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Top Picks for Products by Dog Breeds 2026 | Chewy,49,Checkout Today's Best Products by Dog Breed Supplies. Our customers believe that these are the Best Products by Dog Breed products out there.,141,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds,1,products-by-dog-breed,True,True,False,False,True,False,False,False,318249,422,1,,,,,,,4,4,18.33,1,0,2,1,1.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/dog-supplies_s100968,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Dog Supplies 2026 | Chewy,30,Checkout Today's Best Dog Supplies. Our customers believe that these are the Best Dog products out there.,105,chewy dog supplies,Best Dog Supplies,1,dog-supplies,True,True,False,False,True,False,False,False,318249,351,1,good,1073.0,good,0.0,,,10,9,19.67,0,2,1,7,6.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/cat-supplies_s112080,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Cat Supplies 2026 | Chewy,30,Checkout Today's Best Cat Supplies. Our customers believe that these are the Best Cat products out there.,105,chewy cat,Best Cat Supplies,1,cat-supplies,True,True,False,False,True,False,False,False,318249,349,1,,,,,,,14,13,14.07,8,1,5,0,4.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/horse-supplies_s123854,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Horse Supplies 2026 | Chewy,32,Checkout Today's Best Horse Supplies. Our customers believe that these are the Best Horse products out there.,109,chewy horse,Best Horse Supplies,1,horse-supplies,True,True,False,False,True,False,False,False,318249,334,1,,,,,,,2,2,2.0,2,0,0,0,5.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/fish-aquarium-supplies_s121446,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Aquarium Accessories 2026 | Chewy,38,Checkout Today's Best Fish & Aquarium Supplies. Our customers believe that these are the Best Fish & Aquarium products out there.,129,chewy fish tank,Best Aquarium Accessories,1,fish-aquarium-supplies,True,True,False,False,True,False,False,False,318249,339,1,,,,,,,2,2,6.5,2,0,0,0,1.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/reptile-supplies_s122326,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Reptile Supplies 2026 | Chewy,34,Checkout Today's Best Reptile Supplies. Our customers believe that these are the Best Reptile products out there.,113,chewy reptile,Best Reptile Supplies,1,reptile-supplies,True,True,False,False,True,False,False,False,318249,350,1,,,,,,,1,1,2.0,1,0,0,0,3.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/bird-supplies_s122318,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Bird Accessories 2026 | Chewy,34,Checkout Today's Best Bird Supplies. Our customers believe that these are the Best Bird products out there.,107,,Best Bird Accessories,1,bird-supplies,True,True,False,False,True,False,False,False,318249,342,1,,,,,,,,,,,,,,1.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/small-animal-supplies_s121454,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/chicken-treats_s124238,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Chicken Treats 2026: According to Reviews | Chewy,54,Checkout Today's Best Chicken Treats. Our customers believe that these are the Best Chicken Treats products out there.,118,,Best Treats For Chickens,1,chicken-treats,True,True,False,False,True,False,False,False,15,337,2,,,,,,,,,,,,,,1.0
Top Picks,Speed,INP measurement missing,https://www.chewy.com/best/chicken-feeders_s124382,True,"Add INP from CrUX, PageSpeed, or Botify exports.",,Best Chicken Feeders 2026: According to Reviews | Chewy,55,Checkout Today's Best Chicken Feeders. Our customers believe that these are the Best Chicken Feeders products out there.,120,,Best Chicken Feeders,1,chicken-feeders,True,True,False,False,True,False,False,True,245,337,2,,,,,,,,,,,,,,1.0
