page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/3449830,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,degu beds hideouts and mats,,,,,,,,,,,,,,,,,,,,,4,4,5.5,3,1,0,0,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/rawhide-for-dogs-3939606,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,black friday deals on rawhide dog chews,,,,,,,,,,,,,,,,,,,,,2,2,26.5,0,0,2,0,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/104902,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,2,2,29.0,0,0,1,1,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/antlers-for-dogs-3939670,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,cyber week deals on antler dog chews,,,,,,,,,,,,,,,,,,,,,2,2,28.0,0,0,1,1,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/cat-109447,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,top rated cat leashes collars bowls and id tags by chewy,,,,,,,,,,,,,,,,,,,,,1,1,6.0,1,0,0,0,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/id-tags-collars-leashes-134374,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,2,18.0,0,1,1,0,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/id-tags-collars-leashes-129398,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,top rated dog leashes collars and id tags by chewy,,,,,,,,,,,,,,,,,,,,,2,1,7.0,1,0,0,1,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-3939382,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/freeze-dried-dehydrated-treats-134204,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,chewy exclusive freeze-dried and dehydrated dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
Deals,Ranking Keywords,Ranking URL is not in Botify crawl,https://www.chewy.com/deals/beds-crates-containment-132726,False,"Review crawl coverage, URL normalization, and whether ranking URLs should be in the crawl denominator.",not matched,,,,,top rated dog beds crates and gear by chewy,,,,,,,,,,,,,,,,,,,,,1,1,9.0,1,0,0,0,
