page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/cat-4320374,True,Make titles unique at the page/template level.,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,,0,cat,True,True,False,False,True,False,False,True,325,346,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/treats-8100,True,Make titles unique at the page/template level.,Dog Treats Deals - Free shipping | Chewy,Dog Treats Deals - Free shipping | Chewy,40,"Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Blue Buffalo, Merrick, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",238,,Dog Treats Deals,1,treats,,False,False,False,True,False,False,False,319,360,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/dog-4320278,True,Make titles unique at the page/template level.,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,,0,dog,True,True,False,False,True,False,False,True,451,348,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/wickens-wicked-reptiles-chewy-150918,True,Make titles unique at the page/template level.,Wickens Wicked Reptiles Chewy Storefront - Free shipping | Chewy,Wickens Wicked Reptiles Chewy Storefront - Free shipping | Chewy,64,Shop Chewy for low prices and the best Wickens Wicked Reptiles Chewy Storefront! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,257,,Wickens Wicked Reptiles Chewy Storefront Shop More on Chewy,2,wickens-wicked-reptiles-chewy,False,False,False,False,True,False,False,False,66,369,2,,,,,,,,,,,,,,
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/dog-4330022,True,Make titles unique at the page/template level.,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,Dog Supplies,1,dog,True,True,False,False,True,False,False,True,83,351,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/cat-4330030,True,Make titles unique at the page/template level.,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,Cat Supplies,1,cat,True,True,False,False,True,False,False,True,131,353,2,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/20-off-your-first-pharmacy-order-12577,True,Make titles unique at the page/template level.,Save on your first pharmacy order - Free shipping | Chewy,Save on your first pharmacy order - Free shipping | Chewy,57,"Shop Chewy for low prices and the best 20% off your first Pharmacy order! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",279,,Save on your first pharmacy order,1,20-off-your-first-pharmacy-order,,False,False,False,True,False,False,False,99,359,3,,,,,,,,,,,,,,
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/food-4330046,True,Make titles unique at the page/template level.,Cat Food: Best Cat Food from Top Brands on Chewy,Cat Food: Best Cat Food from Top Brands on Chewy,48,"Shop Chewy Cat Food and discover the best cat food brands like Hills Science Diet, Royal Canin, Orijen, Tiki Cat and more. Get free shipping today on orders $49+!",162,,Cat Food,1,food,True,True,False,False,True,False,False,True,99,360,3,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/litter-4330062,True,Make titles unique at the page/template level.,Cat Litter: Best Cat Litter & Kitty Litter Brands | Chewy,Cat Litter: Best Cat Litter & Kitty Litter Brands | Chewy,57,"For the best cat litter look no further than Chewy. We carry a variety of cat litter types such as clay, odor-control and biodegradable, from top rated cat litter brands like Dr. Elsey’s, World’s Best, Tidy Cats, and more. *FREE* shipping on orders $49+, low prices and the BEST customer service!",296,,Cat Litter,1,litter,True,True,False,False,True,False,False,True,12,330,3,,,,,,,,,,,,,,1.0
Deals,Meta,Duplicate page title,https://www.chewy.com/deals/health-pharmacy-4330078,True,Make titles unique at the page/template level.,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy","Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Purina ONE, DentaLife, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,15,342,3,,,,,,,,,,,,,,1.0
