page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/turkey-flavored-cat-treats_c391_f4v59637,True,Rewrite titles that are too short or too long while keeping the main topic clear.,25,TURKEY CAT TREATS | CHEWY,25,"Shop Chewy for the best deals on Turkey flavored Cat Treats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Turkey flavored Cat Treats for your pet.",233,turkey flavored crunchy cat treats,Turkey Cat Treats,1,turkey-flavored-cat-treats,True,True,False,False,True,False,False,False,248,383,2,,,,,,,1,1,4.0,1,0,0,0,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/allergy-treats-cats_c391_f50v651006,True,Rewrite titles that are too short or too long while keeping the main topic clear.,23,ALLERGY TREATS FOR CATS,23,"Shop Cat Allergy Treats including hypoallergenic cat treats at Chewy. We offer a wide selection from top brands like Sprankles, Nature's Diet and more. Get free shipping on $49+!",178,,Allergy Treats for Cats,1,allergy-treats-cats,True,True,False,False,True,False,False,False,189,344,2,,,,,,,,,,,,,,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/treats-cats-kidney-disease_c391_f50v63773,True,Rewrite titles that are too short or too long while keeping the main topic clear.,25,KIDNEY SUPPORT CAT TREATS,25,Shop treats for cats with kidney disease and cat treats for renal support on Chewy. Get free shipping on orders $49+ and save today with Autoship!,146,,Kidney Support Cat Treats,1,treats-cats-kidney-disease,True,True,False,False,True,False,False,False,128,328,2,,,,,,,,,,,,,,2.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/respiratory-care-horse-vitamins_c1692_f50v63780,True,Rewrite titles that are too short or too long while keeping the main topic clear.,69,RESPIRATORY CARE HORSE VITAMINS & SUPPLEMENTS (Free Shipping) | Chewy,69,"Shop Chewy for the best deals on Respiratory Care Horse Vitamins & Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Respiratory Care Horse Vitamins & Supplements for your pet.",271,horse respiratory supplements,Respiratory Care Horse Vitamins & Supplements,1,respiratory-care-horse-vitamins,True,False,False,False,True,False,False,False,13,362,2,,,,,,,1,1,23.0,0,0,1,0,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/immune-support-horse-vitamins_c1692_f50v63772,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,IMMUNE SUPPORT HORSE VITAMINS & SUPPLEMENTS (Free Shipping) | Chewy,67,"Shop Chewy for the best deals on Immune Support Horse Vitamins & Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Immune Support Horse Vitamins & Supplements for your pet.",267,horse immune supplements for sensitive skin,Immune Support Horse Vitamins & Supplements,1,immune-support-horse-vitamins,True,False,False,False,True,False,False,False,38,368,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/pea-free-dry-cat-food_c388_f3v375787,True,Rewrite titles that are too short or too long while keeping the main topic clear.,29,PEA FREE DRY CAT FOOD | CHEWY,29,"Browse pea free dry cat food made without legumes for cats with specific dietary needs. Find balanced recipes from Instinct, Merrick, Tiki Cat & more.",150,dry cat food without peas,Pea Free Dry Cat Food,1,pea-free-dry-cat-food,True,True,False,False,True,False,False,True,109,390,2,,,,,,,2,2,6.0,2,0,0,0,5.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/bottom-feeder-fish-tank-decor_c1737_f54v68197,True,Rewrite titles that are too short or too long while keeping the main topic clear.,67,BOTTOM FEEDER FISH TANK DECOR & ACCESSORIES (Free Shipping) | Chewy,67,"Shop Chewy for the best deals on Bottom Feeder Fish Tank Decor & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Bottom Feeder Fish Tank Decor & Accessories for your pet.",267,bottom feeder fish tank decor,Bottom Feeder Fish Tank Decor & Accessories,1,bottom-feeder-fish-tank-decor,True,True,False,False,True,False,False,False,62,359,2,,,,,,,1,1,1.0,1,0,0,0,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/horse-calming_c1691_f50v13800,True,Rewrite titles that are too short or too long while keeping the main topic clear.,21,HORSE CALMING | CHEWY,21,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Horse Calming,1,horse-calming,True,True,False,False,True,False,False,False,36,321,2,,,,,,,,,,,,,,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/horse-ulcer-treatment_c1691_f50v63768,True,Rewrite titles that are too short or too long while keeping the main topic clear.,29,HORSE ULCER TREATMENT | CHEWY,29,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Horse Ulcer Treatment,1,horse-ulcer-treatment,True,True,False,False,True,False,False,False,36,333,2,,,,,,,,,,,,,,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/hoof-health_c1691_f50v85202,True,Rewrite titles that are too short or too long while keeping the main topic clear.,19,HOOF HEALTH | CHEWY,19,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Hoof Health,1,hoof-health,True,True,False,False,True,False,False,False,36,357,2,,,,,,,,,,,,,,1.0
HVF,Meta,Page title length is not ideal,https://www.chewy.com/f/senior-horse-health_c1691_f172v596128,True,Rewrite titles that are too short or too long while keeping the main topic clear.,27,SENIOR HORSE HEALTH | CHEWY,27,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Senior Horse Health,1,senior-horse-health,True,True,False,False,True,False,False,False,31,319,2,,,,,,,,,,,,,,1.0
