page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.665,"Dog Care Articles, Tips, Information, & Guides | Chewy",54,"Your go-to hub for trusted tips on dog care, training, health, and more. Explore resources every dog parent should know. Discover dog care tips, articles, and guides packed with trusted information on training, grooming, nutrition, and more from the experts of Chewy Education.",277,dog,Dog,1,dog,True,True,False,False,False,False,False,False,318249,356,1,good,2251.0,poor,0.665,,,6,5,12.8,1,4,0,1,11.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/food-and-nutrition,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.705,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/health-and-wellness,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.94,"Dog Health: Symptoms, Causes, Treatment Options & More | Chewy",62,"Learn how to recognize dog health symptoms, understand their causes, and explore treatment options to support your dog’s long-term wellness.",140,chewy dog,Dog Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,328,1,good,2018.0,poor,0.94,,,3,3,12.0,0,1,0,2,6.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/new-dog,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.6699999999999999,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/training-and-behavior,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.675,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/cat,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.6699999999999999,"Cat Care Tips, Guides, and Helpful Information | Chewy",54,"Your central hub for trusted tips on cat care, behavior, health, and more. Start here for all things feline. Learn cat care tips, health guides, and key information to help your feline live a happy, healthy life. Ideal for new and seasoned cat parents.",252,cat,Cat,1,cat,True,True,False,False,False,False,False,False,318249,346,1,good,2163.0,poor,0.6699999999999999,,,5,5,22.75,0,1,3,1,8.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/cat/new-cat,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.7,"New Cat Tips on Kitten Needs, Adoption Adjustment & More | Chewy",64,"Just brought home a new cat or kitten? The New Cat Hub offers tips to help you get started. Learn how to welcome a kitten or adopted cat with tips on routines, socialization, feeding, litter training, and creating a safe home environment. the right way.",253,,New Cat,1,new-cat,True,True,False,False,False,False,False,False,318249,320,1,good,2027.0,poor,0.7,,,,,,,,,,4.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/new-dog/irish-dog-names,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.1,400 Irish Dog Names for Your Lucky Pup | Chewy,46,"Whether you’re Irish or just love Gaelic culture, we found the best Irish names for male and female dogs including those that are cute, unique and badass.",154,irish names for dogs,400 Irish Dog Names for Your Lucky Pup,1,irish-dog-names,True,True,False,False,False,False,False,False,8,336,2,good,2374.0,needs,0.1,,,3,3,3.33,3,0,0,0,194.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/dog/general/best-family-dogs,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.1,The 25 Best Family Dogs for Homes With Kids | Chewy,51,"Looking for the best family dogs to play with your kids? Check out these 25 good family dog breeds, from Golden Retrievers to Labradors.",136,best puppy for family,The 25 Best Family Dogs for Homes With Kids,1,best-family-dogs,True,True,False,False,False,False,False,False,113,356,2,good,2361.0,needs,0.1,,,29,26,18.73,3,11,8,7,117.0
Editorial,Speed,CLS is not good,https://www.chewy.com/education/cat/training-and-behavior/behavior-pet-facts-why-do-cats-purr,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.1,Why Do Cats Purr? Here's What The Experts Say | Chewy,53,"There are several reasons why cats purr, ranging from contentment to potential illness. Here’s how to tell when your cat's purring is normal.",141,why do cats purr,Why Do Cats Purr? Here’s What Experts Say,1,behavior-pet-facts-why-do-cats-purr,True,True,False,False,False,False,False,False,15,317,2,needs,2616.0,needs,0.1,,,5,5,21.0,1,1,3,0,18.0
