page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/dog-deals-2733,True,Update URL patterns so the slug reflects the primary search intent.,coupons chewy,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/todays-deals-2723,True,Update URL patterns so the slug reflects the primary search intent.,chewy promo code,"Today's Deals: Chewy Promo Codes, Discounts & Coupons | Chewy",61,"Check out Chewy's best deals, promo codes & coupons. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",159,chewy promo code,Today's Deals,1,todays-deals,True,True,False,False,True,False,False,False,327550,376,1,good,2444.0,good,0.0033333333333333335,,,72,72,2.08,69,2,1,0,85.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/50-off-your-first-autoship-order-3448422,True,Update URL patterns so the slug reflects the primary search intent.,chewy autoship promo code,50% off your first Autoship order of prescription medication - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of prescription medication! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",306,chewy autoship promo code,50% off your first Autoship order of prescription medication,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,48,351,1,good,1814.0,good,0.085,,,1,1,,0,0,0,1,21.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/tech-smart-home-151102,True,Update URL patterns so the slug reflects the primary search intent.,deals on cat smart home,Cat Tech & Smart Home deals - Free shipping | Chewy,51,"Shop Chewy for low prices and the best Tech & Smart Home! We carry a large selection and the top brands like PetSafe, PEKTACO, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,deals on cat smart home,Cat Tech & Smart Home deals,1,tech-smart-home,True,True,False,False,True,False,False,False,206,343,2,,,,,,,1,1,1.0,1,0,0,0,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/chicken-deals-3889878,True,Update URL patterns so the slug reflects the primary search intent.,chicken treat offers,Chicken Deals - Free shipping | Chewy,37,Shop Chewy for low prices and the best Chicken Deals! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chicken treat offers,Chicken Deals,1,chicken-deals,True,True,False,False,True,False,False,False,208,345,2,,,,,,,1,1,,0,0,0,1,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/eye-care-106644,True,Update URL patterns so the slug reflects the primary search intent.,deals on cat eye care,Deals on Cat Eye Care - Free shipping | Chewy,45,"Shop Chewy for low prices and the best Eye Care! We carry a large selection and the top brands like Optixcare, TropiClean, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",231,deals on cat eye care,Deals on Cat Eye Care,1,eye-care,,False,False,False,True,False,False,False,29,327,3,,,,,,,1,1,5.0,1,0,0,0,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/toys-705030,True,Update URL patterns so the slug reflects the primary search intent.,deals on small animal chew toys,Small Pet Toys - Free shipping | Chewy,38,Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Chewy Exclusives and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,deals on small animal chew toys,Small Pet Toys,1,toys,True,True,False,False,True,False,False,False,45,346,3,,,,,,,1,1,8.0,1,0,0,0,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/food-156398,True,Update URL patterns so the slug reflects the primary search intent.,deals on small animal food,Small Animal Food - Free shipping | Chewy,41,"Shop Chewy for low prices and the best Food products! We carry a large selection and the top brands like Kaytee, Oxbow, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,deals on small animal food,Small Animal Food,1,food,True,True,False,False,True,False,False,False,41,342,3,,,,,,,1,1,8.0,1,0,0,0,
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/bedding-litter-156406,True,Update URL patterns so the slug reflects the primary search intent.,deals on small animal bedding,Small Animal Bedding & Litter - Free shipping | Chewy,53,"Shop Chewy for low prices and the best Bedding & Litter! We carry a large selection and the top brands like Carefresh, Kaytee, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,deals on small animal bedding,Small Animal Bedding & Litter,1,bedding-litter,True,True,False,False,True,False,False,False,39,336,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/beds-hideouts-156414,True,Update URL patterns so the slug reflects the primary search intent.,small pet beds hideouts and mats,"Small Pet Beds, Hideouts & Mats - Free shipping | Chewy",55,"Shop Chewy for low prices and the best Beds & Hideouts! We carry a large selection and the top brands like Kaytee, Nibbles by A&E Cage Company, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,small pet beds hideouts and mats,"Small Pet Beds, Hideouts & Mats",1,beds-hideouts,True,True,False,False,True,False,False,False,39,327,3,,,,,,,3,3,10.0,2,1,0,0,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/treats-156182,True,Update URL patterns so the slug reflects the primary search intent.,chicken treat offers,Chicken & Farm Treat Deals - Free shipping | Chewy,50,"Shop Chewy for low prices and the best Treats products! We carry a large selection and the top brands like Culinary Coop, Happy Hen Treats, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",248,chicken treat offers,Chicken & Farm Treat Deals,1,treats,True,True,False,False,True,False,False,False,66,339,3,,,,,,,1,1,22.0,0,0,1,0,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/decor-accessories-156326,True,Update URL patterns so the slug reflects the primary search intent.,reptile and amphibian terrarium decor and accessories,Reptile & Amphibian Terrarium Decor & Accessories - Free shipping | Chewy,73,"Shop Chewy for low prices and the best Décor & Accessories! We carry a large selection and the top brands like Zoo Med, Komodo, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,reptile and amphibian terrarium decor and accessories,Reptile & Amphibian Terrarium Decor & Accessories,1,decor-accessories,True,True,False,False,True,False,False,False,19,342,3,,,,,,,1,1,,0,0,0,1,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/soft-chewy-treats-115070,True,Update URL patterns so the slug reflects the primary search intent.,deals on soft & chewy dog treats,Deals on Dog Soft & Chewy Treats - Free shipping | Chewy,56,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Zuke's, Beggin', and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on soft & chewy dog treats,Deals on Dog Soft & Chewy Treats,1,soft-chewy-treats,,False,False,False,True,False,False,False,39,344,3,,,,,,,3,2,29.0,0,0,1,2,1.0
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/food-treats-156206,True,Update URL patterns so the slug reflects the primary search intent.,cyber week deals on fish food and treats,Fish Food - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fluval, API, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",226,cyber week deals on fish food and treats,Fish Food,1,food-treats,True,True,False,False,True,False,False,False,22,341,3,,,,,,,2,2,24.5,0,0,2,0,
Deals,URL,URL slug does not align to main keyword,https://www.chewy.com/deals/litter-136374,True,Update URL patterns so the slug reflects the primary search intent.,deals on cat litter,Cat Litter Deals - Free shipping | Chewy,40,"Shop Chewy for low prices and the best Litter products! We carry a large selection and the top brands like Tidy Cats, Boxiecat, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",236,deals on cat litter,Cat Litter Deals,1,litter,True,True,False,False,True,False,False,False,26,341,3,,,,,,,2,2,9.0,1,0,0,1,1.0
