page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Links,Below outlink target,https://www.chewy.com/best/nesting-pads-chickens_s3897318,True,Improve template linking to related destinations.,0,,,,,chicken nesting pads,,0,nesting-pads-chickens,,True,False,False,False,False,False,False,188,0,2,,,,,,,1,1,11.0,0,1,0,0,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/friskies-cat-treats_s113776,True,Improve template linking to related destinations.,0,,,,,,,0,friskies-cat-treats,,True,False,False,False,False,False,False,39,0,2,,,,,,,,,,,,,,
Top Picks,Links,Below outlink target,https://www.chewy.com/best/bird-cage-cleaners_s122750,True,Improve template linking to related destinations.,0,,,,,cockatiel cage accessories and cleaners,,0,bird-cage-cleaners,,True,False,False,False,False,False,False,5,0,3,,,,,,,2,2,28.0,0,0,2,0,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/hamster-water-bottles_s128260,True,Improve template linking to related destinations.,0,,,,,hamster water bottles,,0,hamster-water-bottles,,True,False,False,False,False,False,False,12,0,3,,,,,,,2,2,14.5,1,1,0,0,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/substrate-crested-geckos_s3897142,True,Improve template linking to related destinations.,0,,,,,,,0,substrate-crested-geckos,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/premium-wet-cat-food-toppers_s113976,True,Improve template linking to related destinations.,0,,,,,,,0,premium-wet-cat-food-toppers,,True,False,False,False,False,False,False,15,0,3,,,,,,,,,,,,,,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/supplements-dogs-by-chewy_s3924054,True,Improve template linking to related destinations.,0,,,,,,,0,supplements-dogs-by-chewy,,True,False,False,False,False,False,False,6,0,3,,,,,,,,,,,,,,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/chicken-free-dry-dog-foods_s108024,True,Improve template linking to related destinations.,0,,,,,,,0,chicken-free-dry-dog-foods,,True,False,False,False,False,False,False,23,0,3,,,,,,,,,,,,,,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/snuffle-mats-dogs_s3897094,True,Improve template linking to related destinations.,0,,,,,,,0,snuffle-mats-dogs,,True,False,False,False,False,False,False,23,0,3,,,,,,,,,,,,,,
Top Picks,Links,Below outlink target,https://www.chewy.com/best/standard-automatic-fish-feeders_s128068,True,Improve template linking to related destinations.,0,,,,,,,0,standard-automatic-fish-feeders,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,1.0
Top Picks,Links,Below outlink target,https://www.chewy.com/best/dog-crates-for-great-danes_s140206,True,Improve template linking to related destinations.,0,,,,,,,0,dog-crates-for-great-danes,,True,False,False,False,False,False,False,23,0,3,,,,,,,,,,,,,,
