page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/chewy-egift-card/dp/226306,True,Update title templates so the primary ranking phrase is naturally represented.,gift card for dogs,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/kaytee-nutrisoft-parrot-conure-bird/dp/383333,True,Update title templates so the primary ranking phrase is naturally represented.,green cheek conure pellets,"KAYTEE NutriSoft Parrot & Conure Bird Food, 3-lbs - Chewy.com",61,"Buy Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs at Chewy.com. FREE shipping and the BEST customer service!",112,green cheek conure pellets,"Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs",1,kaytee-nutrisoft-parrot-conure-bird,True,True,False,False,True,True,True,True,91,326,2,,,,,,,2,2,,0,0,0,2,1.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/potaroma-chew-ropes-cat-toy-3-count/dp/2064438,True,Update title templates so the primary ranking phrase is naturally represented.,rope cat toys,"POTAROMA Chew Ropes Cat Toy, 3 count - Chewy.com",48,"Buy Potaroma Chew Ropes Cat Toy, 3 count at Chewy.com. FREE shipping and the BEST customer service!",99,rope cat toys,"Potaroma Chew Ropes Cat Toy, 3 count",1,potaroma-chew-ropes-cat-toy-3-count,True,True,False,False,True,True,True,True,28,318,2,good,2108.0,poor,0.26,,,1,1,10.0,1,0,0,0,9.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/chew-heal-stop-worms-wormer-puppies/dp/1591798,True,Update title templates so the primary ranking phrase is naturally represented.,chewy cat dewormer,"CHEW + HEAL Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle - Chewy.com",83,"Buy Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle at Chewy.com. FREE shipping and the BEST customer service!",134,chewy cat dewormer,"Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle",1,chew-heal-stop-worms-wormer-puppies,True,True,False,False,True,True,True,True,49,322,2,good,2144.0,good,0.0,,,2,1,20.5,0,1,1,0,4.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/vets-best-chewable-tablets-hairball/dp/45141,True,Update title templates so the primary ranking phrase is naturally represented.,best cat hairball remedy,"VET'S BEST Chewable Tablets Hairball Control Supplement for Cats, 60 count - Chewy.com",86,"Buy Vet's Best Chewable Tablets Hairball Control Supplement for Cats, 60 count at Chewy.com. FREE shipping and the BEST customer service!",137,best cat hairball remedy,"Vet's Best Chewable Tablets Hairball Control Supplement for Cats, 60 count",1,vets-best-chewable-tablets-hairball,True,True,False,False,True,True,True,True,91,321,2,good,2147.0,good,0.08,,,5,5,13.8,1,4,0,0,4.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/rebalance-sulfadiazine-pyrimethamine/dp/204766,True,Update title templates so the primary ranking phrase is naturally represented.,anti-protozoals for horses,"REBALANCE (sulfadiazine & pyrimethamine) Antiprotozoal Oral Suspension for Horses, 1-qt bottle - Easy Refills | Chewy Rx",120,"ReBalance is an oral suspension for horses with equine protozoal myeloencephalitis (EPM) caused by Sarcocystis neurona. EPM is a nervous system disease that horses develop by ingesting contaminated feedstuffs with the protozoa Sarcocystis neurona. EPM presents highly variable clinical signs that may range from head tilt, ear droop, blindness, seizures, inability to chew or swallow, gait abnormalities, stumbling, muscle atrophy, weakness, incoordination, ataxia, or depression.",480,anti-protozoals for horses,"ReBalance (sulfadiazine & pyrimethamine) Antiprotozoal Oral Suspension for Horses, 1-qt bottle",1,rebalance-sulfadiazine-pyrimethamine,True,True,False,False,True,True,True,True,45,308,2,,,,,,,1,1,18.0,0,1,0,0,1.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/odoban-no-rinse-neutral-ph-floor/dp/196356,True,Update title templates so the primary ranking phrase is naturally represented.,odoban cat training cleaning,"ODOBAN No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle - Chewy.com",80,"Buy OdoBan No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle at Chewy.com. FREE shipping and the BEST customer service!",131,odoban cat training cleaning,"OdoBan No Rinse Neutral pH Floor Cleaner, Citrus Scent, 1-gal bottle",1,odoban-no-rinse-neutral-ph-floor,True,True,False,False,True,True,True,True,306,328,2,good,2171.0,good,0.09,,,1,1,32.0,0,0,1,0,19.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/revolution-plus-topical-solution-cats/dp/185729,True,Update title templates so the primary ranking phrase is naturally represented.,chewy cat flea medicine,"REVOLUTION PLUS Topical Solution for Cats, 5.6-11 lbs, (Orange Box) - Easy Refills | Chewy Rx",93,"Help protect your four-legged friend from pesky critters with this 6-in-1 broad spectrum monthly Topical Solution for Cats by Revolution Plus. Simply apply the quick-drying, small-volume prescription to help: kill fleas before they lay eggs, kill ticks for a full month, prevent heartworm disease and treat and control roundworms, hookworms and ear mites. This topical medication is suitable for cats and kittens eight weeks of age or older, weighing between 5.",461,chewy cat flea medicine,"Revolution Plus Topical Solution for Cats, 5.6-11 lbs, (Orange Box), 3 Doses (3-mos. supply)",1,revolution-plus-topical-solution-cats,True,True,False,False,True,True,True,True,241,323,2,good,2244.0,good,0.05,,,3,3,,0,0,0,3,28.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/heartgard-plus-chew-dogs-51-100-lbs/dp/179483,True,Update title templates so the primary ranking phrase is naturally represented.,heartgard dog heartworm medicine,"HEARTGARD Plus Chew for Dogs, 51-100 lbs, (Brown Box) - Easy Refills | Chewy Rx",79,"**For use in animals only.** Heartgard Plus Chew for Dogs, 51-100 lbs. is a heartworm preventative that kills heartworms and also helps treat and control roundworms and hookworms.",179,heartgard dog heartworm medicine,"Heartgard Plus Chew for Dogs, 51-100 lbs, (Brown Box), 12 Chews (12-mos. supply)",1,heartgard-plus-chew-dogs-51-100-lbs,True,True,False,False,True,True,True,True,8,322,2,good,2285.0,good,0.07,,,3,2,14.0,1,2,0,0,16.0
PDP,Meta,Title does not align to main ranking keyword,https://www.chewy.com/revolution-topical-solution-dogs-51/dp/323037,True,Update title templates so the primary ranking phrase is naturally represented.,revolution pet pharmacy medications,"REVOLUTION Topical Solution for Dogs, 5.1-10 lbs, (Purple Box) - Easy Refills | Chewy Rx",88,**Your furry friend must have a current heartworm test result on file with your veterinarian in order to be prescribed heartworm medication. Please visit your veterinarian to have this test performed annually to protect your four-legged friend.** Revolution is a medication that is applied directly on your furry friend's skin to protect them from biting critters.,364,revolution pet pharmacy medications,"Revolution Topical Solution for Dogs, 5.1-10 lbs, (Purple Box), 12 Doses (12-mos. supply)",1,revolution-topical-solution-dogs,True,False,False,False,True,True,True,True,12,326,2,,,,,,,1,1,,0,0,0,1,6.0
